시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수
성동구,서울특별시,서울숲,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=02f56ab2-5e53-470f-8ec3-95cf8fb88aa4,자연,자연관광지,자연생태관광지,16135
종로구,서울특별시,인사동,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3259a90d-1924-43c6-b333-df502374b491,인문(문화/예술/역사),체험관광지,이색체험,14673
종로구,서울특별시,익선동,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=50e4fc9c-5736-4d86-a668-527b4c6c752d,인문(문화/예술/역사),체험관광지,이색체험,11176
중구,서울특별시,동대문디자인플라자(DDP),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=758fb4e9-533f-4636-8753-73b8d059c54d,인문(문화/예술/역사),산업관광지,기타,10636
용산구,서울특별시,남산서울타워,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ad931739-fca3-4135-a878-cc7fb82920ba,인문(문화/예술/역사),건축/조형물,유명건물,9087
송파구,서울특별시,롯데월드타워 서울스카이,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=7e26f7f5-dde8-4eab-b2e9-42d6d37aded1,인문(문화/예술/역사),건축/조형물,유명건물,8763
종로구,서울특별시,경복궁,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=443caffd-74a6-4713-ba02-4b5520ef7e62,인문(문화/예술/역사),역사관광지,고궁,8378
중구,서울특별시,동대문역사문화공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=bd0eb20b-86a9-46ef-8a92-6f3d8264cbba,인문(문화/예술/역사),휴양관광지,공원,8229
종로구,서울특별시,그라운드시소 서촌,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=61e12ecd-58f4-46cb-bf2c-73f4323be4cf,인문(문화/예술/역사),문화시설,전시관,7092
영등포구,서울특별시,문래창작촌,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=09ac0d91-86b9-4f7b-a93f-807e50713362,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,6518
종로구,서울특별시,광화문,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c501d3be-ba99-4a5b-b26c-abebf04eabe9,인문(문화/예술/역사),역사관광지,문,6340
종로구,서울특별시,창덕궁과 후원 [유네스코 세계문화유산],https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e06275fd-e065-4c90-806e-cbe5c1ba44e6,인문(문화/예술/역사),역사관광지,고궁,6168
종로구,서울특별시,창경궁,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8198c334-6d6c-4d87-bdc6-5625b772cc59,인문(문화/예술/역사),역사관광지,고궁,6085
종로구,서울특별시,서촌마을,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1cfbbc9e-0e57-41e0-a603-f0fb474f4b7b,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,5945
강북구,서울특별시,삼각산,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=bacf70d2-0022-4e01-8805-40c752c9f8c0,자연,자연관광지,산,5561
종로구,서울특별시,서울공예박물관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4fe96029-fd94-4232-bb02-e22798f87dcc,인문(문화/예술/역사),문화시설,박물관,4953
마포구,서울특별시,AK&홍대,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3e36b7ef-99ba-4e94-a278-1b1df7fdab3a,쇼핑,쇼핑,전문매장/상가,4867
중구,서울특별시,덕수궁,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e413abf3-f8a7-486d-95fd-4fb12598aefc,인문(문화/예술/역사),역사관광지,고궁,4838
노원구,서울특별시,화랑대 철도공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=82a9679e-0eb8-4539-9785-afa32bd1b649,인문(문화/예술/역사),휴양관광지,공원,4832
종로구,서울특별시,동대문 종합시장·동대문 쇼핑타운,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=af0684ec-d924-4889-89e1-9969f6ce4ce7,쇼핑,쇼핑,상설시장,4762
중구,서울특별시,하이커 그라운드,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=13118897-962b-4fe3-b8fb-7550f1ae182d,인문(문화/예술/역사),문화시설,컨벤션센터,4532
영등포구,서울특별시,이랜드크루즈 (한강유람선),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4bfe10b7-874c-4f34-a0ca-9f55913926f0,인문(문화/예술/역사),휴양관광지,유람선/잠수함관광,4283
강서구,서울특별시,서울식물원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=309a0548-b732-4f85-8c2f-e45971f30df2,자연,자연관광지,수목원,4278
마포구,서울특별시,홍대,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=cde3497b-dcdc-4dd5-b941-38a69b88d9cc,인문(문화/예술/역사),체험관광지,이색체험,4231
용산구,서울특별시,국립중앙박물관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0363da87-ef3b-4c21-8508-34f70dda31fb,인문(문화/예술/역사),문화시설,박물관,4085
중구,서울특별시,명동,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6a7ed3b6-0be8-48fd-8786-6ef63e171f35,인문(문화/예술/역사),체험관광지,이색체험,4061
종로구,서울특별시,한국교회 100주년 기념관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=5cd5bc19-43d8-4200-9c2f-de3a094c20c6,인문(문화/예술/역사),역사관광지,종교성지,4036
종로구,서울특별시,종로3가 귀금속 전문상가,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=bc75abe8-11a3-41d7-9c01-0d35654c87a3,쇼핑,쇼핑,전문매장/상가,4030
송파구,서울특별시,롯데월드 어드벤처,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=78a00ac3-ad3c-4637-8629-48aefb22a79b,인문(문화/예술/역사),휴양관광지,테마공원,3910
중구,서울특별시,명동,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6a7ed3b6-0be8-48fd-8786-6ef63e171f35,인문(문화/예술/역사),산업관광지,기타,3896
중구,서울특별시,덕수궁 돌담길,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8c1193de-d9f3-4432-a5b7-dfe6f6d3481f,인문(문화/예술/역사),체험관광지,이색거리,3861
성동구,서울특별시,성수동 카페거리,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0d4a50c2-61c6-4e14-851c-a3d08c1a84ae,인문(문화/예술/역사),체험관광지,이색거리,3807
종로구,서울특별시,서울 동대문 닭한마리 골목,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0a88e843-d01e-4154-9cd5-2f1488d49c53,인문(문화/예술/역사),체험관광지,이색거리,3601
서대문구,서울특별시,서대문자연사박물관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0047b203-d422-492e-bbe1-1554de519405,인문(문화/예술/역사),문화시설,박물관,3589
마포구,서울특별시,홍대,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=cde3497b-dcdc-4dd5-b941-38a69b88d9cc,인문(문화/예술/역사),산업관광지,기타,3448
도봉구,서울특별시,[서울둘레길 1코스] 수락·불암산코스,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1e10b1de-ddbf-4b25-9166-9adbcb753f0d,레포츠,육상 레포츠,트래킹,3419
종로구,서울특별시,북촌 8경,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=72de6f2f-b808-4354-9e83-c1c59513a327,인문(문화/예술/역사),역사관광지,민속마을,3298
송파구,서울특별시,송파책박물관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=214c2dff-3bbe-4fb0-9af9-93b3168dafd3,인문(문화/예술/역사),문화시설,박물관,3273
영등포구,서울특별시,여의도한강공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2a242f43-4a4d-4836-a17a-abcb34d0e9bc,인문(문화/예술/역사),휴양관광지,공원,3249
