Attraction,location,info
채그로,서울 마포구,"책과 사람이 만나는 독서 플랫폼, 당신의 인생서점. "
소소한 풍경,서울 종로구,부암동 언덕에 있는 분위기 좋은 퓨전 한정식집
마복림할머니집,서울 중구,신당동 원조 고추장떡볶이 맛집
뮤직컴플렉스 서울,서울 종로구,"인사동에 뜬 붉은노을, 아날로그 감성과 힙한 감성이 공존하는 곳"
또순이네집,서울 영등포구,화로에 끓이는 된장찌개와 한우 맛집 
우묵배미,서울 관악구,고기가 듬뿍 들어간 깔끔한 맛의 찌개가 일품인 한식당
토속촌삼계탕,서울 종로구,대통령도 즐겨찾던 삼계탕집
석파랑,서울 종로구,정성 가득한 궁중음식
선천집,서울 종로구,오마이 손맛 보러 오시라요
청수정,서울 종로구,홍합밥과 함께 맛있는 한 상
만석장,서울 은평구, 반세기의 전통과 역사를 이어가는 두부요리 전문점
선동보리밥,서울 성북구,부담 없는 건강한 한 끼 ‘선동보리밥’
대림창고,서울 성동구,정미소의 빈티지한 분위기가 매력적인 카페
컨퍼런스하우스달개비 정동점,서울 중구,단체모임하기 좋은 서울 한정식전문점
겟댓샷(Get That Shot),서울 영등포구,영등포 롯데백화점 카페 겟댓샷
더 스팟 패뷸러스,서울 중구,서울 중심의 뉴트로 카페
진고개,서울 중구,1963년부터 영업해온 예스러운 을지로 한식당
우래옥,서울 중구,평양냉면 초심자도 도전할 수 있는 맛집
인왕산 더숲 초소책방,서울 종로구,인왕산 자락 따스한 햇살과 커피를 즐길 수 있는 공간
삼거리먼지막순대국,서울 영등포구,백년가게와 서울미래유산으로 선정된 가성비 순대국집
세종한우정육점식당 2호점,서울 강남구,고기를 즉석에서 썰어 판매하는 정육식당
삼청동수제비,서울 종로구,구수하고 시원한 수제비에 감자전이 일품인 식당
런던베이글뮤지엄,서울 종로구,영국 런던 감성의 베이글을 만나볼 수 있는 곳
삼원가든,서울 강남구,일상 속 귀한 만남이 모여 잔치가 되는 곳 
진주회관,서울 중구,"1962년 개업이래 3대째, 60년 동안 이어온 냉콩국수 전문점"
샤오바오우육면 종로본점,서울 종로구,종각역 인근의 수타 우육면 맛집
수연산방,서울 성북구,"전통한옥에 문을 연, 대추차가 맛있는 전통찻집 1호 ‘수연산방’"
필동면옥,서울 중구,깔끔한 맛의 평양냉면과 속이 꽉 찬 만두가 있는 맛집
도넛정수 창신,서울 종로구,전국 각지의 특산물로 빚어낸 9가지 다채로운 도넛
티테라피,서울 종로구,일상에 지친 몸과 마음을 치유하는 티테라피
진옥화할매원조닭한마리,서울 종로구,진하고 구수한 육수가 어우러져 맛이 일품인 닭한마리
강서구 고성막국수,서울 강서구,순메밀 100%로 만든 막국수와 부드러운 편육이 조화로운 '고성막국수'
원조홍어 본점,서울 영등포구,신길동 홍어거리에서 최초로 생긴 홍어 전문점
해방촌 혼고,서울 용산구,혼자서도 맛있고 즐겁게 고기를 즐길 수 있는 곳
카페 할아버지공장,서울 성동구,감성 넘치는 복합문화공간
울프강스테이크하우스,서울 강남구,세계적으로 유명한 스테이크 하우스의 한국 1호점
남도분식 익선점,서울 종로구,맵기를 단계별로 선택해 끓여 먹을 수 있는 즉석떡볶이집
태극당,서울 중구,서울에서 가장 맛있고 오래된 빵집
낙원떡집,서울 종로구,3대째 오랜 역사와 전통을 자랑하는 낙원떡집 
두가헌 레스토랑,서울 종로구, 고풍스러운 멋과 세련된 음식들을 만날 수 있는 곳
RSG 성수,서울 성동구,라이더들의 쉼터이자 바이커들의 성지로 알려진 공간
스미스가좋아하는한옥,서울 종로구,아늑한 한옥에서 즐기는 정통 이탈리안 음식
뉘조,서울 종로구,야생초를 이용하여 만든 한정식 코스 요리 전문점
