Attraction,location,info
동대문역사문화공원,서울 중구,서울의 옛 정취를 느낄 수 있는 문화공원
서울식물원,서울 강서구,도심 속 아름다운 녹색 명소
서울숲,서울 성동구,숲과 문화가 어우러지는 서울의 대표적인 녹색쉼터
N서울타워,서울 용산구,서울 전경을 한눈에 담을 수 있는 명소 
경복궁,서울 종로구,그 시절부터 우리가 사랑한 서울의 다섯 궁궐 ①
롯데월드 어드벤처,서울 송파구,"모험과 신비로움이 가득! 국내 최초, 최대 실내테마파크"
덕수궁,서울 중구,그 시절부터 우리가 사랑한 서울의 다섯 궁궐 ②
창덕궁,서울 종로구,그 시절부터 우리가 사랑한 서울의 다섯 궁궐 ⑤
롯데월드타워 서울스카이,서울 송파구,서울을 한 눈에 담을 수 있는 하늘과 가까운 곳
선정릉,서울 강남구,"서울 도심의 녹지, 조선 성종과 계비인 정현왕후 윤씨와 중종의 왕릉"
마포구하늘공원,서울 마포구,하늘과 초원이 맞닿은 공원
낙산공원,서울 종로구,한양도성과 숲이 어우러져 서울 야경이 아름다운 공원 
석촌호수,서울 송파구,석촌호수의 시민들의 휴식처
청계천,서울 중구,서울의 한복판 종로구와 중구와의 경계에 흐르는 하천
서래마을,서울 서초구," 레스토랑과 와인바, 카페가 많은 서울안의 프랑스 "
망원시장,서울 마포구,다양한 즐거움이 있는 망원시장
경희궁,서울 종로구,그 시절부터 우리가 사랑한 서울의 다섯 궁궐 ③
돈의문박물관마을,서울 종로구,반려동물과 함께 느껴보는 근현대 서울의 삶
서울로 7017,서울 중구,서울과 서울을 잇는 길
덕수궁 돌담길,서울 중구,낭만이 가득한 덕수궁 돌담길
경의선숲길,서울 마포구,"철길 따라 다른 풍경, 경의선숲길"
서울공예박물관,서울 종로구,다양한 시대와 분야를 아우르는 공간 
남산골한옥마을,서울 중구,한옥이 보존되어 있는 마을
여의도한강공원,서울 영등포구,볼거리와 즐길거리가 풍부한 휴식공간
광장시장,서울 종로구,우리나라 최초의 상설시장
서대문형무소역사관,서울 서대문구,역사를 잊은 민족에게 미래는 없다는 묵직한 울림
AK PLAZA 홍대,서울 마포구,AK프라자가 운영하는 신개념 쇼핑몰
세빛섬,서울 서초구,한강을 아름답게 밝혀주는 세개의 빛나는 섬
반포대교 달빛무지개분수,서울 서초구,아름다운 야경을 선물하는 곳
올림픽공원,서울 송파구,88올림픽을 치른 서울의 대표 공원
월드컵공원,서울 마포구,생태복원과 환경재생을 향한 도전과 의지의 실현! 
송파책박물관,서울 송파구,책 문화 박물관
서대문자연사박물관,서울 서대문구,태초의 생명과 대자연의 역사가 펼쳐진다
몽촌토성,서울 송파구,한성백제의 국가 터전을 마련했던 거성
푸른수목원,서울 구로구,서울시 최초의 친환경 청정 시립 수목원
와룡공원,서울 종로구,계절별 아름다운 꽃이 피는 공원
숭례문,서울 중구,현존하는 한국 성문 중 가장 규모가 큰 국보 숭례문
이순신장군동상,서울 종로구,조선 최고의 명장 이순신 장군을 기리다
몽마르뜨공원,서울 서초구,산책하기 좋은 서래마을 공원
롯데월드몰,서울 송파구,서울의 아름다움을 한눈에 담을 수 있는 곳
인왕산,서울 종로구,기묘한 바위가 한 폭의 산수화 같은 서울의 바위산
한강시민공원 뚝섬지구,서울 광진구,강변유원지로 유명했던 한강레저스포츠의 중심
종묘,서울 종로구,왕과 왕후의 신주를 모신 사당
섬세이 테라리움,서울 성동구,다양한 자연의 감각을 오감으로 느낄 수 있는 맨발 체험 전시 
불암산,서울 노원구,부처님을 닮은 큰 바위가 있는 산
통인시장,서울 종로구,전통과 예술이 함께하는 통인시장
탑골공원,서울 종로구,우리 민족의 독립 정신이 살아 숨 쉬는 탑골공원
남대문 문구상가,서울 중구,문구와 완구 및 포장 용품 전문점들이 모여있는 거리
청와대사랑채,서울 종로구, 청와대 및 역대 대통령 발자취를 볼 수 있는 홍보관
반포한강공원,서울 서초구,세계에서 가장 긴 교량분수가 있는 곳
서울어린이대공원,서울 광진구, 어린이의 낙원이자 살아있는 학습 교육장
국립민속박물관&국립민속박물관 어린이박물관,서울 종로구,국내 유일의 민속생활사 관련 국립박물관
목인박물관 목석원,서울 종로구,세계 각국의 목인(木人)을 만나볼 수 있는 곳
용마폭포공원,서울 중랑구,인공폭포가 있는 용마산 자락의 휴식공간
서울 운현궁,서울 종로구,조선 말기 역사적 사건을 함께한 왕실 문화의 전당
세종대왕동상,서울 종로구,"민족의 자긍심을 높이고, 민족의 우수성을 세계에 널리 알린다"
창의문,서울 종로구,4소문 중에서 그 원형을 유일하게 보존하고 있는 문
한성백제박물관,서울 송파구,2천년 고도 서울의 역사를 보존하고 발전시키는 곳
여의도샛강생태공원,서울 영등포구,국내 최초로 자연환경 보존을 위해 한강변 생태공원
용산가족공원,서울 용산구,우리의 힘들었던 역사에 함께 있었던 공원
국립항공박물관,서울 강서구, 국내 최초로 선보인 항공 분야 국립박물관
난지한강공원,서울 마포구,캠핑과 바비큐를 즐길 수 있는 도심 속 휴식 공간
서서울호수공원,서울 양천구,이색풍경을 담은 자연미술관
서울생활사박물관,서울 노원구,기억과 감성을 담은 근현대 생활사 박물관
무수아취,서울 도봉구,캠핑 식당 무수아취
키자니아 서울,서울 송파구,미리 체험해 보는 나의 미래 직업체험
서울함공원,서울 마포구,3척의 퇴역 군함을 이용하여 조성한 함상 테마파크
헬로우 에이피엠 (Hello apm),서울 중구,젊음과 열기가 가득한 동대문 쇼핑 명소
배봉산,서울 동대문구,걷기에 최적화된 무장애 둘레길을 가진 동대문구 대표 산
독립문,서울 서대문구,민족의 독립과 자유를 위한 국민의 상징인 기념물
세운상가,서울 종로구,50년 전통의 전자제품 유통과 판매의 메카
구로중앙유통단지,서울 구로구,동양 최대의 산업 용품 단지 
만해한용운심우장,서울 성북구,‘님의 침묵’의 시인인 만해 한용운님의 유택
전쟁기념관,서울 용산구,"호국의 전당, 전쟁기념관 "
서울 중부시장,서울 중구,오랜 역사와 전통을 자랑하는 대한민국 건어물의 1번지
강변스파랜드,서울 광진구,24시간 즐길 수 있는 강변 최대의 사우나
삼익패션타운,서울 중구,남대문시장 안에 있는 패션의 명가
선유도공원,서울 영등포구,과거 정수장 건축구조물을 재활용하여 만들어진 공원
양화한강공원,서울 영등포구,넓게 조성된 잔디밭에서 바라보는 탁 트인 전망
롯데월드 아쿠아리움,서울 송파구,깊고 드넓은 해양 생태계 그대로를 재현하겠다는 신념과 고집이 묻어나는롯데월드 아쿠아리움
IFC몰,서울 영등포구,반려견과 함께 쇼핑이 가능한 복합문화쇼핑몰
강서농산물도매시장,서울 강서구,서울 강서구 외발산동에 위치한 강서농산물도매시장
흥인지문,서울 종로구,서울성곽 8개의 문 중에서 동쪽에 있는 문
남산 야외식물원,서울 용산구,남산타워 올라가기 위해 거쳐가는 자연쉼터
수락산,서울 노원구,사계절 많은 이들이 찾는 시민들의 휴식공간
중명전,서울 중구,대한제국의 역사적인 주요 사건 현장
고속터미널 꽃도매상가,서울 서초구,향기 가득한 꽃들의 집결지
국립고궁박물관,서울 종로구,조선 왕실과 대한제국 황실의 문화와 역사의 이해를 돕는 좋은 동반자
서울 평화시장,서울 중구,의류를 생산하고 판매하는 도매 시장
다이나믹 메이즈 (서울 인사동점),서울 종로구,실내 스포츠 테마파크
관악산 낙성대공원,서울 관악구,고려의 명장 강감찬을 기리는 공간
중랑장미공원,서울 중랑구,완연한 봄을 만끽할 수 있는 장미 정원
황궁우,서울 중구,천자가 하늘에 제사드리는 제천단
광화문광장,서울 종로구,과거와 현대를 연결하는 모두의 문화공간
서대문독립공원,서울 서대문구,독립애국지사들의 넋을 기리다
서울역사박물관,서울 종로구,조선시대를 중심으로 선사시대부터 현대까지서울의 역사·문화를 정리하여 보여주는 도시역사박물관
대림중앙시장,서울 영등포구,"""차이나""는 대림중앙시장!"
오금오름공원,서울 송파구,롯데타워가 한 눈에 보이는 뷰 맛집 가족공원
간송미술관,서울 중구,우리나라 최초의 사립미술관
서대문안산,서울 서대문구,서울을 한 눈에 담을 수 있는 걷기 좋은 순화형 무장애숲길
용산공원 반환부지,서울 용산구,역사를 품은 도심 속 감성 휴양지
더현대 서울,서울 영등포구,미래를 향한 울림
서울 효창공원,서울 용산구,애국선열들의 영혼이 잠든 곳
파크하비오 워터킹덤&스파,서울 송파구,서울에서 365일 즐기는 워터파크
서울창포원,서울 도봉구,붓꽃이 가득한 생태공원
약령시장,서울 동대문구,전국에서 가장 큰 한약재 시장
보라매공원,서울 동작구,비행기 전시와 여름에는 물놀이터가 되는 공원
허준박물관,서울 강서구,한국 최초 한의학 박물관
전쟁과여성인권박물관,서울 마포구,전쟁과 폭력 없는 세상을 만들어 나가는 박물관
영등포청과시장,서울 영등포구,상큼한 가득 과일 전문 시장
