,Unnamed: 0,attraction,주소,위도,경도,tag
0,0,이태원 앤틱 가구 거리,서울특별시 용산구 보광로 109-1,37.5326056972,126.9944149759,#가구점#가족과함께#고가구#골동품#관광지#목가구#쇼핑거리#앤틱가구거리#연인과함께#이색거리#이색시장#이색코스#이태원#이태원관광특구#이태원앤틱가구거리#체험
1,1,용산성당,서울특별시 용산구 효창원로15길 37,37.5368266731,126.9522742511,#관광지#서울성당#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사여행#역사유적#역사유적지#역사이야기#역사탐방#역사탐험#용산성당#종교
2,2,양천구어린이교통안전교육장,서울특별시 양천구 목동남로 106-23(신정동),37.5097255772,126.8702074929,#겨울방학가볼만한곳#관광지#교육여행#교통이론교육#교통체험교육#도심여행#산책길#산책하기#산책하기좋은곳#아이와함께#양천구어린이교통공원#어린이교통공원#여름방학가볼만한곳#이색체험#주말추천여행지#체험#체험교육#체험학습
3,3,천호자전거거리,서울특별시 강동구 천호동,37.5466313659,127.1221585024,#관광지#자전거거리#천호동자전거#천호동자전거거리#천호자전거거리
4,4,청담도로공원,서울특별시 강남구 삼성동80,37.52069442,127.0628118632,#공원#관광지#도로공원#서울공원#올림픽대로#올림픽대로공원#휴식
5,5,충익공신경진묘역,서울특별시 중랑구 망우로70길 103(망우동),37.5961975185,127.1049169938,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사여행#역사유적#역사유적지#역사이야기#역사탐방#역사탐험
6,6,봉화산(서울),서울특별시 중랑구 신내로21길(신내동),37.6086568514,127.0866155277,#경치좋은곳#관광지#남녀노소#등산#등산여행#봉수대#봉화산#자연#자연좋은곳#자연풍경#자연환경#중랑구산#중랑구힐링#휴식하기좋은곳#힐링산책
7,7,망우산(서울),서울특별시 중랑구 망우동 산 69-1일대,37.594281087,127.1056030968,#관광지#등산#망우공동묘지#망우리고개#망우리공원#망우산#산책로#수도권#자연#트레킹
8,8,갈산근린공원,서울특별시 양천구 신정동 162-56,37.5061176314,126.8684105358,#갈산근린공원#걷기길#관광지#나들이#산책길#산책로#산책하기좋은곳#서울도심여행#아이와함께#자연#주말추천여행지#휴식공간#휴식하기#휴식하기좋은곳
9,9,사가정공원,서울특별시 중랑구 사가정로72길 47(면목동),37.5793243143,127.0957821951,#걷기길#관광지#나들이#사가정공원#산책길#산책하기#산책하기좋은곳#서울도심여행#아이와함께#주말추천여행지#휴식공간#휴식여행#휴식하기#휴식하기좋은곳#힐링
10,10,동대문 문구완구거리,서울특별시 종로구 종로52길 36(창신동),37.5712043487,127.0144065057,#관광지#남녀노소#동대문구#동대문문구완구거리#문구거리#문구완구#소매상#소매점#수도권#아이와함께#이색거리#전통시장#추억여행
11,11,수락산,서울특별시 노원구 상계동 산1-1,37.6854837875,127.0732589963,#가족여행#관광지#당일치기여행#등산#등산로#사계절#서울근교여행#수락산#아이와함께#연인과함께#자연#자연좋은곳#친구와함께#힐링&휴양여행
12,12,송파어린이교통공원 교통안전교육장,서울특별시 송파구 올림픽로35다길 33(신천동),37.5160067765,127.1017390089,#가족여행#관광지#교육여행#교육프로그램#교통안전교육#교통체험교육#당일치기여행#산책하기#산책하기좋은곳#서울근교여행#아이와함께#안전교육#어린이교통공원#체험교육#체험학습
13,13,장충단공원,서울특별시 중구 동호로 261(장충동2가),37.5576029665,127.0041161624,#가족여행#걷기여행#관광지#나들이#당일치기여행#사계절#서울근교여행#아이와함께#연인과함께#장충단공원#친구와함께#피크닉#힐링&휴양여행
14,14,종묘광장공원,서울특별시 종로구 종로 157(훈정동),37.5711956572,126.9944166605,#가족여행#걷기여행#관광지#나들이#당일치기여행#봄나들이#사계절#서울근교여행#세계문화유산#아이와함께#연인과함께#종묘공원#종묘광장공원#친구와함께#피크닉#힐링&휴양여행
15,15,승가사(서울),서울특별시 종로구 비봉4길 213(구기동),37.6265552757,126.9603404195,#관광지#불교#불교사찰#사찰#사찰여행#서울사찰#역사#자연속으로#자연좋은곳#자연환경#종교#종로사찰#한국불교#휴식공간#휴식여행#휴식하기#휴식하기좋은곳
16,16,경복궁,서울특별시 종로구 사직로 161,37.5788222356,126.9769930325,#15_16한국관광100선#17_18한국관광100선#19_20한국관광100선#2024_여행가는달과함께하는_발도장여행지#21_22한국관광100선#23_24한국관광100선#BTS#bts여행#bts투어#가족여행#경복궁#고궁#관광지#교과서속여행#당일치기여행#서울#서울근교여행#서울여행#서울여행코스#수도권#아이와함께#역사#역사유적지#연인과함께#인생샷#전통역사문화체험#종로#종로가볼만한곳#친구와함께#한국관광100선
17,17,서울 방이동 고분군,서울특별시 송파구 오금로219(방이동),37.5081579775,127.1178488772,#고분유적#관광지#방이동고분군#백제고분군#사적#서울방이동고분군#수도권#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사여행#역사유적#역사유적지#역사이야기#역사탐방#역사탐험
18,18,종묘 [유네스코 세계유산],서울특별시 종로구 종로 157,37.5731898785,126.9948998937,#가족과함께#가족여행#관광지#교과서속여행#당일치기여행#서울근교여행#세계문화유산#아이와함께#역사#역사여행#역사유적지#유네스코#유네스코세계문화유산#전통역사문화체험#종로가볼만한곳#종묘#친구와함께
19,19,서울 문묘와 성균관,서울특별시 종로구 성균관로 31,37.5855329073,126.9959633351,#관광지#성균관#역사#역사공부#역사관광#역사관광지#역사를품은곳#역사문화#역사문화관광#역사문화재#역사속으로#역사여행#역사이야기#역사탐험#역사투어#전통&역사#한국역사
20,20,창경궁,서울특별시 종로구 창경궁로 185,37.5776782272,126.9938554166,#15_16한국관광100선#17_18한국관광100선#19_20한국관광100선#2024_여행가는달과함께하는_발도장여행지#21_22한국관광100선#23_24한국관광100선#가족여행#고궁#관광지#교과서속여행#궁궐여행#당일치기여행#서울#서울근교여행#수도권#아이와함께#역사#역사유적지#연인과함께#인생샷#전통&역사문화체험#창경궁#친구와함께#한국관광100선
21,21,광화문,서울특별시 종로구 사직로 161,37.576072552,126.9768042386,#19_20한국관광100선#2024_여행가는달과함께하는_발도장여행지#가족여행#경복궁#관광지#광화문#광화문#광화문광장#교과서속여행#당일치기여행#서울근교여행#수문장교대#아이와함께#역사#역사관광지#역사를품은곳#역사문화재#역사속으로#역사여행#역사유적지#역사탐험#연인과함께#전통역사문화체험#종로여행#친구와함께#커플데이트
