,attraction,location,tag,주소,위도,경도
0,소소한 풍경,서울 종로구,#맛집#부암동맛집#부암동소소한풍경#부암동전망좋은식당#부암동한정식#소소한풍경#음식#전망_좋은#퓨전한정식,서울특별시 종로구 자하문로40길 75(부암동),37.5936564249,126.9659936151
1,금강산감자탕 방이본점,서울 송파구,#감자탕맛집#감자탕맛집#금강산감자탕#방이동맛집#뼈해장국#뼈해장국#송파구맛집#송파구맛집#음식,서울특별시 송파구 위례성대로 34,37.5158459413,127.1160377125
2,무수아취,서울 도봉구,#가볼래터#가족과함께#글램핑#도봉구#도봉구맛집#도봉맛집#바베큐#바베큐전문점#바비큐#서울가볼만한곳#서울글램핑#셀프바베큐#여행구독#음식#친구와함께#캠핑감성#캠핑식당,서울특별시 도봉구 도봉로169길 249(도봉동),37.6764785549,127.033096251
3,삼청동수제비,서울 종로구,#감자전#감자전#맛집#삼청동맛집#삼청동수제비#서울맛집#수도권#수제비#수제비#수제비맛집#연중무휴#음식#종로맛집#쭈꾸미볶음#찹쌀_새알_옹심이#파전#파전,서울특별시 종로구 삼청로 101-1,37.5846049848,126.9819035323
4,동작구름카페,서울 서초구,#동작구름카페#동작대교카페#음식#한강뷰맛집#한강뷰카페#한강전망쉼터#한강카페,서울특별시 서초구 동작대로 350(반포동),37.5058141254,126.9811002794
5,런던베이글뮤지엄,서울 종로구,#2023_설날_디저트맛집#MZ세대#런던베이글뮤지엄#베이글#베이글맛집#비주얼맛집#안국역맛집#음식,서울특별시 종로구 북촌로4길 20 연화빌딩,37.5792251324,126.9862171806
6,뮤직컴플렉스 서울,서울 종로구,#LP카페#가볼래터#뮤직카페#뮤직컴플렉스서울#여행구독#음식#음악카페#이색체험#이색카페#인사동가볼만한곳,서울특별시 종로구 인사동길 49,37.574520076,126.9835675554
7,또순이네집,서울 영등포구,#또순이네#또순이네된장찌개#양평동또순이네#영등포또순이네#음식#주물럭맛집,서울특별시 영등포구 선유로47길 16 오오1004빌딩,37.5359285378,126.8954016819
8,우묵배미,서울 관악구,#갈비탕#고기맛집#관악구#꽁치김치찜#돼지낙지전골#돼지두부찌개#돼지두부찌개#돼지볶음#돼지볶음#맛집#서울맛집#서울우묵배미#서울한식당#신림역맛집#육개장#음식,서울특별시 관악구 남부순환로 1540,37.482874061,126.9217674393
9,토속촌삼계탕,서울 종로구,#맛집#삼계탕#음식#종로맛집#토속촌_오골계_삼계탕#토속촌삼계탕#해물파전,서울특별시 종로구 자하문로5길 5,37.5776167233,126.9715935592
10,[백년가게]선천집,서울 종로구,#맛집#백년가게#불고기#서울시#음식#이북음식#종로구#평안도#한식#한정식,서울특별시 종로구 인사동14길 5,37.574953374,126.9844146882
11,청수정,서울 종로구,#맛집#불고기덮밥#뽈떼기찜#뽈떼기탕#삼청동맛집#삼청동밥집#음식#제육볶음#종로맛집#홍합밥#홍합밥정식#홍합비빔밥,서울특별시 종로구 삼청로 91,37.5835745451,126.9816702495
12,[백년가게]만석장,서울 은평구,#두부요리#두부요리전문점#두부한정식#두부한정식#만석장#맛집#백년가게#삼겹살가마구이#삼겹쌈밥#서울시#은평구#음식#정성가득,서울특별시 은평구 대서문길 43-10,37.6558627836,126.9495489059
13,샤오바오우육면 종로본점,서울 종로구,#샤오바오본점#수타우육면#음식#종각샤오바오#종각우육면맛집,서울특별시 종로구 삼일대로17길 15 (관철동),37.5691374236,126.9866396503
14,[백년가게]선동보리밥,서울 성북구,#감자전#백년가게#보리밥#서울맛집#영양돌솥밥#음식,서울특별시 성북구 성북로 134-4,37.5947734856,126.9951659238
15,더 스팟 패뷸러스,서울 중구,#뉴트로카페#명동카페#서울_여행지_추천#서울가볼만한곳#서울권#음식,서울특별시 중구 명동2길 22(명동2가),37.5623853582,126.9826318732
16,인왕산 더숲 초소책방,서울 종로구,#북카페#서울_여행지_추천#서울가볼만한곳#서울권#음식#인왕산,서울특별시 종로구 인왕산로 172(옥인동),37.5860072833,126.9642912092
17,필동면옥,서울 중구,#냉면#냉면#맛집#비빔냉면#서울중구맛집#서울특별시#음식#접시만두#제육담백한_맛#중구#충무로맛집#평양냉면#평양냉면맛집,서울특별시 중구 서애로 26,37.560446953,126.9970195064
18,[백년가게]삼거리 먼지막 순대국,서울 영등포구,#맛집#백년가게#서울미래유산#서울시#순대국#순대국#순대안주가성비_갑담백한_맛#술국#영등포구#음식#해장국,서울특별시 영등포구 시흥대로185길 11,37.4917366609,126.9072018504
22,한옥카페 선운각,서울 강북구,#강북구카페#북한산카페#선운각#야회정원#음식#한옥카페#한옥카페,서울특별시 강북구 삼양로173길 223,37.6580273674,127.0022162607
23,진옥화할매원조닭한마리,서울 종로구,#닭한마리#닭한마리골목#닭한마리맛집#닭한마리칼국수#맛집#서울맛집#음식#종로맛집,서울특별시 종로구 종로40가길 18,37.5703737328,127.0056795466
24,고성막국수,서울 강서구,#동치미막국수#맛집#음식#편육,서울특별시 강서구 방화대로49길 6-7,37.5774278543,126.8161299653
25,원조홍어 본점,서울 영등포구,#맛집#신길동홍어거리#영등포홍어거리#음식#한식#홍어맛집#홍어무침#홍어삼합#홍어회,서울특별시 영등포구 신길로 200-22,37.5106706536,126.9117342379
26,울프강스테이크하우스,서울 강남구,#가족식사_추천#맛집#울프강_샐러드#음식#클래식_버거#포터하우스_스테이크,서울특별시 강남구 선릉로152길 21,37.5244991499,127.041477586
27,남도분식,서울 종로구,#남도분식#맛집#맛집여행#분식맛집#서울맛집#음식#종로맛집,서울특별시 종로구 옥인2길 2,37.5809912486,126.9669744399
28,홍제동30년우동국수,서울 은평구,#갈현동맛집#은평구맛집#은평구맛집#음식#홍제동30년우동국수#홍제동순두부국수#홍제동우동국수,서울특별시 은평구 서오릉로 242,37.6163916272,126.9078177219
29,낙원떡집,서울 종로구,#떡집#서울_여행지_추천#서울가볼만한곳#서울권#서울미래유산#음식,서울특별시 종로구 삼일대로 438(낙원동),37.573845233,126.9879366209
30,텍사스 데 브라질(Texas de Brazil),서울 서초구,#고속터미널맛집#랍스터_비스큐#맛집#브라질리언_브레드#브라질리언_삐까냐#브라질리언브레드#샐러드바#서울맛집#서초맛집#수도권#슈하스코#스테이크#연중무휴#음식#텍사스데브라질#파미에가든#파미에스테이션#페이조아다#프라이드_바나나,서울특별시 서초구 사평대로 205,37.5044703165,127.0078367714
31,뉘조,서울 종로구,#뉘조#맛집#서울맛집#수도권#연중무휴#음식#인사동맛집#종로맛집#한식,서울특별시 종로구 인사동14길 27,37.5751644745,126.985186834
35,[백년가게]하나로회관,서울 종로구,#곱창전골정식#맛집#백년가게#버섯전골정식가성비_갑#서울시#음식#정성가득#종로구#하나로특정식#하나로한정식#한정식,서울특별시 종로구 인사동5길 25,37.5720926128,126.9853702376
39,[백년가게]명동칼국수,서울 중구,#떡만두국#맛집#백년가게#보쌈정식#사골국물#서울맛집#왕만두#음식#정성가득#칼국수#칼국수맛집,서울특별시 중구 을지로 지하 12(을지로1가),37.5660265436,126.9793820667
40,소문난성수감자탕 별관,서울 성동구,#TV방영맛집#TV방영맛집#뚝섬맛집#서울감자탕맛집#성수동맛집#성수동맛집#소문난성수감자탕#음식,서울특별시 성동구 연무장7길 4 해피드림,37.5430527872,127.0546230858
41,[백년가게]진미옥설농탕,서울 송파구,#국밥#남녀노소#도가니탕#맛집#백년가게#설렁탕#소머리탕#송파맛집#음식#진미옥#진미옥설렁탕#한식#한식맛집,서울특별시 송파구 가락로16길 3-12,37.5012141845,127.1092720771
45,카사블랑카,서울 용산구,#남녀노소#맛집#맛집여행#모로코식당#샌드위치맛집#서울맛집#음식#카사블랑카,서울특별시 용산구 신흥로 35(용산동2가),37.5416184075,126.9871042759
46,꽃새우 영번지,서울 강남구,#맛집#음식,서울특별시 강남구 언주로 536,37.5061734979,127.0413447839
47,해주냉면,서울 송파구,#냉면#냉면#맛집#매운냉면#비빔냉면#서울맛집#신천해주냉면#음식#음식점#잠실냉면#잠실맛집#한식#해주냉면,서울특별시 송파구 백제고분로7길 8-16,37.5097126675,127.0798078496
48,평창동 북악정,서울 종로구,#맛집#북악정#북악정궁중갈비#북악정이동갈비#생갈비#서울맛집#수도권#연중무휴#음식#이상갈비#주물럭등심#한식#한우꽃등심#한우살치살,서울특별시 종로구 평창36길 6,37.6113490234,126.9777475973
49,계림식당,서울 종로구,#맛집#음식,서울특별시 종로구 돈화문로4길 39,37.5701624455,126.9945027934
50,키누카누,서울 강서구,#발산역맛집#발산역스시#음식#초밥뷔페#키누카누#키누카누발산역,"서울특별시 강서구 공항대로 247 퀸즈파크나인b103, b104호",37.5593664069,126.8352537286
51,부민옥,서울 중구,#노포맛집#무교동맛집#무교동육개장#미식클럽양무침#미식클럽육개장#부민옥#수요미식회양무침#수요미식회육개장#양무침맛집#육개장맛집#을지로노포맛집#음식,서울특별시 중구 다동길 24-12(다동),37.5675847106,126.9801930592
52,동작노을카페,서울 동작구,#동작노을카페#동작대교카페#별마루한강라운지#음식#이마트24동작노을카페#한강노을맛집#한강뷰카페,서울특별시 동작구 동작대로 335(동작동),37.5060529676,126.9800503675
53,청송옥,서울 중구,#곱창전골#냉면#떡국#맛집#서울#서울맛집추천#육회비빔밥#음식#장터국밥#장터국밥#중구맛집,서울특별시 중구 서소문로11길 14,37.5635933807,126.9730910418
54,소선재,서울 종로구,#간장게장과_식사#능이불고기와_식사#떡갈비#떡갈비와_식사#맛집#보리굴비와_식사#삼청동맛집#삼청동밥집#서울맛집추천#음식#장아찌_보쌈과_식사#한정식,서울특별시 종로구 삼청로 113-1,37.5855909793,126.9818035135
55,10꼬르소꼬모 청담점,서울 강남구,#10꼬르소꼬모#10꼬르소꼬모청담점#강남브런치카페#쇼핑#음식#청담동카페#청담동편집숍#청담브런치카페,서울특별시 강남구 압구정로 416(청담동),37.5269655478,127.0424468728
59,쭈꾸미킹2.0 상봉점,서울 중랑구,#상봉동맛집#음식#중랑구 쭈꾸미킹2.0#직화쭈꾸미#쭈꾸미맛집#쭈꾸미킹2.0#쭈꾸미피자,서울특별시 중랑구 송림길 13(상봉동),37.6000191255,127.0954066401
60,서당골,서울 강북구,#강북맛집#돼지불고기#맛집#서당골정식#서울맛집추천#음식#한식,서울특별시 강북구 한천로 1154,37.6471261301,127.0173179713
64,송파아구찜,서울 송파구,#송파맛집#송파맛집#송파아구맛집#송파아구찜#아귀찜맛집#아귀찜맛집#음식#잠실해물찜맛집,서울특별시 송파구 오금로44길 50-22,37.4948792101,127.1315341206
65,남산골산채집,서울 중구,#맛집#부추전전망_좋은#산채비빔밥#샐러드_돈까스_비빔밥#왕돈까스#음식,서울특별시 중구 소파로 93,37.5567638358,126.9852040201
69,인사동찻집,서울 종로구,#맛집#음식,서울특별시 종로구 인사동길 33-1,37.5735257805,126.9854257474
70,베테랑칼국수 롯데백화점본점,서울 중구,#들깨칼국수#명동베테랑칼국수#명동칼국수#베테랑칼국수#베테랑칼국수롯데백화점#음식#전주베테랑칼국수#칼국수맛집,서울특별시 중구 을지로 30(소공동),37.565479425,126.9816346542
71,"꽃,밥에피다",서울 종로구,#건강식#건강식맛집#건강여행#건강음식#건강한힐링여행#연인과함께#음식#친황경#친황경여행#힐링여행,서울특별시 종로구 인사동16길 3-6(관훈동),37.5753422114,126.9840397113
72,오늘손칼국수&찜 강동본점,서울 강동구,#강동구맛집#강동구맛집#성내동맛집#오늘손칼국수&찜강동본점#오늘손칼국수앤찜#음식#해물찜맛집,서울특별시 강동구 풍성로 206,37.5291391774,127.134602312
73,일일향(日日香),서울 강남구,#가성비_갑#맛집#분위기_좋은#어향동고#음식#전채요리#짬뽕#코스요리#탕수육,서울특별시 강남구 논현로168길 30(신사동),37.5235129585,127.0306230472
77,노랑저고리,서울 서초구,#노랑저고리#맛집#분위기_좋은#서울맛집#수도권#음식#전망_좋은#정성가득#한정식#한정식,서울특별시 서초구 서초대로73길 9,37.49836856,127.0252464702
81,신당동천팥죽,서울 중구,#맛집#음식#정성가득#팥죽#팥칼국수,서울특별시 중구 다산로44길 33,37.5679436569,127.0166369505
