Attraction,Good_Point,Selected_People
동대문역사문화공원,뷰가 좋아요,22
동대문역사문화공원,관리가 잘 되어있어요,21
동대문역사문화공원,볼거리가 많아요,14
동대문역사문화공원,사진이 잘 나와요,12
동대문역사문화공원,산책로가 잘 되어있어요,12
동대문역사문화공원,편의시설이 잘 되어있어요,9
동대문역사문화공원,먹거리가 풍부해요,7
동대문역사문화공원,가격이 합리적이에요,7
동대문역사문화공원,방문객이 많아요,5
동대문역사문화공원,체험 프로그램이 다양해요,5
동대문역사문화공원,주차하기 편해요,4
동대문역사문화공원,컨셉이 독특해요,2
동대문역사문화공원,붐비지 않아요,2
동대문역사문화공원,유익해요,1
서울식물원,신기한 식물이 많아요,2870
서울식물원,산책로가 잘 되어있어요,2757
서울식물원,볼거리가 많아요,2666
서울식물원,사진이 잘 나와요,1101
서울식물원,뷰가 좋아요,864
서울식물원,화장실이 깨끗해요,841
서울식물원,편의시설이 잘 되어있어요,715
서울식물원,주차하기 편해요,680
서울식물원,가격이 합리적이에요,643
서울식물원,대중교통이 편해요,281
서울식물원,규모가 커요,74
서울식물원,아이와 가기 좋아요,62
서울식물원,피크닉하기 좋아요,30
서울식물원,컨셉이 독특해요,6
서울식물원,인테리어가 멋져요,5
서울식물원,체험 프로그램이 다양해요,5
서울식물원,반려동물과 가기 좋아요,3
N서울타워,뷰가 좋아요,4025
N서울타워,야경이 멋져요,1987
N서울타워,사진이 잘 나와요,1865
N서울타워,산책로가 잘 되어있어요,1391
N서울타워,볼거리가 많아요,1190
N서울타워,대중교통이 편해요,565
N서울타워,근처에 갈 곳이 많아요,442
N서울타워,가격이 합리적이에요,273
N서울타워,주차하기 편해요,167
N서울타워,화장실이 깨끗해요,84
N서울타워,시설이 깔끔해요,71
N서울타워,아이와 가기 좋아요,69
N서울타워,편의시설이 잘 되어있어요,35
N서울타워,인테리어가 멋져요,19
N서울타워,먹거리가 풍부해요,13
N서울타워,컨셉이 독특해요,6
N서울타워,체험 프로그램이 다양해요,5
N서울타워,반려동물과 가기 좋아요,3
서울숲,뷰가 좋아요,256
서울숲,사진이 잘 나와요,183
서울숲,볼거리가 많아요,98
서울숲,대중교통이 편해요,63
서울숲,피크닉하기 좋아요,57
서울숲,근처에 갈 곳이 많아요,56
서울숲,산책로가 잘 되어있어요,56
서울숲,경관이 독특해요,50
서울숲,주차하기 편해요,35
서울숲,방문객이 많아요,34
서울숲,붐비지 않아요,26
서울숲,조용히 쉬기 좋아요,24
서울숲,화장실이 깨끗해요,20
서울숲,규모가 커요,19
서울숲,반려동물과 가기 좋아요,18
서울숲,편의시설이 잘 되어있어요,17
서울숲,아이와 가기 좋아요,17
서울숲,관리가 잘 되어있어요,12
서울숲,가격이 합리적이에요,11
서울숲,체험 프로그램이 다양해요,8
서울숲,관리가 잘 되어있어요,6
서울숲,코스가 길어요,5
서울숲,신기한 식물이 많아요,4
서울숲,먹거리가 풍부해요,2
경복궁,사진이 잘 나와요,777
경복궁,볼거리가 많아요,718
경복궁,관리가 잘 되어있어요,317
경복궁,산책로가 잘 되어있어요,280
경복궁,아이와 가기 좋아요,210
경복궁,가격이 합리적이에요,195
경복궁,체험 프로그램이 다양해요,119
경복궁,주차하기 편해요,117
경복궁,뷰가 좋아요,117
경복궁,방문객이 많아요,113
경복궁,설명이 잘 되어있어요,84
경복궁,붐비지 않아요,81
경복궁,규모가 커요,68
경복궁,근처에 갈 곳이 많아요,21
경복궁,야경이 멋져요,20
경복궁,경관이 독특해요,18
경복궁,대중교통이 편해요,8
경복궁,화장실이 깨끗해요,6
경복궁,편의시설이 잘 되어있어요,4
롯데월드 어드벤처,놀이기구가 다양해요,9074
롯데월드 어드벤처,볼거리가 많아요,8780
롯데월드 어드벤처,아이와 가기 좋아요,4569
롯데월드 어드벤처,먹거리가 풍부해요,4209
롯데월드 어드벤처,사진이 잘 나와요,4008
롯데월드 어드벤처,가격이 합리적이에요,2051
롯데월드 어드벤처,주차하기 편해요,1795
롯데월드 어드벤처,체험 프로그램이 다양해요,1476
롯데월드 어드벤처,규모가 커요,524
롯데월드 어드벤처,친절해요,453
롯데월드 어드벤처,시설이 깔끔해요,289
롯데월드 어드벤처,편의시설이 잘 되어있어요,213
롯데월드 어드벤처,안전하게 관리해요,96
롯데월드 어드벤처,유익해요,66
롯데월드 어드벤처,컨셉이 독특해요,49
롯데월드 어드벤처,대기시간이 짧아요,36
롯데월드 어드벤처,수질 관리가 잘돼요,14
롯데월드 어드벤처,셔틀버스가 잘 되어있어요,10
롯데월드 어드벤처,샤워실이 잘 되어있어요,7
롯데월드 어드벤처,숙박하기 좋아요,5
