,Unnamed: 0,attraction,location,tag
0,1601,수유시장,서울 강북구,#배달전통시장#비대면장보기#서울재래시장#쇼핑#수유시장#수유재래시장#수유전통시장
1,1602,KT&G 상상마당 디자인스퀘어,서울 마포구,#기념품#문화활동#복합문화공간#쇼핑#외국인친구에게추천#홍대
2,1603,아리차이,서울 관악구,#국코스가성비_갑#맛집#매코스#아리차이코스#음식
3,1604,익선동 그집,서울 종로구,#만두#맛집#음식#익선동맛집#종로구#칼국수#칼만두
4,1605,롯데시티호텔 구로,서울 구로구,#구로구#롯데시티호텔#롯데시티호텔구로#비즈니스호텔#서울숙소#서울호텔#숙박#호캉스
5,1608,먹고을전주콩나물국밥 묵동본점,서울 중랑구,#음식
6,1609,명품기사식당뚝다리김치찌개,서울 강동구,#강동구김치찌개전문점#기사식당맛집#김치찌개맛집#뚝다리김치찌개#명품기사식당뚝다리김치찌개#음식#천호김치찌개전문점
7,1610,요리하는남자,서울 송파구,#가성비_갑#남녀노소#맛집#분위기_좋은가족식사_추천#블랙치킨샐러드#서양식#안심_팬스테이크#연인과함께#음식#이탈리아음식#청포도리코타샐러드
8,1611,성수족발,서울 성동구,#맛집#서울3대족발#성수맛집#순대국#음식#음식점#족발#족발맛집
9,1612,키미아트,서울 종로구,#맛집#수도권#음식#카페#키미아트카페
10,1615,새만포면옥,서울 은평구,#남녀노소#냉면맛집#백년가게#불고기#서울맛집#어복쟁반#은평구#은평구맛집#음식#친구와함께#평양냉면
11,1616,문배동 육칼,서울 용산구,#남녀노소#맛집#문배동#서울맛집#서울여행#육개장#육계장#육칼#음식#전국맛집#친구와함께#칼국수#칼국수
12,1618,POOM아트박스 (신촌점),서울 서대문구,#디자인#디자인상품#디자인숍#쇼핑#신촌문구점#신촌아트박스#신촌팬시용품점#신촌팬시점#신촌학용품쇼핑
13,1619,청담골,서울 강남구,#가정식_백반#갈치구이_백반#누룽지_정식#맛집#삼치구이#음식#음식점#제육볶음_백반#조기구이_백반#청담골#한정식
14,1620,몽실이네 토종한우,서울 성동구,#갈비살#갈비탕#맛집#살치살#안심#육사시미#육회#음식#한우등심#한우모둠#한우한마리
15,1622,오크우드 프리미어 코엑스,서울 강남구,#가족과함께#강남무역센터#강남호텔#서울숙소#서울호텔#숙박#연인과함께#오크프리미어코엑스#친구와함께#코엑스#코엑스호텔#호캉스
16,1626,드어반관광호텔,서울 강서구,#강서구#서울숙소#숙박
17,1629,미진,서울 종로구,#가족식사_추천#맛집#메밀국수#메밀묵밥#보쌈정식#음식#종로맛집#판메밀
18,1630,동심한정식,서울 중구,#간장게장정식#맛집#보리굴비정식#서울시#음식#중구
19,1631,남원추어탕 풍천장어,서울 강남구,#강남구#건강한요리#건강한음식#맛집#음식#추어탕#추어탕맛집#한식#한식당#한식맛집
20,1632,산삼청각,서울 송파구,#가락동돼지갈비#가족모임식당#갈비집#산삼청각#송파가족모임식당#송파돼지갈비#숯불구이맛집#음식#한옥식당
21,1633,테르트르카페,서울 종로구,#갤러리카페#서울데이트코스#서울루프탑카페#서울뷰맛집#서울야경#서울야경명소#서울전망대카페#음식#창신동뷰카페#테르트르#테르트르카페
22,1635,프리스비 (Frisbee) 건대점,서울 광진구,#Apple#서울프리스비#쇼핑#애플매장#체험형스토어#프리스비건대점
23,1636,플랫폼 플레이스(한남점),서울 용산구,#서울여행#품질인증업소_전체보기#한국관광품질인증
24,1637,최수사 대게마을,서울 강남구,#강남구#대게정식#맛집#사시미코스#서울시#음식
25,1638,파로스관광호텔,서울 송파구,#관광호텔#서울숙소#송파구#숙박
26,1641,정식당,서울 강남구,#가족과함께#맛집#연인과함께#음식#정식당#코스요리#파인다이닝#한식
27,1642,이비스 스타일 앰배서더 서울 강남,서울 강남구,#강남구#서울숙소#숙박#이비스앰배서더
28,1643,인사동큰집,서울 종로구,#맛집#음식#인사동맛집#한식#한정식
29,1644,궁가는여우,서울 종로구,#쇼핑#한복#한복대여점#한복체험점
30,1645,아리랑힐 호텔 동대문,서울 성북구,#관광호텔#동대문호텔#베스트웨스턴아리랑힐동대문#서울숙소#서울호텔#성북구#숙박#호텔
31,1646,옥류헌릴렉스,서울 강북구,#감성카페#계곡#계곡카페#모닥불#모닥불캠프#옥류헌릴렉스#우이동계곡카페#우이동릴렉스#우이동카페#우이천#음식#카페
32,1648,북한산 족두리봉,서울 은평구,#관광지#등산#북한산#서울_여행지_추천#서울가볼만한곳#서울권
33,1651,위대한밥상 영광,서울 서초구,#굴비정식#맛집#서울특별시#서초구#음식#한식
34,1652,부일갈비,서울 서초구,#가족식사_추천#갈비탕#갈빗살#담백한_맛#맛집#부일갈비#생갈비#생등심#서울맛집#소금구이#수도권#양념갈비#음식#한식
35,1653,툭툭누들타이,서울 마포구,#가성비맛집#가족외식추천#꿍_팟퐁커리#데이트코스#맛집#맛집제보#분위기좋은#비주얼맛집#뽀삐아_쁘라짠#쏨땀_가이양#얌꿍#얌운센#음식#태국음식#태국음식점#텃만꿍#푸팟퐁커리
36,1654,금강수림,서울 강남구,#건강식#건강식맛집#꼬리찜#맛집#복지리#복탕#음식#장어맛집#장어주물럭#향토음식#향토음식점
37,1655,면목시장,서울 중랑구,#면목동시장#면목시장#쇼핑#재래시장#전통시장#중랑구전통시장
38,1657,세상의모든아침,서울 영등포구,#기념일레스토랑#브런치#브런치맛집#세상의모든아침#여의도뷰맛집#여의도브런치#웨딩맛집#음식#인테리어맛집#전경련회관식당#펜트하우스촬영장소#한강뷰식당
39,1658,조선옥,서울 중구,#갈비#갈비탕#대구탕#맛집#보양식#양념소갈비#음식#장국밥가성비_갑#한식#한식당#향토음식
40,1659,미 피아체,서울 강남구,#강남맛집#맛집#매콤한_닭_그릴#서울맛집추천#성게알_로제파스타#스페인산_이베리코_하몽#어란_오일_파스타#음식#이탈리아음식#이태리레스토랑#청담동맛집#치즈바게트_그라탕#파스타
41,1660,브릿지안경,서울 강남구,#서울여행#품질인증업소_전체보기#한국관광품질인증
42,1661,[백년가게]창성옥,서울 용산구,#맛집제보#백년가게#뼈전골언론소개_맛집#용산맛집#음식#해장국
43,1662,갯마을풍천장어,서울 도봉구,#능이전복오리백숙#도봉맛집#도봉산#맛집#민물장어#오리전복옻백숙#음식#전복능이삼계탕#코다리시레기+솥밥#코다리조림
44,1663,최대감네,서울 종로구,#맛집#음식
45,1664,삼해집,서울 종로구,#감자탕#굴보쌈#닭도리탕#맛집#소주한잔#아귀찜#음식#친구와함께#한방족발#한식#한식맛집
46,1665,유진막국수,서울 용산구,#남녀노소#막국수#막국수#막국수맛집#맛집#음식#이태원맛집#제육보쌈#족발#족발#해물파전#회막국수
47,1666,눈나무집,서울 종로구,#국수#김치말이_국수#녹두빈대떡#두부김치#떡갈비#맛집#분위기_좋은#삼청동맛집#서울맛집추천#음식#종로구맛집#평양만두
48,1668,고궁마실,서울 종로구,#쇼핑#창경궁#한복대여점#한복체험
49,1669,불맛감자국,서울 은평구,#가족식사_추천#감자탕#닭볶음탕#맛집#음식#해물뼈찜
50,1672,호텔 리베라,서울 강남구,#강남구#서울숙소#숙박#숙박시설#휴식공간
51,1673,해담채 강남점,서울 강남구,#강남맛집#음식#코스요리#해담채
52,1674,초우마을,서울 동대문구,#갈비#꽃등심#동대문구#맛집#음식#한우등심#한우부채살#한우살치살#한우육회
53,1675,대상해,서울 중구,#맛집#음식#정식요리#중식당
54,1676,왕돈까스&왕냉면,서울 관악구,#맛집#음식
55,1679,엘르인호텔,서울 용산구,#남녀노소#서울숙소#숙박#용산구#용산구숙소#편의시설#휴식공간#휴식여행#휴식하기#휴식하기좋은곳#힐링여행
56,1680,루위,서울 강남구,#강남맛집#남녀노소#몽골리안비프데이트_맛집#북경오리_한마리_및_코스요리#소롱포#음식#중식#중식당#중식요리#중식코스요리
57,1682,테이크어스트릿 (Take a street),서울 마포구,#남녀노소#마포구#쇼핑#쇼핑거리#액세서리#의류매장#의류잡화#잡화#캐주얼의류#코디#코디서비스#패션의류
58,1683,파크 하얏트 서울,서울 강남구,#서울숙소#숙박
