,Attraction,Good_Point,Selected_People
0,동대문역사문화공원,뷰가 좋아요,22
1,동대문역사문화공원,관리가 잘 되어있어요,21
2,동대문역사문화공원,볼거리가 많아요,14
3,동대문역사문화공원,사진이 잘 나와요,12
4,동대문역사문화공원,산책로가 잘 되어있어요,12
5,동대문역사문화공원,편의시설이 잘 되어있어요,9
6,동대문역사문화공원,먹거리가 풍부해요,7
7,동대문역사문화공원,가격이 합리적이에요,7
8,동대문역사문화공원,방문객이 많아요,5
9,동대문역사문화공원,체험 프로그램이 다양해요,5
10,동대문역사문화공원,주차하기 편해요,4
11,동대문역사문화공원,컨셉이 독특해요,2
12,동대문역사문화공원,붐비지 않아요,2
13,동대문역사문화공원,유익해요,1
14,서울식물원,신기한 식물이 많아요,2870
15,서울식물원,산책로가 잘 되어있어요,2757
16,서울식물원,볼거리가 많아요,2666
17,서울식물원,사진이 잘 나와요,1101
18,서울식물원,뷰가 좋아요,864
19,서울식물원,화장실이 깨끗해요,841
20,서울식물원,편의시설이 잘 되어있어요,715
21,서울식물원,주차하기 편해요,680
22,서울식물원,가격이 합리적이에요,643
23,서울식물원,대중교통이 편해요,281
24,서울식물원,규모가 커요,74
25,서울식물원,아이와 가기 좋아요,62
26,서울식물원,피크닉하기 좋아요,30
27,서울식물원,컨셉이 독특해요,6
28,서울식물원,인테리어가 멋져요,5
29,서울식물원,체험 프로그램이 다양해요,5
30,서울식물원,반려동물과 가기 좋아요,3
31,N서울타워,뷰가 좋아요,4025
32,N서울타워,야경이 멋져요,1987
33,N서울타워,사진이 잘 나와요,1865
34,N서울타워,산책로가 잘 되어있어요,1391
35,N서울타워,볼거리가 많아요,1190
36,N서울타워,대중교통이 편해요,565
37,N서울타워,근처에 갈 곳이 많아요,442
38,N서울타워,가격이 합리적이에요,273
39,N서울타워,주차하기 편해요,167
40,N서울타워,화장실이 깨끗해요,84
41,N서울타워,시설이 깔끔해요,71
42,N서울타워,아이와 가기 좋아요,69
43,N서울타워,편의시설이 잘 되어있어요,35
44,N서울타워,인테리어가 멋져요,19
45,N서울타워,먹거리가 풍부해요,13
46,N서울타워,컨셉이 독특해요,6
47,N서울타워,체험 프로그램이 다양해요,5
48,N서울타워,반려동물과 가기 좋아요,3
49,서울숲,뷰가 좋아요,256
50,서울숲,사진이 잘 나와요,183
51,서울숲,볼거리가 많아요,98
52,서울숲,대중교통이 편해요,63
53,서울숲,피크닉하기 좋아요,57
54,서울숲,근처에 갈 곳이 많아요,56
55,서울숲,산책로가 잘 되어있어요,56
56,서울숲,경관이 독특해요,50
57,서울숲,주차하기 편해요,35
58,서울숲,방문객이 많아요,34
59,서울숲,붐비지 않아요,26
60,서울숲,조용히 쉬기 좋아요,24
61,서울숲,화장실이 깨끗해요,20
62,서울숲,규모가 커요,19
63,서울숲,반려동물과 가기 좋아요,18
64,서울숲,편의시설이 잘 되어있어요,17
65,서울숲,아이와 가기 좋아요,17
66,서울숲,관리가 잘 되어있어요,12
67,서울숲,가격이 합리적이에요,11
68,서울숲,체험 프로그램이 다양해요,8
69,서울숲,관리가 잘 되어있어요,6
70,서울숲,코스가 길어요,5
71,서울숲,신기한 식물이 많아요,4
72,서울숲,먹거리가 풍부해요,2
73,경복궁,사진이 잘 나와요,777
74,경복궁,볼거리가 많아요,718
75,경복궁,관리가 잘 되어있어요,317
76,경복궁,산책로가 잘 되어있어요,280
77,경복궁,아이와 가기 좋아요,210
78,경복궁,가격이 합리적이에요,195
79,경복궁,체험 프로그램이 다양해요,119
80,경복궁,주차하기 편해요,117
81,경복궁,뷰가 좋아요,117
82,경복궁,방문객이 많아요,113
83,경복궁,설명이 잘 되어있어요,84
84,경복궁,붐비지 않아요,81
85,경복궁,규모가 커요,68
86,경복궁,근처에 갈 곳이 많아요,21
87,경복궁,야경이 멋져요,20
88,경복궁,경관이 독특해요,18
89,경복궁,대중교통이 편해요,8
90,경복궁,화장실이 깨끗해요,6
91,경복궁,편의시설이 잘 되어있어요,4
92,롯데월드 어드벤처,놀이기구가 다양해요,9074
93,롯데월드 어드벤처,볼거리가 많아요,8780
94,롯데월드 어드벤처,아이와 가기 좋아요,4569
95,롯데월드 어드벤처,먹거리가 풍부해요,4209
96,롯데월드 어드벤처,사진이 잘 나와요,4008
97,롯데월드 어드벤처,가격이 합리적이에요,2051
98,롯데월드 어드벤처,주차하기 편해요,1795
99,롯데월드 어드벤처,체험 프로그램이 다양해요,1476
100,롯데월드 어드벤처,규모가 커요,524
101,롯데월드 어드벤처,친절해요,453
102,롯데월드 어드벤처,시설이 깔끔해요,289
103,롯데월드 어드벤처,편의시설이 잘 되어있어요,213
104,롯데월드 어드벤처,안전하게 관리해요,96
105,롯데월드 어드벤처,유익해요,66
106,롯데월드 어드벤처,컨셉이 독특해요,49
107,롯데월드 어드벤처,대기시간이 짧아요,36
108,롯데월드 어드벤처,수질 관리가 잘돼요,14
109,롯데월드 어드벤처,셔틀버스가 잘 되어있어요,10
110,롯데월드 어드벤처,샤워실이 잘 되어있어요,7
111,롯데월드 어드벤처,숙박하기 좋아요,5
112,롯데월드 어드벤처,반려동물과 가기 좋아요,3
113,롯데월드 어드벤처,동물 관리가 잘 되어있어요,2
114,창덕궁,사진이 잘 나와요,483
115,창덕궁,볼거리가 많아요,419
116,창덕궁,산책로가 잘 되어있어요,244
117,창덕궁,관리가 잘 되어있어요,207
118,창덕궁,붐비지 않아요,102
119,창덕궁,뷰가 좋아요,87
120,창덕궁,아이와 가기 좋아요,82
121,창덕궁,가격이 합리적이에요,77
122,창덕궁,설명이 잘 되어있어요,73
123,창덕궁,체험 프로그램이 다양해요,48
124,창덕궁,방문객이 많아요,40
125,창덕궁,규모가 커요,35
126,창덕궁,대중교통이 편해요,15
127,창덕궁,근처에 갈 곳이 많아요,14
128,창덕궁,주차하기 편해요,11
129,창덕궁,경관이 독특해요,11
130,창덕궁,화장실이 깨끗해요,6
131,창덕궁,야경이 멋져요,5
132,창덕궁,편의시설이 잘 되어있어요,1
133,창덕궁,반려동물과 가기 좋아요,1
134,덕수궁,사진이 잘 나와요,312
135,덕수궁,볼거리가 많아요,242
136,덕수궁,산책로가 잘 되어있어요,155
137,덕수궁,관리가 잘 되어있어요,135
138,덕수궁,붐비지 않아요,117
139,덕수궁,가격이 합리적이에요,92
140,덕수궁,뷰가 좋아요,69
141,덕수궁,아이와 가기 좋아요,68
142,덕수궁,체험 프로그램이 다양해요,27
143,덕수궁,야경이 멋져요,25
144,덕수궁,방문객이 많아요,23
145,덕수궁,설명이 잘 되어있어요,23
146,덕수궁,대중교통이 편해요,22
147,덕수궁,근처에 갈 곳이 많아요,16
148,덕수궁,경관이 독특해요,11
149,덕수궁,주차하기 편해요,9
150,덕수궁,규모가 커요,8
151,덕수궁,화장실이 깨끗해요,5
152,덕수궁,반려동물과 가기 좋아요,3
153,덕수궁,편의시설이 잘 되어있어요,2
154,선정릉,산책로가 잘 되어있어요,37
155,선정릉,붐비지 않아요,31
156,선정릉,사진이 잘 나와요,28
157,선정릉,관리가 잘 되어있어요,17
158,선정릉,가격이 합리적이에요,12
159,선정릉,주차하기 편해요,10
160,선정릉,뷰가 좋아요,10
161,선정릉,아이와 가기 좋아요,9
162,선정릉,볼거리가 많아요,8
163,선정릉,설명이 잘 되어있어요,4
164,선정릉,근처에 갈 곳이 많아요,3
165,선정릉,대중교통이 편해요,3
166,선정릉,방문객이 많아요,1
167,선정릉,편의시설이 잘 되어있어요,1
168,선정릉,경관이 독특해요,1
169,롯데월드타워 서울스카이,뷰가 좋아요,9701
170,롯데월드타워 서울스카이,사진이 잘 나와요,5158
171,롯데월드타워 서울스카이,야경이 멋져요,4604
172,롯데월드타워 서울스카이,볼거리가 많아요,3215
173,롯데월드타워 서울스카이,근처에 갈 곳이 많아요,2423
174,롯데월드타워 서울스카이,대중교통이 편해요,2291
175,롯데월드타워 서울스카이,주차하기 편해요,1647
176,롯데월드타워 서울스카이,가격이 합리적이에요,687
177,롯데월드타워 서울스카이,시설이 깔끔해요,416
178,롯데월드타워 서울스카이,산책로가 잘 되어있어요,415
179,롯데월드타워 서울스카이,아이와 가기 좋아요,212
180,롯데월드타워 서울스카이,화장실이 깨끗해요,211
181,롯데월드타워 서울스카이,편의시설이 잘 되어있어요,139
182,롯데월드타워 서울스카이,인테리어가 멋져요,103
183,롯데월드타워 서울스카이,먹거리가 풍부해요,102
184,롯데월드타워 서울스카이,컨셉이 독특해요,62
185,롯데월드타워 서울스카이,체험 프로그램이 다양해요,22
186,롯데월드타워 서울스카이,반려동물과 가기 좋아요,1
187,마포구하늘공원,산책로가 잘 되어있어요,395
188,마포구하늘공원,뷰가 좋아요,322
189,마포구하늘공원,사진이 잘 나와요,233
190,마포구하늘공원,볼거리가 많아요,199
191,마포구하늘공원,피크닉하기 좋아요,190
192,마포구하늘공원,편의시설이 잘 되어있어요,59
193,마포구하늘공원,주차하기 편해요,54
194,마포구하늘공원,대중교통이 편해요,41
195,마포구하늘공원,가격이 합리적이에요,40
196,마포구하늘공원,화장실이 깨끗해요,40
197,마포구하늘공원,아이와 가기 좋아요,8
198,마포구하늘공원,반려동물과 가기 좋아요,7
199,마포구하늘공원,규모가 커요,7
200,마포구하늘공원,조용히 쉬기 좋아요,4
201,마포구하늘공원,방문객이 많아요,3
202,마포구하늘공원,관리가 잘 되어있어요,3
203,마포구하늘공원,붐비지 않아요,2
204,마포구하늘공원,근처에 갈 곳이 많아요,1
205,마포구하늘공원,신기한 식물이 많아요,1
206,마포구하늘공원,경관이 독특해요,1
207,동대문종합시장,주차하기 편해요,17
208,동대문종합시장,종류가 다양해요,12
209,동대문종합시장,친절해요,11
210,동대문종합시장,가성비가 좋아요,7
211,동대문종합시장,특색 있는 제품이 많아요,7
212,동대문종합시장,시설이 깔끔해요,5
213,동대문종합시장,품질이 좋아요,5
214,동대문종합시장,볼거리가 많아요,4
215,동대문종합시장,매장이 넓어요,2
216,동대문종합시장,컨셉이 독특해요,1
217,동대문종합시장,방문객이 많아요,1
218,동대문종합시장,비싼 만큼 가치있어요,1
219,동대문종합시장,트렌디해요,1
220,북촌한옥마을,뷰가 좋아요,52
221,북촌한옥마을,사진이 잘 나와요,43
222,북촌한옥마을,볼거리가 많아요,33
223,북촌한옥마을,방문객이 많아요,33
224,북촌한옥마을,산책로가 잘 되어있어요,15
225,북촌한옥마을,먹거리가 풍부해요,12
226,북촌한옥마을,관리가 잘 되어있어요,8
227,북촌한옥마을,붐비지 않아요,6
228,북촌한옥마을,근처에 갈 곳이 많아요,5
229,북촌한옥마을,규모가 커요,4
230,북촌한옥마을,피크닉하기 좋아요,2
231,북촌한옥마을,트렌디해요,2
232,북촌한옥마을,편의시설이 잘 되어있어요,1
233,북촌한옥마을,조용히 쉬기 좋아요,1
234,북촌한옥마을,아이와 가기 좋아요,1
235,북촌한옥마을,가격이 합리적이에요,1
236,북촌한옥마을,체험 프로그램이 다양해요,1
237,북촌한옥마을,대중교통이 편해요,1
238,북촌한옥마을,자연 경관이 좋아요,1
239,북촌한옥마을,유익해요,1
240,낙산공원,뷰가 좋아요,97
241,낙산공원,산책로가 잘 되어있어요,72
242,낙산공원,사진이 잘 나와요,52
243,낙산공원,관리가 잘 되어있어요,21
244,낙산공원,볼거리가 많아요,20
245,낙산공원,붐비지 않아요,15
246,낙산공원,방문객이 많아요,13
247,낙산공원,자연 경관이 좋아요,13
248,낙산공원,편의시설이 잘 되어있어요,6
249,낙산공원,조용히 쉬기 좋아요,4
250,낙산공원,화장실이 깨끗해요,4
251,낙산공원,근처에 갈 곳이 많아요,2
252,낙산공원,주차하기 편해요,2
253,낙산공원,반려동물과 가기 좋아요,2
254,낙산공원,대중교통이 편해요,2
255,낙산공원,아이와 가기 좋아요,1
256,낙산공원,가격이 합리적이에요,1
257,국립중앙박물관,유익해요,699
258,국립중앙박물관,전시 구성이 알차요,522
259,국립중앙박물관,주차하기 편해요,279
260,국립중앙박물관,공간이 넓어요,275
261,국립중앙박물관,전시 테마가 재밌어요,266
262,국립중앙박물관,설명이 잘 되어있어요,237
263,국립중앙박물관,가격이 합리적이에요,195
264,국립중앙박물관,아이와 가기 좋아요,135
265,국립중앙박물관,체험 프로그램이 다양해요,109
266,국립중앙박물관,사진이 잘 나와요,108
267,국립중앙박물관,뷰가 좋아요,8
268,국립중앙박물관,화장실이 깨끗해요,4
269,국립중앙박물관,컨셉이 독특해요,2
270,광화문,사진이 잘 나와요,127
271,광화문,볼거리가 많아요,90
272,광화문,방문객이 많아요,34
273,광화문,야경이 멋져요,32
274,광화문,관리가 잘 되어있어요,29
275,광화문,뷰가 좋아요,25
276,광화문,근처에 갈 곳이 많아요,24
277,광화문,아이와 가기 좋아요,23
278,광화문,체험 프로그램이 다양해요,17
279,광화문,산책로가 잘 되어있어요,17
280,광화문,규모가 커요,16
281,광화문,대중교통이 편해요,14
