,Attraction,Good_Point,Selected_People
803,채그로,뷰가 좋아요,146
804,채그로,집중하기 좋아요,62
805,채그로,읽을만한 책이 많아요,61
806,채그로,인테리어가 멋져요,60
807,채그로,커피가 맛있어요,39
808,채그로,좌석이 편해요,37
809,채그로,사진이 잘 나와요,34
810,채그로,대화하기 좋아요,34
811,채그로,음료가 맛있어요,29
812,채그로,친절해요,24
813,채그로,화장실이 깨끗해요,15
814,채그로,디저트가 맛있어요,13
815,채그로,가성비가 좋아요,7
816,채그로,주차하기 편해요,5
817,채그로,특별한 메뉴가 있어요,5
818,채그로,아늑해요,4
819,채그로,차분한 분위기에요,1
820,채그로,매장이 넓어요,1
821,채그로,매장이 청결해요,1
822,채그로,건강한 맛이에요,1
962,소소한 풍경,음식이 맛있어요,367
963,소소한 풍경,특별한 메뉴가 있어요,171
964,소소한 풍경,친절해요,150
965,소소한 풍경,재료가 신선해요,143
966,소소한 풍경,인테리어가 멋져요,117
967,소소한 풍경,뷰가 좋아요,114
968,소소한 풍경,특별한 날 가기 좋아요,102
969,소소한 풍경,매장이 청결해요,55
970,소소한 풍경,가성비가 좋아요,48
971,소소한 풍경,단체모임 하기 좋아요,41
972,소소한 풍경,양이 많아요,39
973,소소한 풍경,매장이 넓어요,36
974,소소한 풍경,화장실이 깨끗해요,18
975,소소한 풍경,건강한 맛이에요,8
976,소소한 풍경,메뉴 구성이 알차요,5
977,소소한 풍경,야외 공간이 멋져요,5
978,소소한 풍경,차분한 분위기에요,3
979,소소한 풍경,혼밥하기 좋아요,3
980,소소한 풍경,주차하기 편해요,3
981,소소한 풍경,아늑해요,2
982,소소한 풍경,반찬이 잘 나와요,2
983,소소한 풍경,컨셉이 독특해요,1
984,소소한 풍경,코스요리가 알차요,1
985,소소한 풍경,음식이 빨리 나와요,1
986,소소한 풍경,사진이 잘 나와요,1
987,소소한 풍경,대화하기 좋아요,1
1223,영등포 신길동 홍어거리,음식이 맛있어요,120
1224,영등포 신길동 홍어거리,친절해요,48
1225,영등포 신길동 홍어거리,재료가 신선해요,37
1226,영등포 신길동 홍어거리,특별한 메뉴가 있어요,37
1227,영등포 신길동 홍어거리,양이 많아요,19
1228,영등포 신길동 홍어거리,가성비가 좋아요,16
1229,영등포 신길동 홍어거리,특별한 날 가기 좋아요,12
1230,영등포 신길동 홍어거리,단체모임 하기 좋아요,12
1231,영등포 신길동 홍어거리,매장이 넓어요,8
1232,영등포 신길동 홍어거리,매장이 청결해요,8
1233,영등포 신길동 홍어거리,주차하기 편해요,4
1234,영등포 신길동 홍어거리,화장실이 깨끗해요,3
1235,영등포 신길동 홍어거리,인테리어가 멋져요,1
1236,영등포 신길동 홍어거리,메뉴 구성이 알차요,1
1237,영등포 신길동 홍어거리,건강한 맛이에요,1
1598,서울 신림동 민속순대타운,음식이 맛있어요,253
1599,서울 신림동 민속순대타운,양이 많아요,165
1600,서울 신림동 민속순대타운,가성비가 좋아요,120
1601,서울 신림동 민속순대타운,친절해요,114
1602,서울 신림동 민속순대타운,특별한 메뉴가 있어요,29
1603,서울 신림동 민속순대타운,재료가 신선해요,24
1604,서울 신림동 민속순대타운,단체모임 하기 좋아요,18
1605,서울 신림동 민속순대타운,직접 잘 구워줘요,15
1606,서울 신림동 민속순대타운,고기 질이 좋아요,13
1607,서울 신림동 민속순대타운,매장이 넓어요,8
1608,서울 신림동 민속순대타운,매장이 청결해요,6
1609,서울 신림동 민속순대타운,혼밥하기 좋아요,5
1610,서울 신림동 민속순대타운,인테리어가 멋져요,5
1611,서울 신림동 민속순대타운,주차하기 편해요,4
1612,서울 신림동 민속순대타운,화장실이 깨끗해요,3
1613,서울 신림동 민속순대타운,특별한 날 가기 좋아요,2
1614,서울 신림동 민속순대타운,뷰가 좋아요,2
1615,서울 신림동 민속순대타운,음식이 빨리 나와요,1
1616,서울 신림동 민속순대타운,잡내가 적어요,1
1617,서울 신림동 민속순대타운,건강한 맛이에요,1
1696,마복림할머니집,음식이 맛있어요,3605
1697,마복림할머니집,양이 많아요,1238
1698,마복림할머니집,매장이 넓어요,1164
1699,마복림할머니집,가성비가 좋아요,1026
1700,마복림할머니집,친절해요,823
1701,마복림할머니집,특별한 메뉴가 있어요,590
1702,마복림할머니집,재료가 신선해요,537
1703,마복림할머니집,주차하기 편해요,457
1704,마복림할머니집,단체모임 하기 좋아요,239
1705,마복림할머니집,매장이 청결해요,226
1706,마복림할머니집,특별한 날 가기 좋아요,106
1707,마복림할머니집,혼밥하기 좋아요,92
1708,마복림할머니집,음식이 빨리 나와요,64
1709,마복림할머니집,화장실이 깨끗해요,45
1710,마복림할머니집,인테리어가 멋져요,39
1711,마복림할머니집,뷰가 좋아요,22
1712,마복림할머니집,메뉴 구성이 알차요,17
1713,마복림할머니집,대화하기 좋아요,7
1714,마복림할머니집,건강한 맛이에요,6
1715,마복림할머니집,현지 맛에 가까워요,4
1716,마복림할머니집,아이와 가기 좋아요,3
1717,마복림할머니집,포장이 깔끔해요,3
1718,마복림할머니집,차분한 분위기에요,2
1719,마복림할머니집,컨셉이 독특해요,2
1720,마복림할머니집,아늑해요,2
1721,마복림할머니집,술이 다양해요,1
1722,마복림할머니집,혼술하기 좋아요,1
1723,마복림할머니집,사진이 잘 나와요,1
1724,마복림할머니집,비싼 만큼 가치있어요,1
1725,마복림할머니집,반찬이 잘 나와요,1
1726,마복림할머니집,향신료가 강하지 않아요,1
1744,뮤직컴플렉스 서울,인테리어가 멋져요,375
1745,뮤직컴플렉스 서울,사진이 잘 나와요,165
1746,뮤직컴플렉스 서울,친절해요,146
1747,뮤직컴플렉스 서울,좌석이 편해요,142
1748,뮤직컴플렉스 서울,커피가 맛있어요,127
1749,뮤직컴플렉스 서울,집중하기 좋아요,115
1750,뮤직컴플렉스 서울,음료가 맛있어요,83
1751,뮤직컴플렉스 서울,대화하기 좋아요,77
1752,뮤직컴플렉스 서울,매장이 청결해요,75
1753,뮤직컴플렉스 서울,음악이 좋아요,60
1754,뮤직컴플렉스 서울,특별한 메뉴가 있어요,50
1755,뮤직컴플렉스 서울,화장실이 깨끗해요,49
1756,뮤직컴플렉스 서울,디저트가 맛있어요,43
1757,뮤직컴플렉스 서울,뷰가 좋아요,34
1758,뮤직컴플렉스 서울,매장이 넓어요,22
1759,뮤직컴플렉스 서울,컨셉이 독특해요,21
1760,뮤직컴플렉스 서울,아늑해요,14
1761,뮤직컴플렉스 서울,차분한 분위기에요,13
1762,뮤직컴플렉스 서울,가성비가 좋아요,12
1763,뮤직컴플렉스 서울,비싼 만큼 가치있어요,11
1764,뮤직컴플렉스 서울,특별한 날 가기 좋아요,6
1765,뮤직컴플렉스 서울,오래 머무르기 좋아요,6
1766,뮤직컴플렉스 서울,주차하기 편해요,4
1767,뮤직컴플렉스 서울,룸이 잘 되어있어요,2
1768,뮤직컴플렉스 서울,혼술하기 좋아요,1
1769,뮤직컴플렉스 서울,음식이 빨리 나와요,1
1770,뮤직컴플렉스 서울,종류가 다양해요,1
1771,또순이네집,음식이 맛있어요,2709
1772,또순이네집,가성비가 좋아요,838
1773,또순이네집,매장이 넓어요,687
1774,또순이네집,특별한 메뉴가 있어요,606
1775,또순이네집,양이 많아요,560
1776,또순이네집,친절해요,459
1777,또순이네집,고기 질이 좋아요,370
1778,또순이네집,재료가 신선해요,346
1779,또순이네집,단체모임 하기 좋아요,303
1780,또순이네집,주차하기 편해요,266
1781,또순이네집,혼밥하기 좋아요,153
1782,또순이네집,매장이 청결해요,85
1783,또순이네집,특별한 날 가기 좋아요,60
1784,또순이네집,음식이 빨리 나와요,40
1785,또순이네집,인테리어가 멋져요,28
1786,또순이네집,화장실이 깨끗해요,22
1787,또순이네집,직접 잘 구워줘요,20
1788,또순이네집,건강한 맛이에요,19
1789,또순이네집,잡내가 적어요,13
1790,또순이네집,뷰가 좋아요,12
1791,또순이네집,비싼 만큼 가치있어요,5
1792,또순이네집,컨셉이 독특해요,3
1793,또순이네집,아늑해요,1
1794,또순이네집,메뉴 구성이 알차요,1
1795,또순이네집,룸이 잘 되어있어요,1
1796,또순이네집,반찬이 잘 나와요,1
1797,또순이네집,환기가 잘 돼요,1
1798,우묵배미,음식이 맛있어요,113
1799,우묵배미,친절해요,46
1800,우묵배미,매장이 넓어요,45
1801,우묵배미,단체모임 하기 좋아요,27
1802,우묵배미,양이 많아요,21
1803,우묵배미,고기 질이 좋아요,20
1804,우묵배미,가성비가 좋아요,19
1805,우묵배미,매장이 청결해요,18
1806,우묵배미,재료가 신선해요,15
1807,우묵배미,혼밥하기 좋아요,13
1808,우묵배미,특별한 메뉴가 있어요,9
1809,우묵배미,인테리어가 멋져요,3
1810,우묵배미,주차하기 편해요,3
1811,우묵배미,화장실이 깨끗해요,2
1812,우묵배미,음식이 빨리 나와요,1
1813,우묵배미,특별한 날 가기 좋아요,1
1814,우묵배미,건강한 맛이에요,1
1815,우묵배미,뷰가 좋아요,1
1849,청계산,뷰가 좋아요,46
1850,청계산,사진이 잘 나와요,28
1851,청계산,대중교통이 편해요,14
1852,청계산,산책로가 잘 되어있어요,14
1853,청계산,경관이 독특해요,12
1854,청계산,주차하기 편해요,11
1855,청계산,볼거리가 많아요,10
1856,청계산,근처에 갈 곳이 많아요,10
1857,청계산,붐비지 않아요,9
1858,청계산,방문객이 많아요,7
1859,청계산,피크닉하기 좋아요,5
1860,청계산,코스가 길어요,3
1861,청계산,관리가 잘 되어있어요,3
1862,청계산,조용히 쉬기 좋아요,3
1863,청계산,편의시설이 잘 되어있어요,2
1864,청계산,먹거리가 풍부해요,2
1865,청계산,반려동물과 가기 좋아요,2
1866,청계산,화장실이 깨끗해요,2
1916,토속촌삼계탕,음식이 맛있어요,4202
1917,토속촌삼계탕,매장이 넓어요,1403
1918,토속촌삼계탕,특별한 메뉴가 있어요,741
1919,토속촌삼계탕,친절해요,643
1920,토속촌삼계탕,양이 많아요,541
1921,토속촌삼계탕,재료가 신선해요,514
1922,토속촌삼계탕,단체모임 하기 좋아요,480
1923,토속촌삼계탕,주차하기 편해요,373
1924,토속촌삼계탕,인테리어가 멋져요,277
1925,토속촌삼계탕,특별한 날 가기 좋아요,260
1926,토속촌삼계탕,매장이 청결해요,249
1927,토속촌삼계탕,고기 질이 좋아요,243
1928,토속촌삼계탕,가성비가 좋아요,174
1929,토속촌삼계탕,혼밥하기 좋아요,139
1930,토속촌삼계탕,화장실이 깨끗해요,97
1931,토속촌삼계탕,건강한 맛이에요,76
1932,토속촌삼계탕,뷰가 좋아요,51
1933,토속촌삼계탕,음식이 빨리 나와요,47
1934,토속촌삼계탕,잡내가 적어요,29
1935,토속촌삼계탕,비싼 만큼 가치있어요,16
1936,토속촌삼계탕,직접 잘 구워줘요,6
1937,토속촌삼계탕,반찬이 잘 나와요,5
1938,토속촌삼계탕,컨셉이 독특해요,4
1939,토속촌삼계탕,아늑해요,3
1940,토속촌삼계탕,아이와 가기 좋아요,3
1941,토속촌삼계탕,메뉴 구성이 알차요,2
1942,토속촌삼계탕,룸이 잘 되어있어요,2
1943,토속촌삼계탕,차분한 분위기에요,1
1944,토속촌삼계탕,코스요리가 알차요,1
1945,토속촌삼계탕,야외 공간이 멋져요,1
1946,토속촌삼계탕,환기가 잘 돼요,1
1978,석파랑,음식이 맛있어요,43
1979,석파랑,특별한 날 가기 좋아요,25
1980,석파랑,차분한 분위기에요,24
1981,석파랑,친절해요,22
1982,석파랑,뷰가 좋아요,21
1983,석파랑,재료가 신선해요,19
1984,석파랑,인테리어가 멋져요,16
1985,석파랑,단체모임 하기 좋아요,16
1986,석파랑,비싼 만큼 가치있어요,13
1987,석파랑,주차하기 편해요,11
1988,석파랑,매장이 넓어요,6
1989,석파랑,매장이 청결해요,6
1990,석파랑,양이 많아요,4
1991,석파랑,화장실이 깨끗해요,3
1992,석파랑,가성비가 좋아요,2
1993,석파랑,혼밥하기 좋아요,1
1994,석파랑,음식이 빨리 나와요,1
2014,[백년가게]선천집,음식이 맛있어요,41
2015,[백년가게]선천집,친절해요,23
2016,[백년가게]선천집,재료가 신선해요,10
2017,[백년가게]선천집,단체모임 하기 좋아요,9
2018,[백년가게]선천집,매장이 청결해요,6
2019,[백년가게]선천집,가성비가 좋아요,5
2020,[백년가게]선천집,매장이 넓어요,5
2021,[백년가게]선천집,특별한 날 가기 좋아요,3
2022,[백년가게]선천집,특별한 메뉴가 있어요,3
2023,[백년가게]선천집,양이 많아요,2
2024,[백년가게]선천집,차분한 분위기에요,1
2025,[백년가게]선천집,아늑해요,1
2026,[백년가게]선천집,혼밥하기 좋아요,1
2027,[백년가게]선천집,인테리어가 멋져요,1
2028,[백년가게]선천집,주차하기 편해요,1
2029,[백년가게]선천집,대화하기 좋아요,1
2030,[백년가게]선천집,건강한 맛이에요,1
2059,청수정,음식이 맛있어요,739
2060,청수정,특별한 메뉴가 있어요,281
2061,청수정,재료가 신선해요,233
2062,청수정,친절해요,207
2063,청수정,양이 많아요,98
2064,청수정,가성비가 좋아요,86
2065,청수정,특별한 날 가기 좋아요,83
2066,청수정,단체모임 하기 좋아요,68
