tourist_spot,목록,good_point,selected_people
서울어린이대공원,테마파크,"""아이와 가기 좋아요""",1964
서울어린이대공원,테마파크,"""가격이 합리적이에요""",1403
서울어린이대공원,테마파크,"""놀이기구가 다양해요""",861
서울어린이대공원,테마파크,"""볼거리가 많아요""",824
서울어린이대공원,테마파크,"""주차하기 편해요""",489
서울어린이대공원,테마파크,"""사진이 잘 나와요""",464
서울어린이대공원,테마파크,"""체험 프로그램이 다양해요""",195
서울어린이대공원,테마파크,"""먹거리가 풍부해요""",171
서울어린이대공원,테마파크,"""규모가 커요""",93
서울어린이대공원,테마파크,"""친절해요""",74
서울어린이대공원,테마파크,"""대기시간이 짧아요""",68
서울어린이대공원,테마파크,"""편의시설이 잘 되어있어요""",32
서울어린이대공원,테마파크,"""유익해요""",21
서울어린이대공원,테마파크,"""동물 관리가 잘 되어있어요""",17
서울어린이대공원,테마파크,"""안전하게 관리해요""",15
서울어린이대공원,테마파크,"""시설이 깔끔해요""",8
서울어린이대공원,테마파크,"""컨셉이 독특해요""",1
서울어린이대공원,테마파크,"""셔틀버스가 잘 되어있어요""",1
섬세이 테라리움,전시관,"""사진이 잘 나와요""",92
섬세이 테라리움,전시관,"""인테리어가 멋져요""",81
섬세이 테라리움,전시관,"""친절해요""",49
섬세이 테라리움,전시관,"""뷰가 좋아요""",30
섬세이 테라리움,전시관,"""매장이 청결해요""",29
섬세이 테라리움,전시관,"""음료가 맛있어요""",26
섬세이 테라리움,전시관,"""집중하기 좋아요""",19
섬세이 테라리움,전시관,"""대화하기 좋아요""",12
섬세이 테라리움,전시관,"""화장실이 깨끗해요""",10
섬세이 테라리움,전시관,"""특별한 메뉴가 있어요""",5
섬세이 테라리움,전시관,"""가성비가 좋아요""",4
섬세이 테라리움,전시관,"""디저트가 맛있어요""",1
목인박물관 목석원,박물관,"""사진이 잘 나와요""",62
목인박물관 목석원,박물관,"""유익해요""",62
목인박물관 목석원,박물관,"""전시 구성이 알차요""",61
목인박물관 목석원,박물관,"""공간이 넓어요""",53
목인박물관 목석원,박물관,"""전시 테마가 재밌어요""",42
목인박물관 목석원,박물관,"""가격이 합리적이에요""",21
목인박물관 목석원,박물관,"""뷰가 좋아요""",18
목인박물관 목석원,박물관,"""설명이 잘 되어있어요""",17
목인박물관 목석원,박물관,"""아이와 가기 좋아요""",9
목인박물관 목석원,박물관,"""체험 프로그램이 다양해요""",7
목인박물관 목석원,박물관,"""컨셉이 독특해요""",4
목인박물관 목석원,박물관,"""주차하기 편해요""",3
목인박물관 목석원,박물관,"""화장실이 깨끗해요""",1
용마폭포공원,"도시,테마공원","""뷰가 좋아요""",42
용마폭포공원,"도시,테마공원","""산책로가 잘 되어있어요""",31
용마폭포공원,"도시,테마공원","""주차하기 편해요""",15
용마폭포공원,"도시,테마공원","""볼거리가 많아요""",14
용마폭포공원,"도시,테마공원","""관리가 잘 되어있어요""",13
용마폭포공원,"도시,테마공원","""사진이 잘 나와요""",12
용마폭포공원,"도시,테마공원","""붐비지 않아요""",9
용마폭포공원,"도시,테마공원","""편의시설이 잘 되어있어요""",6
용마폭포공원,"도시,테마공원","""가격이 합리적이에요""",4
용마폭포공원,"도시,테마공원","""방문객이 많아요""",1
용마폭포공원,"도시,테마공원","""아이와 가기 좋아요""",1
용마폭포공원,"도시,테마공원","""자연 경관이 좋아요""",1
국립민속박물관&국립민속박물관 어린이박물관,박물관,"""유익해요""",20
