,tourist_spot,spot_arrtribute,good_point,selected_people
100,10꼬르소꼬모 청담점,종합패션,"""종류가 다양해요""","이 키워드를 선택한 인원
38"
101,10꼬르소꼬모 청담점,종합패션,"""독특한 디자인이 많아요""","이 키워드를 선택한 인원
32"
102,10꼬르소꼬모 청담점,종합패션,"""친절해요""","이 키워드를 선택한 인원
29"
103,10꼬르소꼬모 청담점,종합패션,"""품질이 좋아요""","이 키워드를 선택한 인원
27"
104,10꼬르소꼬모 청담점,종합패션,"""매장이 넓어요""","이 키워드를 선택한 인원
20"
105,10꼬르소꼬모 청담점,종합패션,"""분위기가 편안해요""","이 키워드를 선택한 인원
12"
106,10꼬르소꼬모 청담점,종합패션,"""주차하기 편해요""","이 키워드를 선택한 인원
8"
107,10꼬르소꼬모 청담점,종합패션,"""스타일 추천을 잘해줘요""","이 키워드를 선택한 인원
7"
108,10꼬르소꼬모 청담점,종합패션,"""트렌디해요""","이 키워드를 선택한 인원
5"
109,10꼬르소꼬모 청담점,종합패션,"""고급스러워요""","이 키워드를 선택한 인원
3"
120,10꼬르소꼬모 청담점,종합패션,"""가성비가 좋아요""","이 키워드를 선택한 인원
3"
121,10꼬르소꼬모 청담점,종합패션,"""선물하기 좋아요""","이 키워드를 선택한 인원
2"
122,10꼬르소꼬모 청담점,종합패션,"""A/S가 세심해요""","이 키워드를 선택한 인원
1"
123,10꼬르소꼬모 청담점,종합패션,"""컨셉이 독특해요""","이 키워드를 선택한 인원
1"
124,10꼬르소꼬모 청담점,종합패션,"""비싼 만큼 가치있어요""","이 키워드를 선택한 인원
1"
125,북한산둘레캠핑장,"캠핑,야영장","""깨끗해요""","이 키워드를 선택한 인원
552"
126,북한산둘레캠핑장,"캠핑,야영장","""바비큐 해먹기 좋아요 ""","이 키워드를 선택한 인원
428"
127,북한산둘레캠핑장,"캠핑,야영장","""화장실이 잘 되어있어요""","이 키워드를 선택한 인원
361"
128,북한산둘레캠핑장,"캠핑,야영장","""조용히 쉬기 좋아요""","이 키워드를 선택한 인원
296"
129,북한산둘레캠핑장,"캠핑,야영장","""주차하기 편해요""","이 키워드를 선택한 인원
264"
130,북한산둘레캠핑장,"캠핑,야영장","""공용시설 관리가 잘돼요""","이 키워드를 선택한 인원
236"
131,북한산둘레캠핑장,"캠핑,야영장","""뷰가 좋아요""","이 키워드를 선택한 인원
220"
132,북한산둘레캠핑장,"캠핑,야영장","""사진이 잘 나와요""","이 키워드를 선택한 인원
144"
133,북한산둘레캠핑장,"캠핑,야영장","""친절해요""","이 키워드를 선택한 인원
89"
134,북한산둘레캠핑장,"캠핑,야영장","""사이트 간격이 넓어요""","이 키워드를 선택한 인원
75"
145,북한산둘레캠핑장,"캠핑,야영장","""개수대가 잘 되어있어요""","이 키워드를 선택한 인원
59"
146,북한산둘레캠핑장,"캠핑,야영장","""그늘이 많아요""","이 키워드를 선택한 인원
51"
147,북한산둘레캠핑장,"캠핑,야영장","""벌레 걱정 없어요""","이 키워드를 선택한 인원
41"
148,북한산둘레캠핑장,"캠핑,야영장","""냉난방이 잘돼요""","이 키워드를 선택한 인원
36"
149,북한산둘레캠핑장,"캠핑,야영장","""온수가 잘 나와요""","이 키워드를 선택한 인원
34"
165,북한산둘레캠핑장,"캠핑,야영장","""매너타임이 잘 지켜져요""","이 키워드를 선택한 인원
30"
166,북한산둘레캠핑장,"캠핑,야영장","""인테리어가 멋져요""","이 키워드를 선택한 인원
15"
167,북한산둘레캠핑장,"캠핑,야영장","""아이와 가기 좋아요""","이 키워드를 선택한 인원
15"
168,북한산둘레캠핑장,"캠핑,야영장","""파티하기 좋아요""","이 키워드를 선택한 인원
13"
169,북한산둘레캠핑장,"캠핑,야영장","""전기 사용이 편해요""","이 키워드를 선택한 인원
12"
190,북한산둘레캠핑장,"캠핑,야영장","""컨셉이 독특해요""","이 키워드를 선택한 인원
11"
191,북한산둘레캠핑장,"캠핑,야영장","""마트 이용이 편해요""","이 키워드를 선택한 인원
11"
192,북한산둘레캠핑장,"캠핑,야영장","""취사시설이 잘 되어있어요""","이 키워드를 선택한 인원
9"
193,북한산둘레캠핑장,"캠핑,야영장","""가성비가 좋아요""","이 키워드를 선택한 인원
8"
194,북한산둘레캠핑장,"캠핑,야영장","""대중교통이 편해요""","이 키워드를 선택한 인원
8"
220,북한산둘레캠핑장,"캠핑,야영장","""편의시설이 잘 되어있어요""","이 키워드를 선택한 인원
7"
221,북한산둘레캠핑장,"캠핑,야영장","""비싼 만큼 가치있어요""","이 키워드를 선택한 인원
6"
222,북한산둘레캠핑장,"캠핑,야영장","""방음이 잘돼요""","이 키워드를 선택한 인원
3"
223,북한산둘레캠핑장,"캠핑,야영장","""물놀이하기 좋아요""","이 키워드를 선택한 인원
3"
224,북한산둘레캠핑장,"캠핑,야영장","""즐길 거리가 많아요""","이 키워드를 선택한 인원
1"
225,춘원당한의약박물관,박물관,"""유익해요""","이 키워드를 선택한 인원
6"
226,춘원당한의약박물관,박물관,"""전시 구성이 알차요""","이 키워드를 선택한 인원
4"
227,춘원당한의약박물관,박물관,"""설명이 잘 되어있어요""","이 키워드를 선택한 인원
4"
228,춘원당한의약박물관,박물관,"""공간이 넓어요""","이 키워드를 선택한 인원
2"
229,춘원당한의약박물관,박물관,"""전시 테마가 재밌어요""","이 키워드를 선택한 인원
1"
230,춘원당한의약박물관,박물관,"""주차하기 편해요""","이 키워드를 선택한 인원
1"
231,춘원당한의약박물관,박물관,"""가격이 합리적이에요""","이 키워드를 선택한 인원
1"
232,춘원당한의약박물관,박물관,"""체험 프로그램이 다양해요""","이 키워드를 선택한 인원
1"
