,tourist_spot,spot_arrtribute,good_point,selected_people
0,수유시장,시장,"""친절해요""","이 키워드를 선택한 인원
39"
1,수유시장,시장,"""품질이 좋아요""","이 키워드를 선택한 인원
26"
2,수유시장,시장,"""종류가 다양해요""","이 키워드를 선택한 인원
18"
3,수유시장,시장,"""가성비가 좋아요""","이 키워드를 선택한 인원
17"
4,수유시장,시장,"""먹거리가 풍부해요""","이 키워드를 선택한 인원
7"
5,수유시장,시장,"""시설이 깔끔해요""","이 키워드를 선택한 인원
6"
6,수유시장,시장,"""주차하기 편해요""","이 키워드를 선택한 인원
6"
7,수유시장,시장,"""매장이 넓어요""","이 키워드를 선택한 인원
3"
8,수유시장,시장,"""분위기가 편안해요""","이 키워드를 선택한 인원
1"
9,수유시장,시장,"""비싼 만큼 가치있어요""","이 키워드를 선택한 인원
1"
20,수유시장,시장,"""특색 있는 제품이 많아요""","이 키워드를 선택한 인원
1"
21,KT&G 상상마당 디자인스퀘어,"가구,인테리어","""종류가 다양해요""","이 키워드를 선택한 인원
530"
22,KT&G 상상마당 디자인스퀘어,"가구,인테리어","""특색 있는 제품이 많아요""","이 키워드를 선택한 인원
408"
23,KT&G 상상마당 디자인스퀘어,"가구,인테리어","""매장이 넓어요""","이 키워드를 선택한 인원
228"
24,KT&G 상상마당 디자인스퀘어,"가구,인테리어","""친절해요""","이 키워드를 선택한 인원
130"
25,KT&G 상상마당 디자인스퀘어,"가구,인테리어","""품질이 좋아요""","이 키워드를 선택한 인원
128"
26,KT&G 상상마당 디자인스퀘어,"가구,인테리어","""가성비가 좋아요""","이 키워드를 선택한 인원
124"
27,KT&G 상상마당 디자인스퀘어,"가구,인테리어","""시설이 깔끔해요""","이 키워드를 선택한 인원
108"
28,KT&G 상상마당 디자인스퀘어,"가구,인테리어","""분위기가 편안해요""","이 키워드를 선택한 인원
93"
29,KT&G 상상마당 디자인스퀘어,"가구,인테리어","""비싼 만큼 가치있어요""","이 키워드를 선택한 인원
47"
30,KT&G 상상마당 디자인스퀘어,"가구,인테리어","""트렌디해요""","이 키워드를 선택한 인원
24"
41,KT&G 상상마당 디자인스퀘어,"가구,인테리어","""예쁜 소품이 많아요""","이 키워드를 선택한 인원
23"
42,KT&G 상상마당 디자인스퀘어,"가구,인테리어","""아기자기해요""","이 키워드를 선택한 인원
22"
43,KT&G 상상마당 디자인스퀘어,"가구,인테리어","""독특한 디자인이 많아요""","이 키워드를 선택한 인원
11"
44,KT&G 상상마당 디자인스퀘어,"가구,인테리어","""선물하기 좋아요""","이 키워드를 선택한 인원
8"
45,KT&G 상상마당 디자인스퀘어,"가구,인테리어","""주차하기 편해요""","이 키워드를 선택한 인원
7"
61,KT&G 상상마당 디자인스퀘어,"가구,인테리어","""컨셉이 독특해요""","이 키워드를 선택한 인원
3"
62,KT&G 상상마당 디자인스퀘어,"가구,인테리어","""신상품이 많아요""","이 키워드를 선택한 인원
3"
63,KT&G 상상마당 디자인스퀘어,"가구,인테리어","""고급스러워요""","이 키워드를 선택한 인원
2"
64,KT&G 상상마당 디자인스퀘어,"가구,인테리어","""포장이 정성스러워요""","이 키워드를 선택한 인원
1"
65,아리차이,중식당,"""음식이 맛있어요""","이 키워드를 선택한 인원
1223"
66,아리차이,중식당,"""친절해요""","이 키워드를 선택한 인원
360"
67,아리차이,중식당,"""매장이 넓어요""","이 키워드를 선택한 인원
319"
68,아리차이,중식당,"""재료가 신선해요""","이 키워드를 선택한 인원
272"
69,아리차이,중식당,"""특별한 메뉴가 있어요""","이 키워드를 선택한 인원
266"
70,아리차이,중식당,"""단체모임 하기 좋아요""","이 키워드를 선택한 인원
259"
71,아리차이,중식당,"""양이 많아요""","이 키워드를 선택한 인원
232"
72,아리차이,중식당,"""매장이 청결해요""","이 키워드를 선택한 인원
166"
73,아리차이,중식당,"""가성비가 좋아요""","이 키워드를 선택한 인원
142"
74,아리차이,중식당,"""특별한 날 가기 좋아요""","이 키워드를 선택한 인원
123"
85,아리차이,중식당,"""주차하기 편해요""","이 키워드를 선택한 인원
79"
86,아리차이,중식당,"""인테리어가 멋져요""","이 키워드를 선택한 인원
62"
87,아리차이,중식당,"""화장실이 깨끗해요""","이 키워드를 선택한 인원
58"
88,아리차이,중식당,"""혼밥하기 좋아요""","이 키워드를 선택한 인원
39"
89,아리차이,중식당,"""뷰가 좋아요""","이 키워드를 선택한 인원
16"
105,아리차이,중식당,"""음식이 빨리 나와요""","이 키워드를 선택한 인원
5"
106,아리차이,중식당,"""건강한 맛이에요""","이 키워드를 선택한 인원
5"
107,아리차이,중식당,"""코스요리가 알차요""","이 키워드를 선택한 인원
4"
108,아리차이,중식당,"""룸이 잘 되어있어요""","이 키워드를 선택한 인원
4"
109,아리차이,중식당,"""메뉴 구성이 알차요""","이 키워드를 선택한 인원
3"
130,아리차이,중식당,"""비싼 만큼 가치있어요""","이 키워드를 선택한 인원
3"
131,아리차이,중식당,"""대화하기 좋아요""","이 키워드를 선택한 인원
3"
132,아리차이,중식당,"""잡내가 적어요""","이 키워드를 선택한 인원
2"
133,아리차이,중식당,"""술이 다양해요""","이 키워드를 선택한 인원
1"
134,아리차이,중식당,"""차분한 분위기에요""","이 키워드를 선택한 인원
1"
160,아리차이,중식당,"""좌석이 편해요""","이 키워드를 선택한 인원
1"
161,아리차이,중식당,"""사진이 잘 나와요""","이 키워드를 선택한 인원
1"
162,아리차이,중식당,"""향신료가 강하지 않아요""","이 키워드를 선택한 인원
1"
163,아리차이,중식당,"""오래 머무르기 좋아요""","이 키워드를 선택한 인원
1"
164,익선동 그집,"칼국수,만두","""음식이 맛있어요""","이 키워드를 선택한 인원
152"
165,익선동 그집,"칼국수,만두","""친절해요""","이 키워드를 선택한 인원
53"
166,익선동 그집,"칼국수,만두","""재료가 신선해요""","이 키워드를 선택한 인원
44"
167,익선동 그집,"칼국수,만두","""양이 많아요""","이 키워드를 선택한 인원
35"
168,익선동 그집,"칼국수,만두","""혼밥하기 좋아요""","이 키워드를 선택한 인원
31"
169,익선동 그집,"칼국수,만두","""매장이 청결해요""","이 키워드를 선택한 인원
29"
170,익선동 그집,"칼국수,만두","""가성비가 좋아요""","이 키워드를 선택한 인원
28"
171,익선동 그집,"칼국수,만두","""매장이 넓어요""","이 키워드를 선택한 인원
12"
172,익선동 그집,"칼국수,만두","""화장실이 깨끗해요""","이 키워드를 선택한 인원
10"
173,익선동 그집,"칼국수,만두","""특별한 메뉴가 있어요""","이 키워드를 선택한 인원
8"
184,익선동 그집,"칼국수,만두","""인테리어가 멋져요""","이 키워드를 선택한 인원
6"
185,익선동 그집,"칼국수,만두","""건강한 맛이에요""","이 키워드를 선택한 인원
5"
186,익선동 그집,"칼국수,만두","""단체모임 하기 좋아요""","이 키워드를 선택한 인원
5"
187,익선동 그집,"칼국수,만두","""뷰가 좋아요""","이 키워드를 선택한 인원
5"
188,익선동 그집,"칼국수,만두","""아늑해요""","이 키워드를 선택한 인원
2"
204,익선동 그집,"칼국수,만두","""반찬이 잘 나와요""","이 키워드를 선택한 인원
2"
205,익선동 그집,"칼국수,만두","""차분한 분위기에요""","이 키워드를 선택한 인원
1"
206,익선동 그집,"칼국수,만두","""특별한 날 가기 좋아요""","이 키워드를 선택한 인원
1"
207,롯데시티호텔 구로,3성급,"""침구가 좋아요""","이 키워드를 선택한 인원
103"
208,롯데시티호텔 구로,3성급,"""친절해요""","이 키워드를 선택한 인원
95"
209,롯데시티호텔 구로,3성급,"""조용히 쉬기 좋아요""","이 키워드를 선택한 인원
87"
210,롯데시티호텔 구로,3성급,"""깨끗해요""","이 키워드를 선택한 인원
76"
211,롯데시티호텔 구로,3성급,"""호캉스하기 좋아요""","이 키워드를 선택한 인원
53"
212,롯데시티호텔 구로,3성급,"""냉난방이 잘돼요""","이 키워드를 선택한 인원
39"
213,롯데시티호텔 구로,3성급,"""주차하기 편해요""","이 키워드를 선택한 인원
37"
214,롯데시티호텔 구로,3성급,"""대중교통이 편해요""","이 키워드를 선택한 인원
25"
215,롯데시티호텔 구로,3성급,"""방음이 잘돼요""","이 키워드를 선택한 인원
24"
216,롯데시티호텔 구로,3성급,"""조식이 맛있어요""","이 키워드를 선택한 인원
15"
227,롯데시티호텔 구로,3성급,"""뷰가 좋아요""","이 키워드를 선택한 인원
13"
228,롯데시티호텔 구로,3성급,"""인테리어가 멋져요""","이 키워드를 선택한 인원
12"
229,롯데시티호텔 구로,3성급,"""즐길 거리가 많아요""","이 키워드를 선택한 인원
10"
230,롯데시티호텔 구로,3성급,"""화장실이 잘 되어있어요""","이 키워드를 선택한 인원
2"
231,롯데시티호텔 구로,3성급,"""사진이 잘 나와요""","이 키워드를 선택한 인원
1"
247,롯데시티호텔 구로,3성급,"""수영장이 잘 되어있어요""","이 키워드를 선택한 인원
1"
248,롯데시티호텔 구로,3성급,"""가성비가 좋아요""","이 키워드를 선택한 인원
1"
249,먹고을전주콩나물국밥 묵동본점,한식,"""음식이 맛있어요""","이 키워드를 선택한 인원
1485"
250,먹고을전주콩나물국밥 묵동본점,한식,"""재료가 신선해요""","이 키워드를 선택한 인원
355"
251,먹고을전주콩나물국밥 묵동본점,한식,"""친절해요""","이 키워드를 선택한 인원
308"
252,먹고을전주콩나물국밥 묵동본점,한식,"""양이 많아요""","이 키워드를 선택한 인원
289"
253,먹고을전주콩나물국밥 묵동본점,한식,"""가성비가 좋아요""","이 키워드를 선택한 인원
267"
254,먹고을전주콩나물국밥 묵동본점,한식,"""매장이 넓어요""","이 키워드를 선택한 인원
254"
255,먹고을전주콩나물국밥 묵동본점,한식,"""특별한 메뉴가 있어요""","이 키워드를 선택한 인원
183"
256,먹고을전주콩나물국밥 묵동본점,한식,"""혼밥하기 좋아요""","이 키워드를 선택한 인원
170"
257,먹고을전주콩나물국밥 묵동본점,한식,"""주차하기 편해요""","이 키워드를 선택한 인원
150"
258,먹고을전주콩나물국밥 묵동본점,한식,"""단체모임 하기 좋아요""","이 키워드를 선택한 인원
139"
269,먹고을전주콩나물국밥 묵동본점,한식,"""매장이 청결해요""","이 키워드를 선택한 인원
57"
270,먹고을전주콩나물국밥 묵동본점,한식,"""화장실이 깨끗해요""","이 키워드를 선택한 인원
33"
271,먹고을전주콩나물국밥 묵동본점,한식,"""반찬이 잘 나와요""","이 키워드를 선택한 인원
27"
272,먹고을전주콩나물국밥 묵동본점,한식,"""특별한 날 가기 좋아요""","이 키워드를 선택한 인원
25"
273,먹고을전주콩나물국밥 묵동본점,한식,"""인테리어가 멋져요""","이 키워드를 선택한 인원
17"
289,먹고을전주콩나물국밥 묵동본점,한식,"""건강한 맛이에요""","이 키워드를 선택한 인원
7"
290,먹고을전주콩나물국밥 묵동본점,한식,"""음식이 빨리 나와요""","이 키워드를 선택한 인원
6"
291,먹고을전주콩나물국밥 묵동본점,한식,"""뷰가 좋아요""","이 키워드를 선택한 인원
5"
