,tourist_spot,good_point,selected_people
0,금강제화 영등포본점,"""친절해요""","이 키워드를 선택한 인원
47"
1,금강제화 영등포본점,"""품질이 좋아요""","이 키워드를 선택한 인원
46"
2,금강제화 영등포본점,"""종류가 다양해요""","이 키워드를 선택한 인원
21"
3,금강제화 영등포본점,"""매장이 넓어요""","이 키워드를 선택한 인원
14"
4,금강제화 영등포본점,"""A/S가 세심해요""","이 키워드를 선택한 인원
13"
5,금강제화 영등포본점,"""가성비가 좋아요""","이 키워드를 선택한 인원
12"
6,금강제화 영등포본점,"""스타일 추천을 잘해줘요""","이 키워드를 선택한 인원
10"
7,금강제화 영등포본점,"""분위기가 편안해요""","이 키워드를 선택한 인원
6"
8,금강제화 영등포본점,"""독특한 디자인이 많아요""","이 키워드를 선택한 인원
4"
9,금강제화 영등포본점,"""주차하기 편해요""","이 키워드를 선택한 인원
3"
10,동림매듭공방,"""유익해요""","이 키워드를 선택한 인원
10"
11,동림매듭공방,"""체험 프로그램이 다양해요""","이 키워드를 선택한 인원
8"
12,동림매듭공방,"""전시 구성이 알차요""","이 키워드를 선택한 인원
6"
13,동림매듭공방,"""가격이 합리적이에요""","이 키워드를 선택한 인원
4"
14,동림매듭공방,"""전시 테마가 재밌어요""","이 키워드를 선택한 인원
3"
15,동림매듭공방,"""아이와 가기 좋아요""","이 키워드를 선택한 인원
3"
16,동림매듭공방,"""설명이 잘 되어있어요""","이 키워드를 선택한 인원
2"
17,동림매듭공방,"""사진이 잘 나와요""","이 키워드를 선택한 인원
1"
18,동림매듭공방,"""공간이 넓어요""","이 키워드를 선택한 인원
1"
19,더퍼스트스테이 호텔,"""침구가 좋아요""","이 키워드를 선택한 인원
45"
20,더퍼스트스테이 호텔,"""깨끗해요""","이 키워드를 선택한 인원
45"
21,더퍼스트스테이 호텔,"""친절해요""","이 키워드를 선택한 인원
40"
22,더퍼스트스테이 호텔,"""조용히 쉬기 좋아요""","이 키워드를 선택한 인원
30"
23,더퍼스트스테이 호텔,"""대중교통이 편해요""","이 키워드를 선택한 인원
30"
24,더퍼스트스테이 호텔,"""주차하기 편해요""","이 키워드를 선택한 인원
22"
25,더퍼스트스테이 호텔,"""냉난방이 잘돼요""","이 키워드를 선택한 인원
18"
26,더퍼스트스테이 호텔,"""방음이 잘돼요""","이 키워드를 선택한 인원
16"
27,더퍼스트스테이 호텔,"""호캉스하기 좋아요""","이 키워드를 선택한 인원
13"
28,더퍼스트스테이 호텔,"""인테리어가 멋져요""","이 키워드를 선택한 인원
8"
29,더퍼스트스테이 호텔,"""즐길 거리가 많아요""","이 키워드를 선택한 인원
6"
30,더퍼스트스테이 호텔,"""뷰가 좋아요""","이 키워드를 선택한 인원
6"
31,더퍼스트스테이 호텔,"""사진이 잘 나와요""","이 키워드를 선택한 인원
4"
32,더퍼스트스테이 호텔,"""조식이 맛있어요""","이 키워드를 선택한 인원
2"
33,더퍼스트스테이 호텔,"""편의시설이 잘 되어있어요""","이 키워드를 선택한 인원
1"
34,더퍼스트스테이 호텔,"""근처에 갈 곳이 많아요""","이 키워드를 선택한 인원
1"
35,더퍼스트스테이 호텔,"""벌레 걱정 없어요""","이 키워드를 선택한 인원
1"
36,더퍼스트스테이 호텔,"""가성비가 좋아요""","이 키워드를 선택한 인원
1"
37,더퍼스트스테이 호텔,"""보안시설이 잘 되어있어요""","이 키워드를 선택한 인원
1"
38,더퍼스트스테이 호텔,"""화장실이 잘 되어있어요""","이 키워드를 선택한 인원
1"
39,도넛정수 창신,"""디저트가 맛있어요""","이 키워드를 선택한 인원
861"
40,도넛정수 창신,"""뷰가 좋아요""","이 키워드를 선택한 인원
654"
41,도넛정수 창신,"""인테리어가 멋져요""","이 키워드를 선택한 인원
315"
42,도넛정수 창신,"""커피가 맛있어요""","이 키워드를 선택한 인원
298"
43,도넛정수 창신,"""특별한 메뉴가 있어요""","이 키워드를 선택한 인원
290"
44,도넛정수 창신,"""친절해요""","이 키워드를 선택한 인원
264"
45,도넛정수 창신,"""사진이 잘 나와요""","이 키워드를 선택한 인원
252"
46,도넛정수 창신,"""음료가 맛있어요""","이 키워드를 선택한 인원
196"
47,도넛정수 창신,"""매장이 청결해요""","이 키워드를 선택한 인원
125"
48,도넛정수 창신,"""대화하기 좋아요""","이 키워드를 선택한 인원
79"
49,도넛정수 창신,"""가성비가 좋아요""","이 키워드를 선택한 인원
33"
50,도넛정수 창신,"""화장실이 깨끗해요""","이 키워드를 선택한 인원
31"
51,도넛정수 창신,"""좌석이 편해요""","이 키워드를 선택한 인원
26"
52,도넛정수 창신,"""집중하기 좋아요""","이 키워드를 선택한 인원
12"
53,도넛정수 창신,"""차분한 분위기에요""","이 키워드를 선택한 인원
6"
54,도넛정수 창신,"""아늑해요""","이 키워드를 선택한 인원
6"
55,도넛정수 창신,"""음식이 맛있어요""","이 키워드를 선택한 인원
4"
56,도넛정수 창신,"""주차하기 편해요""","이 키워드를 선택한 인원
4"
57,도넛정수 창신,"""빵이 맛있어요""","이 키워드를 선택한 인원
3"
58,도넛정수 창신,"""컨셉이 독특해요""","이 키워드를 선택한 인원
3"
59,도넛정수 창신,"""포장이 깔끔해요""","이 키워드를 선택한 인원
3"
60,도넛정수 창신,"""선물하기 좋아요""","이 키워드를 선택한 인원
2"
