Longitude,Latitude,attraction
127.1037554,37.5132192,한국의집 롯데월드몰점
127.0424933,37.5270564,10꼬르소꼬모 청담점
126.939265,37.6473948,북한산둘레캠핑장
126.9902445,37.5715314,춘원당한의약박물관
126.990676,37.574973,종로 떡박물관
127.0954786,37.5998501,쭈꾸미킹2.0 상봉점
126.9117967,37.5441362,한국천주교순교자박물관
126.970865,37.5769082,서울한옥스테이(jnpstay)
126.8886523,37.5589079,와이키키마켓
127.0099154,37.5195281,한강시민공원 잠원수영장
126.9980153,37.5391392,그랜드하얏트 서울 아이스링크
127.0168481,37.6469144,강북구 서당골
126.915729,37.5493447,종이잡지클럽
127.0008636,37.5507903,반얀트리 클럽 앤 스파 서울
127.0077253,37.5571834,신라면세점(서울점)
126.9032417,37.5255729,하이서울유스호스텔 레스토랑
126.9218654,37.5303474,켄싱턴호텔 여의도 뉴욕뉴욕
126.9853537,37.5567948,남산산채집
127.1166398,37.5225253,서울올림픽파크텔
126.9767357,37.5679986,코리아나 호텔
126.9901188,37.5627146,시간을 담다
127.0367916,37.6382724,신창시장
126.9809588,37.5646138,중구 베테랑칼국수
126.9698388,37.5800567,한옥 게스트하우스 동촌재
126.9840246,37.5753027,꽃밥에피다
126.8497997,37.5021465,고척근린시장
126.9681453,37.5802928,소소하우스
127.001938,37.5386535,패션5
126.9973586,37.584872,페르시안궁전
127.1346161,37.5290909,강동 오늘손칼국수
126.9778562,37.5706088,핫트랙스 (광화문점)
127.0087841,37.5703168,JW 메리어트 호텔 서울
126.9779269,37.5647565,더 플라자 호텔 서울
127.0231312,37.5216017,갤러리에이엠
127.0951824,37.4849404,필경재
126.894659,37.5624469,평화의공원
127.1191396,37.4940965,캘리포니아 관광호텔
127.0015377,37.5649542,송림식당
127.032276,37.5072184,일일향 논현2호점
126.9762709,37.5678504,더케이호텔서울
127.0252161,37.498308,서초동노랑저고리
127.0426898,37.4714325,양재근린공원
127.0051504,37.560937,중구 송원
126.9584177,37.5117765,용양봉저정 공원
126.95433,37.483842,봉천중앙시장
127.0568382,37.5831425,서울시립대학교박물관
127.018796,37.5651432,신당동천팥죽
127.0767612,37.5981089,태릉시장
126.8985905,37.4551212,동흥관
127.0516988,37.5165885,강남구 카페엠
126.864547,37.4970259,송림가
126.9395874,37.5198083,63뷔페 파빌리온
126.9350249,37.4846465,강강술래신림본동점
126.9818877,37.5823254,세인트제임스 삼청점
126.9400976,37.6542338,송추가마골 은평1호점
126.817971,37.5478974,봉래헌(메이필드호텔)
126.9971854,37.5395392,그랜드 하얏트 서울
127.0066739,37.563379,중구평양면옥
126.9800267,37.5644229,웨스틴 조선 서울
126.9852144,37.5452784,꾸에바마테라
126.8355536,37.533272,신영시장
127.0418022,37.5279656,갤러리아백화점명품관EAST
126.8915519,37.5089789,문화철도 959
126.9575823,37.5758308,올리바인 스파
126.9729232,37.5629681,고려삼계탕
126.8896826,37.4778623,금천구춘천옥
126.9999889,37.5848999,짚풀생활사박물관
126.878041,37.4793668,인크커피 가산점
126.9905008,37.5945857,성북동누룽지백숙
126.9973239,37.57372,고래불
127.0355146,37.5204602,배정철어도
127.0148534,37.5631829,아이러브신당동떡볶이
126.9482893,37.5408379,베스트웨스턴 프리미어 서울가든호텔
126.9954079,37.534412,케르반레스토랑
126.9948325,37.5951076,수연산방
126.8721452,37.5698219,한강공원 난지캠핑장
127.0060938,37.5596935,동국대학교 박물관
126.9818877,37.5823254,세인트제임스 서울
127.0464076,37.4484078,서울 서초 글램핑 청계산장
126.974513,37.5623209,진주집
126.9140894,35.1471941,호남식당
127.0087751,37.5689497,두타몰
126.9343205,37.5718424,서대문수빈
126.9898576,37.573409,때때롯살롱
126.9403581,37.5198207,여의도백리향
126.9597779,37.5329332,용산전자랜드
126.9816557,37.5654532,롯데호텔서울
126.9396169,37.4860884,봉일시장
127.1083378,37.5121528,송파구횡성한우
127.0275749,37.6637487,도봉구대문한정식
126.9853192,37.5567578,촛불1978
127.0651765,37.5364385,노룬산골목시장
127.006072,37.5602114,평안도족발집
127.117462,37.5154323,청와옥 본점
126.937343,37.5578619,서대문구형제갈비
127.0290022,37.50539,노보텔 앰배서더 강남
127.0232592,37.5208783,엘크레
126.9852375,37.5814917,가회민화박물관
126.9812358,37.5646671,송화산시도삭면
126.9266142,37.5255723,콘래드 서울
127.0252224,37.5154929,학동공원
127.08804,37.558105,신성종합시장
127.0766435,37.6182702,참만나
127.0775825,37.6195545,제일콩집
126.9798583,37.5677548,무교동 북어국집
127.0596527,37.6547234,전민규의황제누룽지탕 노원직영점
127.0277365,37.5272043,현대백화점 (압구정본점)
126.990646,37.5345003,WANGTHAI
127.0595362,37.539875,성수살라댕템플
126.9860621,37.5738196,관훈동 산촌
126.985533,37.578449,로씨니
127.0306583,37.5672761,대도식당 왕십리본점
127.1437693,37.5389596,길동복조리시장
126.9829981,37.5643362,이비스 앰배서더 명동
126.9780888,37.568858,산채향
126.9813363,37.577993,사간동푸드떼
126.9855456,37.5734971,관훈동 한국공예관
126.984921,37.5614693,네이처리퍼블릭 명동월드점
126.9480855,37.5606261,서강대박물관
126.8521495,37.5042943,고척근린공원
127.0087841,37.5703168,JW 메리어트 동대문 스퀘어 서울
126.9692518,37.5756467,종로구콰니
126.8902273,37.5070439,테크노마트
126.9218654,37.5303474,켄싱턴호텔 여의도
126.9205227,37.5497271,마포삼다코지
126.9879827,37.573484,옛날집낙원아구찜
126.889675,37.5162833,영일분식
127.0412581,37.6877088,아재왔소
126.9848503,37.5449235,르몽블랑
127.0655417,37.5082495,대치동중앙해장
126.997545,37.5762429,고궁의 아침
126.9961462,37.5933105,성북동돼지갈비본점
127.1501499,37.53685,강동황도바지락칼국수
127.578285,36.991629,금왕돈까스
126.9248624,37.5292501,운산
127.081788,37.46191,서초구통나무집
127.0403801,37.4850352,설마중
126.8076995,37.5619646,강서도일처
127.0588373,37.5148749,강남곰바위
126.8866475,37.5823581,스탠포드호텔 서울
126.9812824,37.5651957,소공동세란안경
127.0965742,37.5057121,드럼통 참숯석쇠구이
126.8441199,37.5423156,화곡본동시장
126.9840953,37.5740374,KCDF 갤러리숍 공예정원
126.9777119,37.569166,서울청계광장
127.0116819,37.5759486,종로구밀림
126.9851231,37.5750013,인사동 촌
126.9017142,37.4536732,[백년가게]대호정
127.0982369,37.5972319,우림시장
127.0104366,37.5687972,맥스타일 (maxtyle)
126.9702503,37.5952438,아델라베일리
127.1503219,37.49809,마천중앙시장
127.0147694,37.5629114,삼대할먼네
126.9644686,37.5281258,용산구기와
126.9917799,37.5661653,을지다방
127.0149848,37.4859546,해담채 남부터미널점
126.9901022,37.5738043,감꽃당
126.994818,37.5116182,골든블루마리나
126.9926942,37.5945902,국화정원
126.9756648,37.5711472,뽐모도로
127.0600193,37.5117836,영풍문고 스타필드코엑스몰점
127.0847458,37.5097742,트레스드
127.0227208,37.6368508,수유동가문
