tourist_spot,주소,참여인원수,목록
서울어린이대공원,서울특별시 광진구 능동로 216,"2,699명",테마파크
섬세이 테라리움,서울특별시 성동구 서울숲2길 44-1 지하1층 섬세이 테라리움,152명,전시관
목인박물관 목석원,서울특별시 종로구 창의문로5길 46-1,135명,박물관
용마폭포공원,서울특별시 중랑구 용마산로 250-12 용마폭포공원관리사무소,64명,"도시,테마공원"
국립민속박물관&국립민속박물관 어린이박물관,서울특별시 종로구 삼청로 37,28명,박물관
서울 운현궁,서울특별시 종로구 삼일대로 464 운현궁,47명,궁궐
여의도샛강생태공원,서울특별시 영등포구 여의도동 49,18명,"자연,생태공원"
난지한강공원,서울특별시 마포구 한강난지로 162 한강공원 난지안내센터,105명,시민공원
국립항공박물관,서울특별시 강서구 하늘길 177,789명,박물관
경동시장,서울특별시 동대문구 고산자로36길 3,49명,시장
용산가족공원,서울특별시 용산구 서빙고로 137 국립중앙박물관,36명,근린공원
서서울호수공원,서울특별시 양천구 남부순환로64길 26 신월야구장,41명,"도시,테마공원"
영등포 신길동 홍어거리,서울특별시 영등포구 신길로 200-20 1층 홍어명가,135명,"해물,생선요리"
무수아취,서울특별시 도봉구 도봉로169길 249,"2,025명","캠핑,야영장"
서울함공원,서울특별시 마포구 마포나루길 407,151명,"도시,테마공원"
헬로우 에이피엠 (Hello apm),서울특별시 중구 장충단로 253 헬로우 에이피엠,28명,"화장품,향수"
키자니아 서울,서울특별시 송파구 올림픽로 240 키자니아 서울,111명,테마파크
챔피언1250,서울특별시 용산구 한강대로23길 55 아이파크몰 리빙파크 6층,"1,384명","키즈카페,실내놀이터"
배봉산,서울특별시 동대문구 휘경2동 배봉산,10명,산
만해한용운심우장,서울특별시 성북구 성북로29길 24,11명,기념물
독립문,서울특별시 서대문구 현저동 941,36명,기념물
전쟁기념관,서울특별시 용산구 이태원로 29 전쟁기념관,772명,박물관
서울 중부시장,서울특별시 중구 을지로32길 33,24명,시장
삼익패션타운,서울특별시 중구 남대문시장8길 7 삼익상가지하 2,60명,"상가,아케이드"
흥인지문,서울특별시 종로구 종로 288 흥인지문,46명,기념물
롯데월드 아쿠아리움,서울특별시 송파구 올림픽로 300 롯데월드몰 B1,"9,496명",아쿠아리움
남산 야외식물원,서울특별시 용산구 이태원동 259-16,189명,"식물원,수목원"
선유도공원,서울특별시 영등포구 선유로 343,67명,근린공원
중명전,서울특별시 중구 정동,17명,국가유산
양화한강공원,서울특별시 영등포구 노들로 113 양화개나리점,61명,시민공원
수락산,서울특별시 노원구 상계동,49명,산
국립고궁박물관,서울특별시 종로구 효자로 12 국립고궁박물관,119명,박물관
IFC몰,서울특별시 영등포구 여의도동 국제금융로 10 서울 국제금융 센터,"1,986명","쇼핑센터,할인매장"
관악산 낙성대공원,서울특별시 관악구 낙성대로 77 낙성대공원,104명,"도시,테마공원"
다이나믹 메이즈 (서울 인사동점),서울특별시 종로구 인사동길 12 대일빌딩 지하1층,"2,615명",테마파크
서대문독립공원,서울특별시 서대문구 통일로 247 독립문역,282명,테마공원
대림중앙시장,서울특별시 영등포구 디지털로37나길 21,12명,시장
서울역사박물관,서울특별시 종로구 새문안로 55,34명,박물관
서울 신림동 민속순대타운,서울특별시 관악구 신림로59길 14 원빌딩 3층 301호,270명,"순대,순댓국"
더현대 서울,서울특별시 영등포구 여의대로 108 더현대 서울,"2,326명",백화점
서울 효창공원,서울특별시 용산구 효창동,24명,국가유산
파크하비오 워터킹덤&스파,서울특별시 송파구 송파대로 111 202동 지하1층,"3,445명",워터파크
서울창포원,서울특별시 도봉구 마들로 916,49명,"식물원,수목원"
전쟁과여성인권박물관,서울특별시 마포구 월드컵북로11길 20 전쟁과여성인권박물관,38명,박물관
마복림할머니집,서울특별시 중구 다산로35길 5,"5,114명",떡볶이
아쿠아플라넷 63,서울특별시 영등포구 63로 50,"6,386명",아쿠아리움
뮤직컴플렉스 서울,서울특별시 종로구 인사동길 49 안녕인사동 5층 뮤직컴플렉스서울,610명,"카페,디저트"
또순이네집,서울특별시 영등포구 선유로47길 16 오오1004빌딩,"2,778명",소고기구이
우묵배미,서울특별시 관악구 남부순환로 1540 1층,126명,돼지고기구이
영등포청과시장,서울특별시 영등포구 영신로41길 5-1 에이원하우징,19명,시장
보라매공원,서울특별시 동작구 여의대방로20길 33,838명,근린공원
청계산,서울특별시 서초구 청계산로 434,632명,돼지고기구이
호텔 카푸치노,서울특별시 강남구 봉은사로 155 호텔 카푸치노,183명,3성급
한강시민공원 망원지구(망원한강공원),서울특별시 마포구 마포나루길 467 한강공원망원지구사무소,141명,시민공원
국립한글박물관,서울특별시 용산구 서빙고로 139,265명,박물관
토속촌삼계탕,서울특별시 종로구 자하문로5길 5 토속촌,"4,675명","백숙,삼계탕"
허준박물관,서울특별시 강서구 허준로 87 허준박물관,39명,박물관
남산공원,서울 중구 삼일대로 231,130명,"도시, 테마공원"
석파랑,서울특별시 종로구 자하문로 309,87명,한정식-일반
마로니에공원,서울특별시 종로구 대학로 104,401명,근린공원
