,관광지명,주소,리뷰참여인원,관광지분류명
1,10꼬르소꼬모 청담점,"서울특별시 강남구 압구정로 416 (청담동) 1층, 2층",76명 참여,종합패션
2,춘원당한의약박물관,서울특별시 종로구 돈화문로9길 27,12명 참여,박물관
3,종로 떡박물관,서울특별시 종로구 돈화문로 71 인산빌딩,45명 참여,박물관
4,북한산둘레캠핑장,서울특별시 은평구 연서로 608-2,653명 참여,"캠핑,야영장"
5,쭈꾸미킹2.0 상봉점,서울특별시 중랑구 송림길 13,"2,204명 참여",주꾸미요리
6,한국천주교순교자박물관,서울특별시 마포구 토정로 6,13명 참여,"유적지,사적지"
7,서울한옥스테이(jnpstay),서울특별시 종로구 자하문로1나길 7-28,130명 참여,게스트하우스
8,와이키키마켓,서울특별시 마포구 마포나루길 332 와이키키마켓,931명 참여,"육류,고기요리"
9,한강시민공원 잠원수영장,서울특별시 서초구 잠원로 145-57,134명 참여,수영장
10,그랜드하얏트 서울 아이스링크,서울특별시 용산구 소월로 322,249명 참여,아이스링크
11,강북구 서당골,서울특별시 강북구 한천로 1153,845명 참여,한식
12,종이잡지클럽,서울특별시 마포구 양화로8길 32-15 지하 1층,42명 참여,서점
13,반얀트리 클럽 앤 스파 서울,서울특별시 중구 장충단로 60,191명 참여,5성급
14,신라면세점(서울점),서울특별시 중구 동호로 249,518명 참여,면세점
15,하이서울유스호스텔 레스토랑,서울특별시 영등포구 영신로 200 하이서울유스호스텔,172명 참여,호스텔
16,켄싱턴호텔 여의도 뉴욕뉴욕,서울특별시 영등포구 국회대로76길 16 켄싱턴호텔 여의도 1층,473명 참여,"스테이크,립"
17,남산골산채집,서울특별시 중구 소파로 95 1층,"2,561명 참여",돈가스
18,서울올림픽파크텔,서울특별시 송파구 올림픽로 424,321명 참여,4급
19,코리아나 호텔,서울특별시 중구 세종대로 135 코리아나호텔,819명 참여,4성급
21,신창시장,서울특별시 도봉구 창동 445-20,73명 참여,시장
22,중구 베테랑칼국수,서울특별시 중구 남대문로 81 롯데백화점 본점 B1F,476명 참여,"칼국수,만두"
23,한옥 게스트하우스 동촌재,서울특별시 종로구 자하문로11길 21-10 동촌재,42명 참여,게스트하우스
24,꽃밥에피다,서울특별시 종로구 인사동16길 3-6,"1,772명 참여",한식
25,고척근린시장,서울특별시 구로구 고척로32길 11-3,29명 참여,시장
26,소소하우스,서울특별시 종로구 필운대로5가길 16-5,45명 참여,전통숙소
27,패션5,서울특별시 용산구 이태원로 272 SPC빌딩,"4,504명 참여",베이커리
28,페르시안궁전,서울특별시 종로구 성균관로6길 9,"2,370명 참여",인도음식
29,강동 오늘손칼국수,서울특별시 강동구 풍성로 206,836명 참여,"칼국수,만두"
30,핫트랙스 (광화문점),서울특별시 종로구 종로 1 교보생명빌딩 B1,"6,480명 참여","문구,팬시용품"
31,JW 메리어트 호텔 서울,서울특별시 서초구 신반포로 176 JW 메리어트 호텔 서울,564명 참여,5성급
32,더 플라자 호텔 서울,서울특별시 중구 소공로 119,524명 참여,5성급
33,갤러리에이엠,서울특별시 강남구 논현로159길 66,27명 참여,패션
34,필경재,서울특별시 강남구 광평로 205 필경재,56명 참여,한식
35,평화의공원,서울특별시 마포구 증산로 32,172명 참여,"도시,테마공원"
36,캘리포니아 관광호텔,서울특별시 송파구 송파대로28길 11 캘리포니아관광호텔,30명 참여,2성급
37,송림식당,서울특별시 광진구 자양번영로 79,"1,642명 참여",기사식당
38,일일향 논현2호점,서울특별시 강남구 봉은사로 167,486명 참여,중식당
39,더케이호텔서울,서울특별시 서초구 바우뫼로12길 70 더케이호텔서울,779명 참여,4성급
40,서초동노랑저고리,서울특별시 서초구 서초대로73길 9 타임빌딩 5층,"1,018명 참여",한정식-일반
41,양재근린공원,서울특별시 서초구 동산로 35,20명 참여,근린공원
42,중구 송원,서울특별시 중구 동호로24길 35-4,232명 참여,한식
43,용양봉저정 공원,서울특별시 동작구 본동 산3-9,15명 참여,근린공원
44,봉천중앙시장,서울특별시 관악구 관악로 211 봉천중앙시장,88명 참여,시장
45,서울시립대학교박물관,서울특별시 동대문구 서울시립대로 163 서울시립대학교,30명 참여,박물관
46,신당동천팥죽,서울특별시 중구 다산로44길 33,588명 참여,죽
47,태릉시장,서울특별시 중랑구 동일로129길 35,14명 참여,시장
48,동흥관,서울특별시 금천구 시흥대로63길 20,970명 참여,중식당
49,강남구 카페엠,서울특별시 강남구 삼성로 634 1층,179명 참여,브런치카페
51,송림가,서울특별시 구로구 경인로 398 송림가,391명 참여,한정식-일반
52,63뷔페 파빌리온,"서울특별시 영등포구 63로 50 한화금융센터63,GF","4,359명 참여",뷔페
53,강강술래신림본동점,서울특별시 관악구 남부순환로 1660,"3,085명 참여","육류,고기요리"
54,세인트제임스 삼청점,서울특별시 종로구 삼청로 78,43명 참여,캐주얼웨어
55,송추가마골 은평1호점,서울특별시 은평구 북한산로 276 예강1,"1,610명 참여","육류,고기요리"
56,봉래헌(메이필드호텔),서울특별시 강서구 방화대로 94 메이필드호텔 봉래헌,54명 참여,한정식-일반
57,그랜드 하얏트 서울,서울특별시 용산구 소월로 322,"1,639명 참여",5성급
58,웨스틴 조선 서울,서울특별시 중구 소공로 106,"2,017명 참여",5성급
59,오동숲속도서관,서울특별시 성북구 화랑로13가길 110-10,,
60,꾸에바마테라,서울특별시 용산구 소월로20길 28-1 1층,89명 참여,"카페,디저트"
61,신영시장,서울특별시 양천구 월정로 161-5,30명 참여,시장
62,갤러리아백화점명품관EAST,서울특별시 강남구 압구정로 407 갤러리아백화점명품관EAST,"1,940명 참여",백화점
63,문화철도 959,"서울특별시 구로구 경인로 688 1호선 신도림역 2층, 3층",80명 참여,"키즈카페,실내놀이터"
64,올리바인 스파,서울특별시 종로구 통일로16길 4-1,14명 참여,"피부,체형관리"
65,고려삼계탕,서울특별시 중구 서소문로11길 1,827명 참여,"백숙,삼계탕"
66,금천구춘천옥,서울특별시 금천구 디지털로12길 19,469명 참여,한식
67,짚풀생활사박물관,서울특별시 종로구 성균관로4길 45,17명 참여,박물관
68,인크커피 가산점,서울특별시 금천구 가산디지털2로 127-20,"3,377명 참여","카페,디저트"
69,성북동누룽지백숙,서울특별시 성북구 성북로31길 9,"1,655명 참여",한식
70,고래불,"서울특별시 강남구 논현로79길 62 백악빌딩 1, 2층 고래불",414명 참여,생선회
71,배정철어도,서울특별시 강남구 언주로148길 14 청호불교문화원 1층,83명 참여,생선회
72,아이러브신당동떡볶이,서울특별시 중구 퇴계로76길 50 아이러브떡볶이,"5,482명 참여",떡볶이
73,베스트웨스턴 프리미어 서울가든호텔,서울특별시 마포구 마포대로 58 가든호텔,517명 참여,4성급
74,케르반레스토랑,서울특별시 용산구 이태원로 192 1층,891명 참여,아시아음식
75,수연산방,서울특별시 성북구 성북로26길 8 상허 이태준 가옥,567명 참여,차
76,한강공원 난지캠핑장,서울특별시 마포구 한강난지로 28,222명 참여,"캠핑,야영장"
77,동국대학교 박물관,서울특별시 중구 필동로1길 30,15명 참여,박물관
79,세인트제임스 서울,서울특별시 강남구 논현로175길 94,37명 참여,캐주얼웨어
81,서울 서초 글램핑 청계산장,서울특별시 서초구 청계산로 140-94,21명 참여,"캠핑,야영장"
82,진주집,서울특별시 영등포구 국제금융로6길 33 지하 1층,"4,730명 참여",국수
83,호남식당,서울특별시 마포구 마포대로6길 10,501명 참여,"순대,순댓국"
84,두타몰,서울특별시 중구 장충단로 275 두타몰 지하1층,202명 참여,신발
85,서대문수빈,서울특별시 서대문구 연희로25길 31-3,698명 참여,한정식-일반
86,때때롯살롱,서울특별시 종로구 수표로28길 21-12,270명 참여,한복
87,여의도백리향,서울특별시 영등포구 63로 50 한화금융센터_63 57층,396명 참여,중식당
88,용산전자랜드,서울특별시 용산구 청파로 74 전자랜드(신관),350명 참여,"상가,아케이드"
89,롯데호텔서울,서울특별시 중구 을지로 30,"1,202명 참여",5성급
90,봉일시장,서울특별시 관악구 은천로 28 봉일프라자,15명 참여,시장
91,송파구횡성한우,서울특별시 송파구 오금로 113 1층,831명 참여,소고기구이
92,도봉구대문한정식,서울특별시 도봉구 시루봉로 139-6,802명 참여,한정식-일반
93,촛불1978,서울특별시 중구 소파로 95 촛불 레스토랑,"1,481명 참여",양식
94,노룬산골목시장,서울특별시 광진구 자양동 816-79,52명 참여,시장
95,평안도족발집,서울특별시 중구 장충단로 174-6,"1,505명 참여","족발,보쌈"
96,청와옥 본점,서울특별시 송파구 위례성대로 48 반도빌딩 1층,"3,767명 참여","순대,순댓국"
97,서대문구형제갈비,서울특별시 서대문구 명물1길 2,"1,001명 참여","육류,고기요리"
98,노보텔 앰배서더 강남,서울특별시 강남구 봉은사로 130,370명 참여,5성급
99,엘크레,서울특별시 강남구 도산대로15길 41 1층 엘크레,808명 참여,메이크업
100,가회민화박물관,서울특별시 종로구 북촌로 52,17명 참여,박물관
101,송화산시도삭면,서울특별시 광진구 뚝섬로27길 48,"1,353명 참여","딤섬,중식만두"
