관광지명,주소,리뷰참여인원,관광지분류명
수유시장,서울특별시 강북구 도봉로71길 2,51명 참여,시장
KT&G 상상마당 디자인스퀘어,서울특별시 마포구 어울마당로 65 상상마당빌딩,815명 참여,"가구,인테리어"
아리차이,서울특별시 관악구 신림동길 4,"1,218명 참여",중식당
익선동 그집,서울특별시 종로구 삼일대로30길 34-4,203명 참여,"칼국수,만두"
롯데시티호텔 구로,서울특별시 구로구 디지털로 300 지밸리비즈플라자,192명 참여,3성급
먹고을전주콩나물국밥 묵동본점,서울특별시 중랑구 중랑역로 268,"1,244명 참여",한식
명품기사식당뚝다리김치찌개,서울특별시 강동구 천중로 175,236명 참여,기사식당
요리하는남자,서울특별시 송파구 백제고분로7길 27 반석빌딩 지하1층,780명 참여,이탈리아음식
성수족발,서울특별시 성동구 아차산로7길 7 동진빌딩 1층 성수족발,"1,741명 참여","족발,보쌈"
키미아트,서울특별시 종로구 평창30길 47,192명 참여,카페
문배동 육칼,서울특별시 용산구 백범로90길 50,"1,067명 참여","칼국수,만두"
POOM아트박스 (신촌점),서울특별시 서대문구 명물길 23,898명 참여,"문구,팬시용품"
청담골,서울특별시 강남구 선릉로148길 48 미준빌딩 1층,563명 참여,한식
몽실이네 토종한우,서울특별시 성동구 마장로35길 70 1층,211명 참여,소고기구이
오크우드 프리미어 코엑스,서울 강남구 테헤란로87길 46,209명 참여,5성급
드어반관광호텔,서울특별시 강서구 곰달래로24길 35,23명 참여,1성급
미진,서울특별시 종로구 종로 19,"4,665명 참여",한식
동심한정식,서울특별시 중구 퇴계로27길 12-4 충무로역 5번출구,40명 참여,한정식-일반
남원추어탕 풍천장어,서울특별시 강남구 영동대로86길 27,75명 참여,한식
산삼청각,서울특별시 송파구 송이로 151,656명 참여,"육류,고기요리"
테르트르카페,서울특별시 종로구 낙산5길 46,"1,431명 참여",카페
프리스비 (Frisbee) 건대점,서울특별시 광진구 능동로 92 스타시티 1층,179명 참여,"컴퓨터,모니터"
최수사 대게마을,서울특별시 강남구 논현로 429 3층,93명 참여,일식당
정식당,서울특별시 강남구 선릉로158길 11,583명 참여,한식
이비스 스타일 앰배서더 서울 강남,서울특별시 강남구 삼성로 431 이비스 스타일 앰배서더 강남 호텔,37명 참여,3성급
인사동큰집,서울특별시 종로구 인사동6길 7,77명 참여,한식
궁가는여우,서울특별시 종로구 자하문로 3 지하 1층,82명 참여,한복대여
아리랑힐 호텔 동대문,서울특별시 성북구 아리랑로 8,137명 참여,3성급
옥류헌릴렉스,서울특별시 강북구 삼양로181길 142 옥류헌릴렉스,"2,785명 참여","카페,디저트"
북한산 족두리봉,서울특별시 은평구 불광동,14명 참여,"봉우리,고지"
위대한밥상 영광,서울특별시 서초구 사평대로56길 7,38명 참여,한정식-일반
부일갈비,서울특별시 서초구 서초중앙로2길 42 1층 부일갈비,106명 참여,"육류,고기요리"
툭툭누들타이,서울특별시 마포구 성미산로 161-8 2층,"1,563명 참여",태국음식
금강수림,서울특별시 강남구 강남대로 240 SK허브프리모 B2층,287명 참여,한식
면목시장,서울특별시 중랑구 사가정로50길 67 1층 땅쓰부대찌개,106명 참여,"찌개,전골"
세상의모든아침,"서울특별시 영등포구 여의대로 24 전경련회관 50층, 51층","4,540명 참여",브런치
조선옥,서울특별시 중구 을지로15길 6-5,290명 참여,"육류,고기요리"
미 피아체,서울특별시 강남구 도산대로70길 34 1층,43명 참여,이탈리아음식
[백년가게]창성옥,서울특별시 용산구 새창로 124-10,622명 참여,한식
