,관광지명,주소,리뷰참여인원,관광지분류명
0,여의도한강공원,서울특별시 영등포구 여의동로 330 한강사업본부 여의도안내센터,266명 참여,시민공원
1,남산골한옥마을,서울특별시 중구 퇴계로34길 28 남산골한옥마을,331명 참여,"문화,유적"
2,경의선숲길,서울특별시 마포구 연남동,53명 참여,"거리,골목"
3,서울공예박물관,서울특별시 종로구 율곡로3길 4,220명 참여,박물관
4,AK PLAZA 홍대,서울특별시 마포구 양화로 188,756명 참여,백화점
5,서대문형무소역사관,서울특별시 서대문구 통일로 251 서대문형무소역사관,"1,611명 참여",박물관
6,광장시장,서울특별시 종로구 창경궁로 88,18명 참여,시장
7,반포대교 달빛무지개분수,서울특별시 서초구 반포동 649-1,54명 참여,지역명소
8,세빛섬,서울특별시 서초구 올림픽대로 2085-14 세빛섬,43명 참여,섬
9,북악팔각정,서울특별시 성북구 북악산로 267 북악팔각정,"2,718명 참여","도시,테마공원"
10,월드컵공원,서울특별시 마포구 하늘공원로 86,457명 참여,테마공원
11,올림픽공원,서울특별시 송파구 올림픽로 424,859명 참여,"도시,테마공원"
12,몽촌토성,서울특별시 송파구 올림픽로 424 올림픽공원,26명 참여,성곽명
13,서대문자연사박물관,서울특별시 서대문구 연희로32길 51,"1,914명 참여",박물관
14,푸른수목원,서울특별시 구로구 서해안로 2117,400명 참여,"식물원,수목원"
15,송파책박물관,서울특별시 송파구 송파대로37길 77,299명 참여,박물관
16,숭례문,서울특별시 중구 세종대로 40,115명 참여,기념물
17,와룡공원,서울특별시 종로구 와룡공원길 192,11명 참여,"도시,테마공원"
18,방학동도깨비시장,서울특별시 도봉구 도당로 85-7,39명 참여,시장
19,몽마르뜨공원,서울특별시 서초구 반포동 산59-1,18명 참여,"도시,테마공원"
20,이순신장군동상,서울특별시 종로구 세종대로 172,20명 참여,기념물
21,채그로,서울특별시 마포구 마포대로4다길 31,201명 참여,북카페
22,롯데월드몰,서울특별시 송파구 올림픽로 300 롯데월드몰,"2,454명 참여",쇼핑복합시설
23,롯데호텔 월드,서울특별시 송파구 올림픽로 240,"5,841명 참여",5성급
24,인왕산,서울특별시 종로구 무악동 산2-1,114명 참여,산
25,한강시민공원 뚝섬지구,서울특별시 광진구 강변북로 139,147명 참여,시민공원
26,종묘,서울특별시 종로구 종로 157,748명 참여,세계문화유산
27,불암산,서울특별시 노원구 상계동,51명 참여,산
28,통인시장,서울특별시 종로구 자하문로15길 18,255명 참여,시장
29,소소한 풍경,서울특별시 종로구 자하문로40길 75,453명 참여,한식
30,청와대사랑채,서울특별시 종로구 효자로13길 45,753명 참여,박물관
31,반포한강공원,서울특별시 서초구 신반포로11길 40 한강공원 반포 안내센터,94명 참여,시민공원
32,탑골공원,서울특별시 종로구 종로 99 탑골공원,18명 참여,근린공원
33,남대문 문구상가,서울특별시 중구 남대문로 6-2,80명 참여,"문구,팬시용품"
