,Attraction,Subclass,Address,Participants
0,동대문역사문화공원,"도시,테마공원",서울특별시 중구 신당동 853,56
1,서울식물원,"식물원,수목원",서울특별시 강서구 마곡동로 161 서울식물원,"5,204"
2,N서울타워,전망대,서울특별시 용산구 남산공원길 105,"5,100"
3,서울숲,"숲,숲길",서울특별시 성동구 뚝섬로 273,258
4,경복궁,궁궐,서울특별시 종로구 사직로 161 경복궁,"1,202"
5,롯데월드 어드벤처,테마파크,서울특별시 송파구 올림픽로 240,"15,214"
6,창덕궁,세계문화유산,서울특별시 종로구 율곡로 99,753
7,덕수궁,궁궐,서울특별시 중구 세종대로 99 덕수궁,436
8,선정릉,세계문화유산,서울특별시 강남구 선릉로100길 1 선릉정릉,43
9,롯데월드타워 서울스카이,전망대,서울특별시 송파구 올림픽로 300 117~123층,"11,594"
10,마포구하늘공원,"자연,생태공원",서울특별시 마포구 하늘공원로 95,681
11,동대문종합시장,시장,서울특별시 종로구 종로 272 동대문종합시장 신관,41
12,북촌한옥마을,지역명소,서울특별시 종로구 계동길 37,56
13,낙산공원,근린공원,서울특별시 종로구 낙산길 41,93
14,국립중앙박물관,박물관,서울특별시 용산구 서빙고로 137 국립중앙박물관,"1,296"
15,광화문,기념물,서울특별시 종로구 효자로 12 국립고궁박물관,141
16,창경궁,궁궐,서울특별시 종로구 창경궁로 185 창경궁,132
17,스타필드 코엑스몰,쇼핑복합시설,서울특별시 강남구 봉은사로 524,"1,892"
18,석촌호수,"호수,연못,저수지",서울특별시 송파구 잠실동,279
19,화랑대 철도공원,"도시,테마공원",서울특별시 노원구 공릉동 29-51,51
20,청계천,"강,하천",서울특별시 종로구 창신동,161
21,서래마을,체험마을,서울특별시 서초구 반포4동,104
22,경희궁,궁궐,서울특별시 종로구 새문안로 45 경희궁.시립미술관,39
23,서울로 7017,도보코스,서울특별시 중구 청파로 432,23
24,돈의문박물관마을,체험마을,서울특별시 종로구 송월길 14-3,45
25,덕수궁 돌담길,도보코스,서울특별시 중구 세종대로19길 24 영국대사관,22
26,망원시장,시장,서울특별시 마포구 포은로6길 27 1층,118
27,여의도한강공원,시민공원,서울특별시 영등포구 여의동로 330 한강사업본부 여의도안내센터,266
28,남산골한옥마을,"문화,유적",서울특별시 중구 퇴계로34길 28 남산골한옥마을,331
29,경의선숲길,"거리,골목",서울특별시 마포구 연남동,53
30,서울공예박물관,박물관,서울특별시 종로구 율곡로3길 4,220
31,AK PLAZA 홍대,백화점,서울특별시 마포구 양화로 188,756
32,서대문형무소역사관,박물관,서울특별시 서대문구 통일로 251 서대문형무소역사관,"1,611"
33,광장시장,시장,서울특별시 종로구 창경궁로 88,18
34,반포대교 달빛무지개분수,지역명소,서울특별시 서초구 반포동 649-1,54
35,세빛섬,섬,서울특별시 서초구 올림픽대로 2085-14 세빛섬,43
36,북악팔각정,"도시,테마공원",서울특별시 성북구 북악산로 267 북악팔각정,"2,718"
37,월드컵공원,테마공원,서울특별시 마포구 하늘공원로 86,457
38,올림픽공원,"도시,테마공원",서울특별시 송파구 올림픽로 424,859
39,몽촌토성,성곽명,서울특별시 송파구 올림픽로 424 올림픽공원,26
40,서대문자연사박물관,박물관,서울특별시 서대문구 연희로32길 51,"1,914"
41,푸른수목원,"식물원,수목원",서울특별시 구로구 서해안로 2117,400
42,송파책박물관,박물관,서울특별시 송파구 송파대로37길 77,299
43,숭례문,기념물,서울특별시 중구 세종대로 40,115
44,와룡공원,"도시,테마공원",서울특별시 종로구 와룡공원길 192,11
45,방학동도깨비시장,시장,서울특별시 도봉구 도당로 85-7,39
46,몽마르뜨공원,"도시,테마공원",서울특별시 서초구 반포동 산59-1,18
47,이순신장군동상,기념물,서울특별시 종로구 세종대로 172,20
48,채그로,북카페,서울특별시 마포구 마포대로4다길 31,201
49,롯데월드몰,쇼핑복합시설,서울특별시 송파구 올림픽로 300 롯데월드몰,"2,454"
50,롯데호텔 월드,5성급,서울특별시 송파구 올림픽로 240,"5,841"
51,인왕산,산,서울특별시 종로구 무악동 산2-1,114
52,한강시민공원 뚝섬지구,시민공원,서울특별시 광진구 강변북로 139,147
