,Attraction,Category,type,Category_Map,Category_Map_v2,Good_Point,Selected_People,Participants
0,채그로,음식,cafe,시설 및 분위기,시설 및 환경,뷰가 좋아요,146.0,201
1,채그로,음식,cafe,시설 및 분위기,분위기,집중하기 좋아요,62.0,201
2,채그로,음식,cafe,시설 및 분위기,특별한 목적,읽을만한 책이 많아요,61.0,201
3,채그로,음식,cafe,시설 및 분위기,시설 및 환경,인테리어가 멋져요,60.0,201
4,채그로,음식,cafe,음식의 속성,음식의 맛과 질,커피가 맛있어요,39.0,201
5,채그로,음식,cafe,시설 및 분위기,시설 및 환경,좌석이 편해요,37.0,201
6,채그로,음식,cafe,시설 및 분위기,시설 및 환경,사진이 잘 나와요,34.0,201
7,채그로,음식,cafe,시설 및 분위기,분위기,대화하기 좋아요,34.0,201
8,채그로,음식,cafe,음식의 속성,음식의 맛과 질,음료가 맛있어요,29.0,201
9,채그로,음식,cafe,서비스,서비스,친절해요,24.0,201
10,채그로,음식,cafe,시설 및 분위기,청결도와 위생,화장실이 깨끗해요,15.0,201
11,채그로,음식,cafe,음식의 속성,음식의 맛과 질,디저트가 맛있어요,13.0,201
12,채그로,음식,cafe,가격 및 가치,가격과 가치,가성비가 좋아요,7.0,201
13,채그로,음식,cafe,시설 및 분위기,시설 및 환경,주차하기 편해요,5.0,201
14,채그로,음식,cafe,음식의 속성,음식의 다양성,특별한 메뉴가 있어요,5.0,201
15,채그로,음식,cafe,시설 및 분위기,분위기,아늑해요,4.0,201
16,채그로,음식,cafe,시설 및 분위기,분위기,차분한 분위기에요,1.0,201
17,채그로,음식,cafe,시설 및 분위기,시설 및 환경,매장이 넓어요,1.0,201
18,채그로,음식,cafe,시설 및 분위기,청결도와 위생,매장이 청결해요,1.0,201
19,채그로,음식,cafe,음식의 속성,음식의 맛과 질,건강한 맛이에요,1.0,201
20,소소한 풍경,음식,korean,음식의 속성,음식의 맛과 질,음식이 맛있어요,367.0,453
21,소소한 풍경,음식,korean,음식의 속성,음식의 다양성,특별한 메뉴가 있어요,171.0,453
22,소소한 풍경,음식,korean,서비스,서비스,친절해요,150.0,453
23,소소한 풍경,음식,korean,음식의 속성,음식의 맛과 질,재료가 신선해요,143.0,453
24,소소한 풍경,음식,korean,시설 및 분위기,시설 및 환경,인테리어가 멋져요,117.0,453
25,소소한 풍경,음식,korean,시설 및 분위기,시설 및 환경,뷰가 좋아요,114.0,453
26,소소한 풍경,음식,korean,시설 및 분위기,분위기,특별한 날 가기 좋아요,102.0,453
27,소소한 풍경,음식,korean,시설 및 분위기,청결도와 위생,매장이 청결해요,55.0,453
28,소소한 풍경,음식,korean,가격 및 가치,가격과 가치,가성비가 좋아요,48.0,453
29,소소한 풍경,음식,korean,시설 및 분위기,특별한 목적,단체모임 하기 좋아요,41.0,453
30,소소한 풍경,음식,korean,음식의 속성,음식의 맛과 질,양이 많아요,39.0,453
31,소소한 풍경,음식,korean,시설 및 분위기,시설 및 환경,매장이 넓어요,36.0,453
32,소소한 풍경,음식,korean,시설 및 분위기,청결도와 위생,화장실이 깨끗해요,18.0,453
33,소소한 풍경,음식,korean,음식의 속성,음식의 맛과 질,건강한 맛이에요,8.0,453
34,소소한 풍경,음식,korean,가격 및 가치,가격과 가치,메뉴 구성이 알차요,5.0,453
35,소소한 풍경,음식,korean,시설 및 분위기,시설 및 환경,야외 공간이 멋져요,5.0,453
36,소소한 풍경,음식,korean,시설 및 분위기,분위기,차분한 분위기에요,3.0,453
37,소소한 풍경,음식,korean,시설 및 분위기,분위기,혼밥하기 좋아요,3.0,453
38,소소한 풍경,음식,korean,시설 및 분위기,시설 및 환경,주차하기 편해요,3.0,453
39,소소한 풍경,음식,korean,시설 및 분위기,분위기,아늑해요,2.0,453
40,소소한 풍경,음식,korean,음식의 속성,음식의 다양성,반찬이 잘 나와요,2.0,453
41,소소한 풍경,음식,korean,시설 및 분위기,분위기,컨셉이 독특해요,1.0,453
42,소소한 풍경,음식,korean,가격 및 가치,가격과 가치,코스요리가 알차요,1.0,453
43,소소한 풍경,음식,korean,서비스,서비스,음식이 빨리 나와요,1.0,453
44,소소한 풍경,음식,korean,시설 및 분위기,시설 및 환경,사진이 잘 나와요,1.0,453
45,소소한 풍경,음식,korean,시설 및 분위기,분위기,대화하기 좋아요,1.0,453
46,마복림할머니집,음식,korean,음식의 속성,음식의 맛과 질,음식이 맛있어요,3605.0,"5,114"
47,마복림할머니집,음식,korean,음식의 속성,음식의 맛과 질,양이 많아요,1238.0,"5,114"
48,마복림할머니집,음식,korean,시설 및 분위기,시설 및 환경,매장이 넓어요,1164.0,"5,114"
49,마복림할머니집,음식,korean,가격 및 가치,가격과 가치,가성비가 좋아요,1026.0,"5,114"
50,마복림할머니집,음식,korean,서비스,서비스,친절해요,823.0,"5,114"
51,마복림할머니집,음식,korean,음식의 속성,음식의 다양성,특별한 메뉴가 있어요,590.0,"5,114"
52,마복림할머니집,음식,korean,음식의 속성,음식의 맛과 질,재료가 신선해요,537.0,"5,114"
53,마복림할머니집,음식,korean,시설 및 분위기,시설 및 환경,주차하기 편해요,457.0,"5,114"
54,마복림할머니집,음식,korean,시설 및 분위기,특별한 목적,단체모임 하기 좋아요,239.0,"5,114"
55,마복림할머니집,음식,korean,시설 및 분위기,청결도와 위생,매장이 청결해요,226.0,"5,114"
56,마복림할머니집,음식,korean,시설 및 분위기,분위기,특별한 날 가기 좋아요,106.0,"5,114"
57,마복림할머니집,음식,korean,시설 및 분위기,분위기,혼밥하기 좋아요,92.0,"5,114"
58,마복림할머니집,음식,korean,서비스,서비스,음식이 빨리 나와요,64.0,"5,114"
59,마복림할머니집,음식,korean,시설 및 분위기,청결도와 위생,화장실이 깨끗해요,45.0,"5,114"
60,마복림할머니집,음식,korean,시설 및 분위기,시설 및 환경,인테리어가 멋져요,39.0,"5,114"
61,마복림할머니집,음식,korean,시설 및 분위기,시설 및 환경,뷰가 좋아요,22.0,"5,114"
