,Attraction,Category,type,Category_Map,Category_Map_v2,Good_Point,Selected_People,Participants
0,104고지전적비,관광,history,매력도,분위기,사진이 잘 나와요,91,203
1,104고지전적비,관광,history,매력도,활동,볼거리가 많아요,58,203
2,104고지전적비,관광,history,매력도,분위기,붐비지 않아요,40,203
3,104고지전적비,관광,history,만족도,가격,가격이 합리적이에요,37,203
4,104고지전적비,관광,history,편의,시설,관리가 잘 되어있어요,31,203
5,104고지전적비,관광,history,편의,접근성,주차하기 편해요,28,203
6,104고지전적비,관광,history,만족도,서비스,설명이 잘 되어있어요,26,203
7,104고지전적비,관광,history,매력도,분위기,아이와 가기 좋아요,21,203
8,104고지전적비,관광,history,매력도,활동,체험 프로그램이 다양해요,16,203
9,104고지전적비,관광,history,편의,접근성,산책로가 잘 되어있어요,11,203
10,104고지전적비,관광,history,매력도,분위기,방문객이 많아요,1,203
11,104고지전적비,관광,history,편의,접근성,대중교통이 편해요,1,203
12,104고지전적비,관광,history,편의,시설,규모가 커요,1,203
13,104고지전적비,관광,history,매력도,분위기,뷰가 좋아요,1,203
14,10꼬르소꼬모 청담점,관광,shop_etc,편의,시설,종류가 다양해요,38,76
15,10꼬르소꼬모 청담점,관광,shop_etc,매력도,분위기,독특한 디자인이 많아요,32,76
16,10꼬르소꼬모 청담점,관광,shop_etc,만족도,서비스,친절해요,29,76
17,10꼬르소꼬모 청담점,관광,shop_etc,만족도,가격,품질이 좋아요,27,76
18,10꼬르소꼬모 청담점,관광,shop_etc,편의,시설,매장이 넓어요,20,76
19,10꼬르소꼬모 청담점,관광,shop_etc,매력도,분위기,분위기가 편안해요,12,76
20,10꼬르소꼬모 청담점,관광,shop_etc,편의,접근성,주차하기 편해요,8,76
21,10꼬르소꼬모 청담점,관광,shop_etc,만족도,서비스,스타일 추천을 잘해줘요,7,76
22,10꼬르소꼬모 청담점,관광,shop_etc,매력도,분위기,트렌디해요,5,76
23,10꼬르소꼬모 청담점,관광,shop_etc,매력도,분위기,고급스러워요,3,76
24,10꼬르소꼬모 청담점,관광,shop_etc,만족도,가격,가성비가 좋아요,3,76
25,10꼬르소꼬모 청담점,관광,shop_etc,매력도,활동,선물하기 좋아요,2,76
26,10꼬르소꼬모 청담점,관광,shop_etc,만족도,서비스,A/S가 세심해요,1,76
27,10꼬르소꼬모 청담점,관광,shop_etc,매력도,활동,컨셉이 독특해요,1,76
28,10꼬르소꼬모 청담점,관광,shop_etc,만족도,가격,비싼 만큼 가치있어요,1,76
29,63아트,관광,culture,매력도,활동,볼거리가 많아요,114,252
30,63아트,관광,culture,매력도,분위기,사진이 잘 나와요,89,252
31,63아트,관광,culture,편의,접근성,주차하기 편해요,57,252
32,63아트,관광,culture,편의,시설,관리가 잘 되어있어요,56,252
33,63아트,관광,culture,만족도,가격,가격이 합리적이에요,54,252
34,63아트,관광,culture,편의,시설,규모가 커요,41,252
35,63아트,관광,culture,매력도,활동,공연이 재밌어요,41,252
36,63아트,관광,culture,만족도,서비스,설명이 잘 되어있어요,27,252
37,63아트,관광,culture,매력도,활동,체험 프로그램이 다양해요,20,252
38,63아트,관광,culture,매력도,분위기,뷰가 좋아요,10,252
39,63아트,관광,culture,편의,시설,화장실이 깨끗해요,2,252
40,63아트,관광,culture,매력도,활동,컨셉이 독특해요,1,252
41,63아트,관광,culture,만족도,서비스,반려동물과 가기 좋아요,1,252
42,가락농수산물종합도매시장,관광,shop_etc,만족도,서비스,친절해요,8,12
43,가락농수산물종합도매시장,관광,shop_etc,편의,접근성,주차하기 편해요,6,12
44,가락농수산물종합도매시장,관광,shop_etc,매력도,활동,볼거리가 많아요,5,12
45,가락농수산물종합도매시장,관광,shop_etc,편의,시설,종류가 다양해요,3,12
46,가락농수산물종합도매시장,관광,shop_etc,매력도,활동,특색 있는 제품이 많아요,2,12
47,가락농수산물종합도매시장,관광,shop_etc,만족도,가격,품질이 좋아요,2,12
48,가락농수산물종합도매시장,관광,shop_etc,매력도,활동,컨셉이 독특해요,1,12
49,가락농수산물종합도매시장,관광,shop_etc,편의,시설,편의시설이 잘 되어있어요,1,12
50,가락농수산물종합도매시장,관광,shop_etc,매력도,활동,야시장이 잘 되어있어요,1,12
51,가락농수산물종합도매시장,관광,shop_etc,만족도,가격,가성비가 좋아요,1,12
52,가락농수산물종합도매시장,관광,shop_etc,편의,시설,규모가 커요,1,12
53,가락농수산물종합도매시장,관광,shop_etc,매력도,분위기,트렌디해요,1,12
