Attraction,Category,type,Category_Map,Good_Point,Selected_People,Participants
104고지전적비,관광,history,매력도,사진이 잘 나와요,91,203
104고지전적비,관광,history,매력도,볼거리가 많아요,58,203
104고지전적비,관광,history,매력도,붐비지 않아요,40,203
104고지전적비,관광,history,만족도,가격이 합리적이에요,37,203
104고지전적비,관광,history,편의,관리가 잘 되어있어요,31,203
104고지전적비,관광,history,편의,주차하기 편해요,28,203
104고지전적비,관광,history,만족도,설명이 잘 되어있어요,26,203
104고지전적비,관광,history,매력도,아이와 가기 좋아요,21,203
104고지전적비,관광,history,매력도,체험 프로그램이 다양해요,16,203
104고지전적비,관광,history,편의,산책로가 잘 되어있어요,11,203
104고지전적비,관광,history,매력도,방문객이 많아요,1,203
104고지전적비,관광,history,편의,대중교통이 편해요,1,203
104고지전적비,관광,history,편의,규모가 커요,1,203
104고지전적비,관광,history,매력도,뷰가 좋아요,1,203
10꼬르소꼬모 청담점,관광,shop_etc,편의,종류가 다양해요,38,76
10꼬르소꼬모 청담점,관광,shop_etc,매력도,독특한 디자인이 많아요,32,76
10꼬르소꼬모 청담점,관광,shop_etc,만족도,친절해요,29,76
10꼬르소꼬모 청담점,관광,shop_etc,만족도,품질이 좋아요,27,76
10꼬르소꼬모 청담점,관광,shop_etc,편의,매장이 넓어요,20,76
10꼬르소꼬모 청담점,관광,shop_etc,매력도,분위기가 편안해요,12,76
10꼬르소꼬모 청담점,관광,shop_etc,편의,주차하기 편해요,8,76
10꼬르소꼬모 청담점,관광,shop_etc,만족도,스타일 추천을 잘해줘요,7,76
10꼬르소꼬모 청담점,관광,shop_etc,매력도,트렌디해요,5,76
10꼬르소꼬모 청담점,관광,shop_etc,매력도,고급스러워요,3,76
10꼬르소꼬모 청담점,관광,shop_etc,만족도,가성비가 좋아요,3,76
10꼬르소꼬모 청담점,관광,shop_etc,매력도,선물하기 좋아요,2,76
10꼬르소꼬모 청담점,관광,shop_etc,만족도,A/S가 세심해요,1,76
10꼬르소꼬모 청담점,관광,shop_etc,매력도,컨셉이 독특해요,1,76
10꼬르소꼬모 청담점,관광,shop_etc,만족도,비싼 만큼 가치있어요,1,76
63아트,관광,culture,매력도,볼거리가 많아요,114,252
63아트,관광,culture,매력도,사진이 잘 나와요,89,252
63아트,관광,culture,편의,주차하기 편해요,57,252
63아트,관광,culture,편의,관리가 잘 되어있어요,56,252
63아트,관광,culture,만족도,가격이 합리적이에요,54,252
63아트,관광,culture,편의,규모가 커요,41,252
63아트,관광,culture,매력도,공연이 재밌어요,41,252
63아트,관광,culture,만족도,설명이 잘 되어있어요,27,252
63아트,관광,culture,매력도,체험 프로그램이 다양해요,20,252
63아트,관광,culture,매력도,뷰가 좋아요,10,252
63아트,관광,culture,편의,화장실이 깨끗해요,2,252
63아트,관광,culture,매력도,컨셉이 독특해요,1,252
63아트,관광,culture,만족도,반려동물과 가기 좋아요,1,252
가락농수산물종합도매시장,관광,shop_etc,만족도,친절해요,8,12
가락농수산물종합도매시장,관광,shop_etc,편의,주차하기 편해요,6,12
가락농수산물종합도매시장,관광,shop_etc,매력도,볼거리가 많아요,5,12
가락농수산물종합도매시장,관광,shop_etc,편의,종류가 다양해요,3,12
가락농수산물종합도매시장,관광,shop_etc,매력도,특색 있는 제품이 많아요,2,12
가락농수산물종합도매시장,관광,shop_etc,만족도,품질이 좋아요,2,12
가락농수산물종합도매시장,관광,shop_etc,매력도,컨셉이 독특해요,1,12
