,Attraction,Category,type,type2,Category_Map,Good_Point,Selected_People,Participants
0,동대문역사문화공원,관광,experience,experience,경관 및 사진,뷰가 좋아요,22.0,56
1,동대문역사문화공원,관광,experience,experience,시설 및 편의성,관리가 잘 되어있어요,21.0,56
2,동대문역사문화공원,관광,experience,experience,활동 및 즐길거리,볼거리가 많아요,14.0,56
3,동대문역사문화공원,관광,experience,experience,경관 및 사진,사진이 잘 나와요,12.0,56
4,동대문역사문화공원,관광,experience,experience,활동 및 즐길거리,산책로가 잘 되어있어요,12.0,56
5,동대문역사문화공원,관광,experience,experience,시설 및 편의성,편의시설이 잘 되어있어요,9.0,56
6,동대문역사문화공원,관광,experience,experience,활동 및 즐길거리,먹거리가 풍부해요,7.0,56
7,동대문역사문화공원,관광,experience,experience,가격 및 가치,가격이 합리적이에요,7.0,56
8,동대문역사문화공원,관광,experience,experience,시설 및 편의성,방문객이 많아요,5.0,56
9,동대문역사문화공원,관광,experience,experience,활동 및 즐길거리,체험 프로그램이 다양해요,5.0,56
10,동대문역사문화공원,관광,experience,experience,시설 및 편의성,주차하기 편해요,4.0,56
11,동대문역사문화공원,관광,experience,experience,활동 및 즐길거리,컨셉이 독특해요,2.0,56
12,동대문역사문화공원,관광,experience,experience,기타,붐비지 않아요,2.0,56
13,동대문역사문화공원,관광,experience,experience,서비스,유익해요,1.0,56
14,서울식물원,관광,nature,nature,활동 및 즐길거리,신기한 식물이 많아요,2870.0,"5,204"
15,서울식물원,관광,nature,nature,활동 및 즐길거리,산책로가 잘 되어있어요,2757.0,"5,204"
16,서울식물원,관광,nature,nature,활동 및 즐길거리,볼거리가 많아요,2666.0,"5,204"
17,서울식물원,관광,nature,nature,경관 및 사진,사진이 잘 나와요,1101.0,"5,204"
18,서울식물원,관광,nature,nature,경관 및 사진,뷰가 좋아요,864.0,"5,204"
19,서울식물원,관광,nature,nature,시설 및 편의성,화장실이 깨끗해요,841.0,"5,204"
20,서울식물원,관광,nature,nature,시설 및 편의성,편의시설이 잘 되어있어요,715.0,"5,204"
21,서울식물원,관광,nature,nature,시설 및 편의성,주차하기 편해요,680.0,"5,204"
22,서울식물원,관광,nature,nature,가격 및 가치,가격이 합리적이에요,643.0,"5,204"
23,서울식물원,관광,nature,nature,시설 및 편의성,대중교통이 편해요,281.0,"5,204"
24,서울식물원,관광,nature,nature,시설 및 편의성,규모가 커요,74.0,"5,204"
25,서울식물원,관광,nature,nature,활동 및 즐길거리,아이와 가기 좋아요,62.0,"5,204"
26,서울식물원,관광,nature,nature,활동 및 즐길거리,피크닉하기 좋아요,30.0,"5,204"
27,서울식물원,관광,nature,nature,활동 및 즐길거리,컨셉이 독특해요,6.0,"5,204"
28,서울식물원,관광,nature,nature,경관 및 사진,인테리어가 멋져요,5.0,"5,204"
29,서울식물원,관광,nature,nature,활동 및 즐길거리,체험 프로그램이 다양해요,5.0,"5,204"
30,서울식물원,관광,nature,nature,시설 및 편의성,반려동물과 가기 좋아요,3.0,"5,204"
31,N서울타워,관광,theme,theme,경관 및 사진,뷰가 좋아요,4025.0,"5,100"
32,N서울타워,관광,theme,theme,경관 및 사진,야경이 멋져요,1987.0,"5,100"
33,N서울타워,관광,theme,theme,경관 및 사진,사진이 잘 나와요,1865.0,"5,100"
34,N서울타워,관광,theme,theme,활동 및 즐길거리,산책로가 잘 되어있어요,1391.0,"5,100"
35,N서울타워,관광,theme,theme,활동 및 즐길거리,볼거리가 많아요,1190.0,"5,100"
36,N서울타워,관광,theme,theme,시설 및 편의성,대중교통이 편해요,565.0,"5,100"
37,N서울타워,관광,theme,theme,시설 및 편의성,근처에 갈 곳이 많아요,442.0,"5,100"
38,N서울타워,관광,theme,theme,가격 및 가치,가격이 합리적이에요,273.0,"5,100"
39,N서울타워,관광,theme,theme,시설 및 편의성,주차하기 편해요,167.0,"5,100"
40,N서울타워,관광,theme,theme,시설 및 편의성,화장실이 깨끗해요,84.0,"5,100"
41,N서울타워,관광,theme,theme,시설 및 편의성,시설이 깔끔해요,71.0,"5,100"
42,N서울타워,관광,theme,theme,활동 및 즐길거리,아이와 가기 좋아요,69.0,"5,100"
43,N서울타워,관광,theme,theme,시설 및 편의성,편의시설이 잘 되어있어요,35.0,"5,100"
44,N서울타워,관광,theme,theme,경관 및 사진,인테리어가 멋져요,19.0,"5,100"
45,N서울타워,관광,theme,theme,활동 및 즐길거리,먹거리가 풍부해요,13.0,"5,100"
46,N서울타워,관광,theme,theme,활동 및 즐길거리,컨셉이 독특해요,6.0,"5,100"
47,N서울타워,관광,theme,theme,활동 및 즐길거리,체험 프로그램이 다양해요,5.0,"5,100"
48,N서울타워,관광,theme,theme,시설 및 편의성,반려동물과 가기 좋아요,3.0,"5,100"
49,서울숲,관광,nature,nature,경관 및 사진,뷰가 좋아요,256.0,258
50,서울숲,관광,nature,nature,경관 및 사진,사진이 잘 나와요,183.0,258
51,서울숲,관광,nature,nature,활동 및 즐길거리,볼거리가 많아요,98.0,258
52,서울숲,관광,nature,nature,시설 및 편의성,대중교통이 편해요,63.0,258
53,서울숲,관광,nature,nature,활동 및 즐길거리,피크닉하기 좋아요,57.0,258
54,서울숲,관광,nature,nature,시설 및 편의성,근처에 갈 곳이 많아요,56.0,258
55,서울숲,관광,nature,nature,활동 및 즐길거리,산책로가 잘 되어있어요,56.0,258
56,서울숲,관광,nature,nature,경관 및 사진,경관이 독특해요,50.0,258
57,서울숲,관광,nature,nature,시설 및 편의성,주차하기 편해요,35.0,258
58,서울숲,관광,nature,nature,시설 및 편의성,방문객이 많아요,34.0,258
59,서울숲,관광,nature,nature,기타,붐비지 않아요,26.0,258
60,서울숲,관광,nature,nature,시설 및 편의성,조용히 쉬기 좋아요,24.0,258
61,서울숲,관광,nature,nature,시설 및 편의성,화장실이 깨끗해요,20.0,258
62,서울숲,관광,nature,nature,시설 및 편의성,규모가 커요,19.0,258
63,서울숲,관광,nature,nature,시설 및 편의성,반려동물과 가기 좋아요,18.0,258
64,서울숲,관광,nature,nature,시설 및 편의성,편의시설이 잘 되어있어요,17.0,258
65,서울숲,관광,nature,nature,활동 및 즐길거리,아이와 가기 좋아요,17.0,258
66,서울숲,관광,nature,nature,시설 및 편의성,관리가 잘 되어있어요,12.0,258
67,서울숲,관광,nature,nature,시설 및 편의성,관리가 잘 되어있어요,12.0,258
68,서울숲,관광,nature,nature,가격 및 가치,가격이 합리적이에요,11.0,258
69,서울숲,관광,nature,nature,활동 및 즐길거리,체험 프로그램이 다양해요,8.0,258
70,서울숲,관광,nature,nature,시설 및 편의성,관리가 잘 되어있어요,6.0,258
71,서울숲,관광,nature,nature,시설 및 편의성,관리가 잘 되어있어요,6.0,258
72,서울숲,관광,nature,nature,기타,코스가 길어요,5.0,258
73,서울숲,관광,nature,nature,활동 및 즐길거리,신기한 식물이 많아요,4.0,258
