Attraction,Category,Subclass,Address,Tag,Participants,etc,cafe,max,type
동대문역사문화공원,관광,"도시,테마공원",서울특별시 중구 신당동 853,#2024_여행가는달과함께하는_발도장여행지#DDP#가족여행#걷기좋은길#관광지#데이트코스#동대문#동대문디자인플라자#동대문역사문화공원#동대문운동장#사계절#산책길#산책하기#산책하기좋은곳#신당동패션거리#연인과함께#친구와함께#휴식공간#휴식여행#휴식하기#휴식하기좋은곳,56,0,1,1,cafe
서울식물원,관광,"식물원,수목원",서울특별시 강서구 마곡동로 161 서울식물원,#2024_여행가는달과함께하는_발도장여행지#가족과함께#관광지#교육여행#미세먼지_피하는_실내여행#식물원#아이와함께#연인과함께#자연좋은곳#자연환경#휴식공간#휴식여행#휴식하기좋은곳#힐링산책#힐링여행,"5,204",0,0,1,korean
N서울타워,관광,전망대,서울특별시 용산구 남산공원길 105,#19_20한국관광100선#2024_여행가는달과함께하는_발도장여행지#21_22한국관광100선#23_24한국관광100선#가족여행#관광지#나홀로여행#남산서울타워#남산타워#당일치기여행#데이트명소#데이트코스#도심여행#사계절#서울근교여행#서울타워#수도권#아이와함께#야간관광100선#연인과함께#전망대#전망좋은곳#친구와함께#한국관광100선,"5,100",0,0,1,korean
서울숲,관광,"숲,숲길",서울특별시 성동구 뚝섬로 273,#2024_여행가는달과함께하는_발도장여행지#23_24한국관광100선#가족여행#걷기길#관광지#데이트코스#반려동물동반여행지#생태관광지#서울숲#수도권#수도권반려동물여행지#아이와함께#연인과함께#연중무휴#피크닉#한국관광100선#휴식공간#휴식여행#휴식하기#휴식하기좋은곳,258,0,2,2,cafe
경복궁,관광,궁궐,서울특별시 종로구 사직로 161 경복궁,#15_16한국관광100선#17_18한국관광100선#19_20한국관광100선#2024_여행가는달과함께하는_발도장여행지#21_22한국관광100선#23_24한국관광100선#BTS#bts여행#bts투어#가족여행#경복궁#고궁#관광지#교과서속여행#당일치기여행#서울#서울근교여행#서울여행#서울여행코스#수도권#아이와함께#역사#역사유적지#연인과함께#인생샷#전통역사문화체험#종로#종로가볼만한곳#친구와함께#한국관광100선,"1,202",0,0,1,korean
롯데월드 어드벤처,관광,테마파크,서울특별시 송파구 올림픽로 240,#17_18한국관광100선#19_20한국관광100선#2024_여행가는달과함께하는_발도장여행지#21_22한국관광100선#23_24한국관광100선#가족여행#관광지#놀이공원#놀이동산#당일치기여행#데이트코스#롯데월드#롯데월드#롯데월드어드벤처#서울#서울가볼만한곳#서울근교여행#수도권#수도권#아이와함께#연인과함께#친구와함께#크리스마스#테마파크#테마파크#한국관광100선#핫플레이스,"15,214",0,0,10,korean
창덕궁,관광,세계문화유산,서울특별시 종로구 율곡로 99,#19_20한국관광100선#2024_여행가는달과함께하는_발도장여행지#21_22한국관광100선#23_24한국관광100선#관광지#데이트코스#수도권#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사여행#역사유적#역사유적지#역사유적지#역사이야기#역사탐방#역사탐험#연인과함께#유네스코세계문화유산#창덕궁과후원#한국관광100선,753,0,0,3,korean
덕수궁,관광,궁궐,서울특별시 중구 세종대로 99 덕수궁,#15_16한국관광100선#17_18한국관광100선#19_20한국관광100선#2024_여행가는달과함께하는_발도장여행지#21_22한국관광100선#23_24한국관광100선#가족여행#고궁#과거여행#관광지#교과서속여행#궁궐여행#당일치기여행#덕수궁#서울#서울근교여행#수도권#아이와함께#역사#역사유적지#연인과함께#전통&역사문화체험#친구와함께#한국관광100선#한복#한복체험,436,0,0,2,korean
선정릉,관광,세계문화유산,서울특별시 강남구 선릉로100길 1 선릉정릉,#2024_여행가는달과함께하는_발도장여행지#가족여행#관광지#교과서속여행#서울선릉과정릉#서울의왕릉#선릉#선릉과정릉#선정릉#성종#아이와함께#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사유적지#역사탐방#유네스코세계문화유산#전통역사문화체험#정릉#정현왕후#조선왕릉#중종#친구와함께,43,0,0,4,korean
롯데월드타워 서울스카이,관광,전망대,서울특별시 송파구 올림픽로 300 117~123층,#2024_여행가는달과함께하는_발도장여행지#23_24한국관광100선#가족여행#경치좋은곳#관광지#롯데월드#롯데월드타워#롯데월드타워서울스카이#사계절#서울#서울데이트장소#서울스카이#수도권#실내여행지#아이와함께#야간관광100선#야경투어#연인과함께#인생샷#전망대#전망좋은곳#커플데이트#한국관광100선,"11,594",0,0,6,korean
마포구하늘공원,관광,"자연,생태공원",서울특별시 마포구 하늘공원로 95,#2024_여행가는달과함께하는_발도장여행지#관광지#남녀노소#산책하기#아이와함께#야경명소#야경여행#야경좋은곳#억새#억새군락지#월드컵공원#자연속으로#자연여행#자연좋은곳#자연풍경#자연환경#하늘공원#휴식공원#휴식여행#휴식하기좋은곳,681,0,0,4,korean
동대문종합시장,관광,시장,서울특별시 종로구 종로 272 동대문종합시장 신관,#2024_여행가는달과함께하는_발도장여행지#동대문#동대문쇼핑#동대문쇼핑타운#동대문종합시장#쇼핑#쇼핑타운#야간여행#친구와함께,41,0,0,3,korean
북촌한옥마을,관광,지역명소,서울특별시 종로구 계동길 37,#2024_여행가는달과함께하는_발도장여행지#가족여행#관광지#나홀로여행#당일치기여행#데이트코스#도심여행#북촌한옥마을#사계절#서울근교여행#아이와함께#역사#연인과함께#전통가옥#친구와함께#한옥,56,0,1,1,cafe
낙산공원,관광,근린공원,서울특별시 종로구 낙산길 41,#2024_여행가는달과함께하는_발도장여행지#가족여행#관광지#나들이#낙산#낙산공원#데이트코스#드라이브여행#서울야경#성곽걷기#수도권#아이와함께#야간관광100선#연인과함께#종로공원#체험학습#친구와함께#힐링,93,0,0,1,korean
국립중앙박물관,관광,박물관,서울특별시 용산구 서빙고로 137 국립중앙박물관,#2024_여행가는달과함께하는_발도장여행지#BTS#bts여행#bts투어#RM#가족여행#국립중앙박물관#나들이#문화시설#미세먼지_피하는_실내여행#박물관#수도권#실내관광지#실내여행#실내여행지#아이와함께#어린이날가볼만한곳#전시관#전통&역사문화체험#체험학습#친구와함께,"1,296",0,1,1,cafe
