Attraction,tag_word_N,korean,chinese,japanese,west,etc,cafe,max,type
채그로,"['마포구', '시설', '힐링', '복합', '서울', '채', '그로', '북카페', '공간', '곳', '문화', '독서', '책', '쇼핑']",0,0,0,0,0,1,1,cafe
소소한 풍경,"['풍경', '퓨전', '식당', '전망', '음식', '부암동', '한정식', '맛집']",1,0,0,0,0,0,1,korean
마복림할머니집,"['복림', '서울', '떡볶이', '추천', '음식', '맛집', '신당동', '마']",1,0,0,0,0,0,1,korean
뮤직컴플렉스 서울,"['뮤직', '여행', '구독', '인사동', '체험', '음악', '서울', '카페', '음식', '컴플렉스', '곳', '터', '이색']",0,0,0,0,0,2,2,cafe
또순이네집,"['주물', '양평동', '음식', '럭', '또순이', '맛집', '영등포', '된장찌개']",1,0,0,0,0,0,1,korean
우묵배미,"['두부', '고기', '신림역', '한식당', '전골', '갈비탕', '육개장', '배', '음식', '볶음', '찜', '꽁치', '낙지', '돼지', '맛집', '관악구', '서울', '김치', '찌개']",10,0,0,0,0,0,10,korean
토속촌삼계탕,"['종로', '토속', '음식', '오골계', '촌', '맛집', '삼계탕', '해물파전']",3,0,0,0,0,0,3,korean
석파랑,"['여행', '수복', '한정식', '정성', '수라', '힐링', '건강', '음식', '만세', '남녀', '파', '가득', '종로구', '진연', '맛집', '진찬', '노소', '전통', '부모님', '궁']",2,0,0,0,0,0,2,korean
선천집,"['한식', '백년', '음식', '맛집', '종로구', '한정식', '이북', '평안도', '서울시', '가게', '불고기']",4,0,0,0,0,0,4,korean
청수정,"['홍합', '제육', '밥', '삼청동', '종로', '비빔밥', '음식', '뽈떼기탕', '뽈떼기찜', '정식', '볶음', '맛집', '밥집', '불고기']",6,0,0,0,0,0,6,korean
만석장,"['두부', '서울시', '은평구', '전문점', '만석', '삼겹살', '백년', '삼겹', '음식', '요리', '한정식', '가득', '구이', '정성', '가마', '맛집', '쌈밥', '가게']",4,0,0,0,0,0,4,korean
선동보리밥,"['보리밥', '서울', '백년', '음식', '감자전', '맛집', '돌솥밥', '가게']",3,0,0,0,0,0,3,korean
대림창고,"['찍기', '정미소', '노소', '카페', '음식', '공간', '연인', '곳', '빈티', '휴식', '사진', '성동구', '남녀']",0,0,0,0,0,1,1,cafe
컨퍼런스하우스달개비 정동점,"['서울시', '중구', '추천', '서울', '달개비', '시청', '음식', '한정식', '맛집', '단체', '모임']",1,0,0,0,0,0,1,korean
겟댓샷(Get That Shot),"['이색', '여행', '구독', '힐링', '서울', '카페', '음식', '곳', '터', '영등포']",0,0,0,0,0,1,1,cafe
더 스팟 패뷸러스,"['서울', '카페', '추천', '음식', '곳', '뉴트', '여행지', '명동']",0,0,0,0,0,1,1,cafe
진고개,"['중구', '냉면', '육개장', '서울', '음식', '갈비찜', '보쌈김치', '맛집', '불고기']",5,0,0,0,0,0,5,korean
우래옥,"['냉면', '미쉐린', '평양', '가이드', '음식', '을지로', '가족', '힙지', '맛집', '불고기']",3,0,0,0,0,0,3,korean
인왕산 더숲 초소책방,"['인왕산', '추천', '서울', '음식', '북카페', '곳', '여행지']",0,0,0,0,0,1,1,cafe
삼거리먼지막순대국,"['서울시', '유산', '갑', '미래', '성비', '서울', '백년', '안주', '맛', '영등포구', '음식', '해장국', '술국', '대국', '맛집', '가게']",2,0,0,0,0,0,2,korean
세종한우정육점식당  2호점,"['소고기', '논현동', '우정', '강남', '식당', '정육점', '한우', '음식', '옛날', '보신탕', '맛집', '세종', '불고기']",5,0,0,0,0,0,5,korean
삼청동수제비,"['찹쌀', '파전', '쭈꾸미', '삼청동', '종로', '연중', '새알', '서울', '옹심이', '수도권', '음식', '감자전', '수제비', '볶음', '맛집', '무']",7,0,0,0,0,0,7,korean
런던베이글뮤지엄,"['디저트', '런던', '비주', '베이글', '안국역', '지엄', '음식', '뮤', '설날', '세대', '맛집', '얼']",0,0,0,1,0,2,2,cafe
삼원가든,"['강남', '양념', '원가', '갈비', '음식', '생', '분위기', '고기', '육회', '한식당', '맛집', '불고기']",4,0,0,0,0,0,4,korean
진주회관,"['콩국수', '찌개', '삼겹살', '냉', '연중', '서울', '수도권', '음식', '진주', '회관', '김치찌개', '맛집', '무']",4,0,0,0,0,0,4,korean
샤오바오우육면 종로본점,"['우육', '본점', '종각', '바오', '샤', '음식', '맛집']",0,2,0,0,0,0,2,chinese
수연산방,"['여행', '역사', '성북', '유적', '공부', '성북동', '역사탐방', '찻집', '유적지', '탐험', '수도권', '곳', '속', '이태준', '이야기', '가옥', '관광지', '수연산방', '문화재', '상']",0,0,0,0,0,1,1,cafe
필동면옥,"['제육', '중구', '냉면', '서울특별시', '접시', '서울', '비빔냉면', '음식', '맛', '충무로', '평양', '만두', '맛집']",5,0,0,0,0,0,5,korean
도넛정수 창신,"['디저트', '한과', '추천', '음식', '선물', '한국', '흑임자', '도넛']",0,0,0,1,0,4,4,cafe
티테라피,"['여행', '방차', '구독', '힐링', '노소', '공간', '음식', '연인', '휴식', '곳', '터', '종로구', '남녀']",0,0,0,0,0,1,1,cafe
진옥화할매원조닭한마리,"['닭', '종로', '서울', '음식', '칼국수', '마리', '골목', '맛집']",1,0,0,0,0,0,1,korean
강서구 고성막국수,"['편육', '음식', '동치미', '맛집', '막국수']",3,0,0,0,0,0,3,korean
원조홍어 본점,"['거리', '한식', '홍어삼합', '신길동', '음식', '홍어회', '홍어', '맛집', '영등포']",4,0,0,0,0,0,4,korean
해방촌 혼고,"['혼밥', '서울', '음식', '화로', '구이', '맛집']",1,0,0,0,0,0,1,korean
