Attraction,tag_word_N,korean,chinese,japanese,west,etc,cafe,max,type
채그로,"['공간', '독서', '복합', '북카페', '마포구', '채', '쇼핑', '서울', '곳', '그로', '시설', '힐링', '책', '문화']",0,0,0,0,0,1,1,cafe
소소한 풍경,"['음식', '식당', '한정식', '맛집', '퓨전', '부암동', '풍경', '전망']",1,0,0,0,0,0,1,korean
마복림할머니집,"['음식', '서울', '맛집', '추천', '마', '신당동', '복림', '떡볶이']",1,0,0,0,0,0,1,korean
뮤직컴플렉스 서울,"['음식', '구독', '음악', '체험', '이색', '컴플렉스', '여행', '인사동', '서울', '곳', '터', '뮤직', '카페']",0,0,0,0,0,2,2,cafe
또순이네집,"['음식', '양평동', '럭', '맛집', '된장찌개', '주물', '영등포', '또순이']",1,0,0,0,0,0,1,korean
우묵배미,"['배', '두부', '한식당', '김치', '육개장', '갈비탕', '돼지', '음식', '찜', '전골', '관악구', '낙지', '볶음', '맛집', '서울', '찌개', '고기', '꽁치', '신림역']",10,0,0,0,0,0,10,korean
토속촌삼계탕,"['음식', '토속', '종로', '삼계탕', '촌', '맛집', '해물파전', '오골계']",3,0,0,0,0,0,3,korean
석파랑,"['종로구', '만세', '여행', '수복', '음식', '진연', '부모님', '진찬', '궁', '맛집', '전통', '파', '힐링', '한정식', '남녀', '가득', '수라', '건강', '정성', '노소']",2,0,0,0,0,0,2,korean
선천집,"['음식', '평안도', '종로구', '가게', '서울시', '맛집', '백년', '불고기', '한식', '한정식', '이북']",4,0,0,0,0,0,4,korean
청수정,"['음식', '홍합', '볶음', '종로', '제육', '맛집', '불고기', '밥', '삼청동', '밥집', '뽈떼기탕', '뽈떼기찜', '정식', '비빔밥']",6,0,0,0,0,0,6,korean
만석장,"['음식', '가마', '삼겹살', '두부', '가게', '한정식', '맛집', '전문점', '요리', '백년', '삼겹', '쌈밥', '서울시', '정성', '만석', '가득', '구이', '은평구']",4,0,0,0,0,0,4,korean
선동보리밥,"['음식', '돌솥밥', '가게', '감자전', '서울', '맛집', '백년', '보리밥']",3,0,0,0,0,0,3,korean
대림창고,"['음식', '공간', '휴식', '사진', '빈티', '곳', '성동구', '남녀', '정미소', '찍기', '연인', '노소', '카페']",0,0,0,0,0,1,1,cafe
컨퍼런스하우스달개비 정동점,"['음식', '단체', '시청', '중구', '달개비', '서울시', '맛집', '서울', '추천', '한정식', '모임']",1,0,0,0,0,0,1,korean
겟댓샷(Get That Shot),"['음식', '구독', '이색', '여행', '서울', '곳', '터', '힐링', '영등포', '카페']",0,0,0,0,0,1,1,cafe
더 스팟 패뷸러스,"['음식', '뉴트', '서울', '곳', '추천', '여행지', '명동', '카페']",0,0,0,0,0,1,1,cafe
진고개,"['갈비찜', '음식', '중구', '맛집', '서울', '불고기', '보쌈김치', '육개장', '냉면']",5,0,0,0,0,0,5,korean
우래옥,"['음식', '가이드', '미쉐린', '평양', '맛집', '불고기', '가족', '을지로', '냉면', '힙지']",3,0,0,0,0,0,3,korean
인왕산 더숲 초소책방,"['음식', '북카페', '서울', '곳', '추천', '여행지', '인왕산']",0,0,0,0,0,1,1,cafe
삼거리 먼지막 순대국,"['음식', '미래', '영등포구', '유산', '대국', '안주', '해장국', '가게', '서울시', '서울', '맛집', '백년', '맛', '성비', '술국', '갑']",2,0,0,0,0,0,2,korean
세종한우정육점식당  2호점,"['옛날', '음식', '식당', '보신탕', '세종', '맛집', '불고기', '소고기', '논현동', '강남', '한우', '정육점', '우정']",4,0,0,0,0,0,4,korean
삼청동수제비,"['음식', '볶음', '수제비', '종로', '감자전', '새알', '서울', '맛집', '연중', '삼청동', '수도권', '쭈꾸미', '옹심이', '파전', '찹쌀', '무']",7,0,0,0,0,0,7,korean
런던베이글뮤지엄,"['음식', '런던', '베이글', '지엄', '세대', '맛집', '설날', '뮤', '디저트', '비주', '안국역', '얼']",0,0,0,0,0,2,2,cafe
삼원가든,"['원가', '음식', '갈비', '분위기', '양념', '육회', '맛집', '한식당', '불고기', '생', '강남', '고기']",4,0,0,0,0,0,4,korean
진주회관,"['음식', '회관', '삼겹살', '맛집', '콩국수', '서울', '찌개', '수도권', '연중', '냉', '김치찌개', '무', '진주']",4,0,0,0,0,0,4,korean
