,Attraction,tag_word_N,nature,history,experience,theme,culture,shop_etc,max,type
0,동대문역사문화공원,"['산책', '발도장', '플라자', '여행가', '가족', '코스', '동대문역', '화공', '패션', '데이트', '공간', '곳', '는달', '관광지', '길', '동대문운동장', '연인', '디자인', '친구', '여행', '동대문', '걷기', '신당동', '휴식', '산책길', '거리', '사계절', '여행지']",0,0,3,2,1,2,3,experience
1,서울식물원,"['산책', '발도장', '여행가', '피하', '가족', '교육', '공간', '힐링', '는달', '관광지', '연인', '실내', '식물원', '미세먼지', '여행', '자연환경', '자연', '휴식', '곳', '아이', '여행지']",4,1,1,0,0,0,4,nature
2,N서울타워,"['남산타워', '발도장', '여행가', '관광', '한국', '가족', '명소', '코스', '홀로', '데이트', '전망', '사계절', '곳', '전망대', '는달', '관광지', '근교', '연인', '선', '친구', '여행', '남산', '타워', '수도권', '당일치기', '도심', '서울', '나', '아이', '여행지', '야간']",0,0,0,6,0,0,6,theme
3,서울숲,"['발도장', '여행가', '관광', '한국', '가족', '코스', '연중', '데이트', '무', '공간', '는달', '생태관광', '관광지', '반려동물', '연인', '선', '여행', '피크닉', '수도권', '서울숲', '휴식', '곳', '아이', '여행지']",3,0,1,0,0,0,3,nature
4,경복궁,"['발도장', '여행가', '관광', '한국', '유적지', '가족', '경복궁', '코스', '인생', '문화', '체험', '교과서', '통역사', '샷', '는달', '관광지', '근교', '연인', '선', '친구', '여행', '종로', '역사', '수도권', '당일치기', '투어', '고궁', '서울', '곳', '아이', '여행지']",0,5,1,0,1,0,5,history
5,롯데월드 어드벤처,"['발도장', '여행가', '관광', '한국', '테마', '공원', '가족', '코스', '핫', '레이스', '데이트', '월드', '놀이', '는달', '어드벤처', '관광지', '근교', '연인', '선', '친구', '여행', '크리스마스', '수도권', '롯데', '당일치기', '놀이동산', '파크', '서울', '곳', '아이', '여행지']",0,0,0,3,0,0,3,theme
6,창덕궁,"['발도장', '유네스코', '여행가', '관광', '한국', '유적지', '코스', '역사탐방', '데이트', '문화재', '는달', '세계', '창덕궁', '공부', '관광지', '연인', '선', '여행', '이야기', '역사', '수도권', '후원', '속', '탐험', '문화유산', '유적', '곳', '여행지']",0,7,1,0,2,0,7,history
7,덕수궁,"['발도장', '여행가', '관광', '한국', '유적지', '가족', '문화', '체험', '교과서', '한복', '는달', '덕수궁', '관광지', '근교', '연인', '선', '친구', '여행', '역사', '수도권', '전통', '과거', '당일치기', '궁궐', '고궁', '서울', '아이', '여행지']",0,7,2,0,1,0,7,history
8,선정릉,"['발도장', '유네스코', '여행가', '유적지', '선릉', '가족', '정현왕후', '문화', '체험', '정릉', '교과서', '역사탐방', '통역사', '중종', '문화재', '왕릉', '는달', '세계', '공부', '관광지', '조선왕릉', '여행', '친구', '선정릉', '역사', '속', '문화유산', '서울', '곳', '아이', '여행지', '성종']",0,14,1,0,3,0,14,history
9,롯데월드타워 서울스카이,"['발도장', '여행가', '관광', '한국', '가족', '인생', '커플', '데이트', '월드', '전망', '곳', '샷', '전망대', '스카이', '는달', '관광지', '장소', '선', '실내', '연인', '여행', '타워', '수도권', '롯데', '투어', '경치', '서울', '사계절', '아이', '여행지', '야간', '야경']",1,0,0,5,0,0,5,theme
