,Attraction,Good_Point,Selected_People,Category
803,채그로,뷰가 좋아요,146,시설 및 분위기
804,채그로,집중하기 좋아요,62,시설 및 분위기
805,채그로,읽을만한 책이 많아요,61,시설 및 분위기
806,채그로,인테리어가 멋져요,60,시설 및 분위기
807,채그로,커피가 맛있어요,39,음식의 속성
808,채그로,좌석이 편해요,37,시설 및 분위기
809,채그로,사진이 잘 나와요,34,시설 및 분위기
810,채그로,대화하기 좋아요,34,시설 및 분위기
811,채그로,음료가 맛있어요,29,음식의 속성
812,채그로,친절해요,24,서비스
813,채그로,화장실이 깨끗해요,15,시설 및 분위기
814,채그로,디저트가 맛있어요,13,음식의 속성
815,채그로,가성비가 좋아요,7,가격 및 가치
816,채그로,주차하기 편해요,5,주변 인프라
817,채그로,특별한 메뉴가 있어요,5,음식의 속성
818,채그로,아늑해요,4,시설 및 분위기
819,채그로,차분한 분위기에요,1,시설 및 분위기
820,채그로,매장이 넓어요,1,시설 및 분위기
821,채그로,매장이 청결해요,1,시설 및 분위기
822,채그로,건강한 맛이에요,1,음식의 속성
962,소소한 풍경,음식이 맛있어요,367,음식의 속성
963,소소한 풍경,특별한 메뉴가 있어요,171,음식의 속성
964,소소한 풍경,친절해요,150,서비스
965,소소한 풍경,재료가 신선해요,143,음식의 속성
966,소소한 풍경,인테리어가 멋져요,117,시설 및 분위기
967,소소한 풍경,뷰가 좋아요,114,시설 및 분위기
968,소소한 풍경,특별한 날 가기 좋아요,102,시설 및 분위기
969,소소한 풍경,매장이 청결해요,55,시설 및 분위기
970,소소한 풍경,가성비가 좋아요,48,가격 및 가치
971,소소한 풍경,단체모임 하기 좋아요,41,시설 및 분위기
972,소소한 풍경,양이 많아요,39,음식의 속성
973,소소한 풍경,매장이 넓어요,36,시설 및 분위기
974,소소한 풍경,화장실이 깨끗해요,18,시설 및 분위기
975,소소한 풍경,건강한 맛이에요,8,음식의 속성
976,소소한 풍경,메뉴 구성이 알차요,5,가격 및 가치
977,소소한 풍경,야외 공간이 멋져요,5,시설 및 분위기
978,소소한 풍경,차분한 분위기에요,3,시설 및 분위기
979,소소한 풍경,혼밥하기 좋아요,3,시설 및 분위기
980,소소한 풍경,주차하기 편해요,3,주변 인프라
981,소소한 풍경,아늑해요,2,시설 및 분위기
982,소소한 풍경,반찬이 잘 나와요,2,음식의 속성
983,소소한 풍경,컨셉이 독특해요,1,시설 및 분위기
984,소소한 풍경,코스요리가 알차요,1,가격 및 가치
985,소소한 풍경,음식이 빨리 나와요,1,서비스
