Attraction,가격 및 가치,서비스,시설 및 분위기,음식의 속성,주변 인프라
1940금문,6,43,78,210,1
63뷔페 파빌리온,2372,1974,6130,6137,971
BK볏짚 우대갈비 장안동본점,62,285,500,887,51
RSG 성수,0,2,17,13,0
WANGTHAI,31,173,325,567,17
h450,62,88,255,397,45
갈비명가이상 돈암본관,113,452,1211,1958,245
감꽃당,78,573,1828,2453,11
감나무집기사식당,532,701,975,3036,341
갓잇(god eat),155,549,823,2369,3
강강술래신림본동점,390,1252,3328,5168,544
강남곰바위,21,137,454,753,63
강남구 카페엠,11,57,372,214,10
강남목장,27,126,194,384,14
강동 오늘손칼국수,114,134,495,1377,132
강동황도바지락칼국수,135,137,378,1206,279
강북구 서당골,152,233,659,1223,131
강서구 고성막국수,32,88,68,743,4
강서도일처,34,166,412,837,14
강서면옥,19,99,206,593,16
개화,56,147,277,528,11
갤러리카페 3안,2,19,46,37,0
갯마을,33,54,103,219,1
갯마을풍천장어,12,13,19,65,10
겟댓샷(Get That Shot),41,115,934,731,16
계림식당,252,289,236,2104,8
고궁의 아침,106,206,631,997,17
고래불,99,223,409,865,39
고려삼계탕,47,250,471,1264,38
고바우소곱창,7,124,124,320,1
고향풍천장어,39,36,79,193,5
골목집,559,631,650,3451,12
곰국시집,26,101,305,713,3
곰국시집 명동,26,101,305,713,3
관훈동 산촌,17,49,176,244,0
광장싸롱,48,96,123,333,3
국시집,19,47,62,266,0
국화정원,48,47,151,179,14
궁나라냉면묵밥,23,69,79,210,4
그리츠(GREETS) 글래드호텔 여의도,2204,1075,2752,3108,179
그릭조이,21,43,51,198,0
금강수림,35,81,188,507,18
금돼지식당,103,1233,848,3807,5
금왕돈까스,238,328,923,2191,174
금용문,45,77,226,328,5
금천구춘천옥,35,109,172,638,9
김가네가마솥설렁탕,109,225,548,1370,249
깃대봉냉면,162,297,855,1802,224
까델루뽀,50,130,373,409,12
까사빠보,54,330,797,756,130
꼴라주,5,77,204,246,28
꼼떼 바베큐 둔촌본점,166,200,1234,1129,207
꽃밥에피다,131,805,1690,3914,7
꽃새우 영번지,38,36,77,236,5
꾸에바마테라,3,35,104,105,0
낙원(메이필드호텔),7,36,76,84,12
낙원떡집,129,224,251,958,5
남도분식 익선점,107,172,204,816,2
남산골산채집,366,591,1939,3920,127
남원집,9,20,17,73,0
남원추어탕 풍천장어,19,13,14,95,0
남포면옥,65,435,1148,2208,4
내자상회,16,142,558,970,2
너비집,32,71,112,375,5
노천파전,89,78,127,215,0
눈나무집,132,85,231,658,6
뉘조,30,48,121,168,1
늘푸른목장 잠실본점,60,161,271,1012,39
늘푸른식당,44,45,32,188,1
니와,8,22,43,130,0
다락정,27,76,114,383,6
다래함박스텍,1101,572,450,2513,25
다리원,73,145,275,719,13
단미그린비,27,79,244,229,44
달 카페,8,6,9,26,0
대도식당 왕십리본점,52,222,747,1286,182
대림창고,88,175,2882,2417,7
대상해,45,120,307,354,7
대치동중앙해장,250,577,2094,5679,39
대풍간장게장생선구이,33,43,58,186,4
대호정,31,70,103,227,3
더 스팟 패뷸러스,51,346,2253,3034,3
더 우리곱창,169,295,207,1031,3
더 킹스,419,257,786,808,92
더플레이스다이닝,22,113,457,238,3
도넛정수 창신,34,267,1515,1657,4
도봉구대문한정식,267,200,728,965,92
도원스타일,9,101,211,402,28
도읍지,235,114,293,736,4
돈까스잔치 동빙고점,541,392,1075,3187,429
동경,110,190,437,1076,59
동방명주 충무로점,67,133,397,968,2
동심한정식,14,11,23,43,2
동작노을카페,6,12,82,88,1
