Attraction,Good_Point,Selected_People,Category_Map
동대문역사문화공원,뷰가 좋아요,22,경관 및 사진
동대문역사문화공원,관리가 잘 되어있어요,21,시설 및 편의성
동대문역사문화공원,볼거리가 많아요,14,활동 및 즐길거리
동대문역사문화공원,사진이 잘 나와요,12,경관 및 사진
동대문역사문화공원,산책로가 잘 되어있어요,12,활동 및 즐길거리
동대문역사문화공원,편의시설이 잘 되어있어요,9,시설 및 편의성
동대문역사문화공원,먹거리가 풍부해요,7,활동 및 즐길거리
동대문역사문화공원,가격이 합리적이에요,7,가격 및 가치
동대문역사문화공원,방문객이 많아요,5,시설 및 편의성
동대문역사문화공원,체험 프로그램이 다양해요,5,활동 및 즐길거리
동대문역사문화공원,주차하기 편해요,4,시설 및 편의성
동대문역사문화공원,컨셉이 독특해요,2,활동 및 즐길거리
동대문역사문화공원,붐비지 않아요,2,기타
동대문역사문화공원,유익해요,1,서비스
서울식물원,신기한 식물이 많아요,2870,활동 및 즐길거리
서울식물원,산책로가 잘 되어있어요,2757,활동 및 즐길거리
서울식물원,볼거리가 많아요,2666,활동 및 즐길거리
서울식물원,사진이 잘 나와요,1101,경관 및 사진
서울식물원,뷰가 좋아요,864,경관 및 사진
서울식물원,화장실이 깨끗해요,841,시설 및 편의성
서울식물원,편의시설이 잘 되어있어요,715,시설 및 편의성
서울식물원,주차하기 편해요,680,시설 및 편의성
서울식물원,가격이 합리적이에요,643,가격 및 가치
서울식물원,대중교통이 편해요,281,시설 및 편의성
서울식물원,규모가 커요,74,시설 및 편의성
서울식물원,아이와 가기 좋아요,62,활동 및 즐길거리
서울식물원,피크닉하기 좋아요,30,활동 및 즐길거리
서울식물원,컨셉이 독특해요,6,활동 및 즐길거리
서울식물원,인테리어가 멋져요,5,경관 및 사진
서울식물원,체험 프로그램이 다양해요,5,활동 및 즐길거리
서울식물원,반려동물과 가기 좋아요,3,시설 및 편의성
N서울타워,뷰가 좋아요,4025,경관 및 사진
N서울타워,야경이 멋져요,1987,경관 및 사진
N서울타워,사진이 잘 나와요,1865,경관 및 사진
N서울타워,산책로가 잘 되어있어요,1391,활동 및 즐길거리
N서울타워,볼거리가 많아요,1190,활동 및 즐길거리
N서울타워,대중교통이 편해요,565,시설 및 편의성
N서울타워,근처에 갈 곳이 많아요,442,시설 및 편의성
N서울타워,가격이 합리적이에요,273,가격 및 가치
N서울타워,주차하기 편해요,167,시설 및 편의성
N서울타워,화장실이 깨끗해요,84,시설 및 편의성
N서울타워,시설이 깔끔해요,71,시설 및 편의성
N서울타워,아이와 가기 좋아요,69,활동 및 즐길거리
N서울타워,편의시설이 잘 되어있어요,35,시설 및 편의성
N서울타워,인테리어가 멋져요,19,경관 및 사진
N서울타워,먹거리가 풍부해요,13,활동 및 즐길거리
N서울타워,컨셉이 독특해요,6,활동 및 즐길거리
N서울타워,체험 프로그램이 다양해요,5,활동 및 즐길거리
N서울타워,반려동물과 가기 좋아요,3,시설 및 편의성
서울숲,뷰가 좋아요,256,경관 및 사진
서울숲,사진이 잘 나와요,183,경관 및 사진
서울숲,볼거리가 많아요,98,활동 및 즐길거리
서울숲,대중교통이 편해요,63,시설 및 편의성
서울숲,피크닉하기 좋아요,57,활동 및 즐길거리
서울숲,근처에 갈 곳이 많아요,56,시설 및 편의성
서울숲,산책로가 잘 되어있어요,56,활동 및 즐길거리
서울숲,경관이 독특해요,50,경관 및 사진
서울숲,주차하기 편해요,35,시설 및 편의성
서울숲,방문객이 많아요,34,시설 및 편의성
서울숲,붐비지 않아요,26,기타
서울숲,조용히 쉬기 좋아요,24,시설 및 편의성
서울숲,화장실이 깨끗해요,20,시설 및 편의성
서울숲,규모가 커요,19,시설 및 편의성
서울숲,반려동물과 가기 좋아요,18,시설 및 편의성
서울숲,편의시설이 잘 되어있어요,17,시설 및 편의성
서울숲,아이와 가기 좋아요,17,활동 및 즐길거리
서울숲,관리가 잘 되어있어요,12,시설 및 편의성
서울숲,가격이 합리적이에요,11,가격 및 가치
서울숲,체험 프로그램이 다양해요,8,활동 및 즐길거리
서울숲,관리가 잘 되어있어요,6,시설 및 편의성
서울숲,코스가 길어요,5,기타
서울숲,신기한 식물이 많아요,4,활동 및 즐길거리
서울숲,먹거리가 풍부해요,2,활동 및 즐길거리
경복궁,사진이 잘 나와요,777,경관 및 사진
경복궁,볼거리가 많아요,718,활동 및 즐길거리
경복궁,관리가 잘 되어있어요,317,시설 및 편의성
경복궁,산책로가 잘 되어있어요,280,활동 및 즐길거리
경복궁,아이와 가기 좋아요,210,활동 및 즐길거리
경복궁,가격이 합리적이에요,195,가격 및 가치
경복궁,체험 프로그램이 다양해요,119,활동 및 즐길거리
경복궁,주차하기 편해요,117,시설 및 편의성
경복궁,뷰가 좋아요,117,경관 및 사진
경복궁,방문객이 많아요,113,시설 및 편의성
경복궁,설명이 잘 되어있어요,84,서비스
경복궁,붐비지 않아요,81,기타
경복궁,규모가 커요,68,시설 및 편의성
경복궁,근처에 갈 곳이 많아요,21,시설 및 편의성
경복궁,야경이 멋져요,20,경관 및 사진
경복궁,경관이 독특해요,18,경관 및 사진
경복궁,대중교통이 편해요,8,시설 및 편의성
경복궁,화장실이 깨끗해요,6,시설 및 편의성
경복궁,편의시설이 잘 되어있어요,4,시설 및 편의성
롯데월드 어드벤처,놀이기구가 다양해요,9074,활동 및 즐길거리
롯데월드 어드벤처,볼거리가 많아요,8780,활동 및 즐길거리
롯데월드 어드벤처,아이와 가기 좋아요,4569,활동 및 즐길거리
롯데월드 어드벤처,먹거리가 풍부해요,4209,활동 및 즐길거리
롯데월드 어드벤처,사진이 잘 나와요,4008,경관 및 사진
롯데월드 어드벤처,가격이 합리적이에요,2051,가격 및 가치
롯데월드 어드벤처,주차하기 편해요,1795,시설 및 편의성
롯데월드 어드벤처,체험 프로그램이 다양해요,1476,활동 및 즐길거리
롯데월드 어드벤처,규모가 커요,524,시설 및 편의성
롯데월드 어드벤처,친절해요,453,서비스
롯데월드 어드벤처,시설이 깔끔해요,289,시설 및 편의성
롯데월드 어드벤처,편의시설이 잘 되어있어요,213,시설 및 편의성
롯데월드 어드벤처,안전하게 관리해요,96,서비스
롯데월드 어드벤처,유익해요,66,서비스
롯데월드 어드벤처,컨셉이 독특해요,49,활동 및 즐길거리
롯데월드 어드벤처,대기시간이 짧아요,36,기타
롯데월드 어드벤처,수질 관리가 잘돼요,14,시설 및 편의성
롯데월드 어드벤처,셔틀버스가 잘 되어있어요,10,시설 및 편의성
롯데월드 어드벤처,샤워실이 잘 되어있어요,7,시설 및 편의성
롯데월드 어드벤처,숙박하기 좋아요,5,시설 및 편의성
롯데월드 어드벤처,반려동물과 가기 좋아요,3,시설 및 편의성
롯데월드 어드벤처,동물 관리가 잘 되어있어요,2,시설 및 편의성
창덕궁,사진이 잘 나와요,483,경관 및 사진
창덕궁,볼거리가 많아요,419,활동 및 즐길거리
창덕궁,산책로가 잘 되어있어요,244,활동 및 즐길거리
창덕궁,관리가 잘 되어있어요,207,시설 및 편의성
창덕궁,붐비지 않아요,102,기타
창덕궁,뷰가 좋아요,87,경관 및 사진
창덕궁,아이와 가기 좋아요,82,활동 및 즐길거리
창덕궁,가격이 합리적이에요,77,가격 및 가치
창덕궁,설명이 잘 되어있어요,73,서비스
창덕궁,체험 프로그램이 다양해요,48,활동 및 즐길거리
창덕궁,방문객이 많아요,40,시설 및 편의성
창덕궁,규모가 커요,35,시설 및 편의성
창덕궁,대중교통이 편해요,15,시설 및 편의성
창덕궁,근처에 갈 곳이 많아요,14,시설 및 편의성
창덕궁,주차하기 편해요,11,시설 및 편의성
창덕궁,경관이 독특해요,11,경관 및 사진
창덕궁,화장실이 깨끗해요,6,시설 및 편의성
창덕궁,야경이 멋져요,5,경관 및 사진
창덕궁,편의시설이 잘 되어있어요,1,시설 및 편의성
창덕궁,반려동물과 가기 좋아요,1,시설 및 편의성
덕수궁,사진이 잘 나와요,312,경관 및 사진
덕수궁,볼거리가 많아요,242,활동 및 즐길거리
덕수궁,산책로가 잘 되어있어요,155,활동 및 즐길거리
덕수궁,관리가 잘 되어있어요,135,시설 및 편의성
덕수궁,붐비지 않아요,117,기타
덕수궁,가격이 합리적이에요,92,가격 및 가치
덕수궁,뷰가 좋아요,69,경관 및 사진
덕수궁,아이와 가기 좋아요,68,활동 및 즐길거리
덕수궁,체험 프로그램이 다양해요,27,활동 및 즐길거리
덕수궁,야경이 멋져요,25,경관 및 사진
덕수궁,방문객이 많아요,23,시설 및 편의성
덕수궁,설명이 잘 되어있어요,23,서비스
덕수궁,대중교통이 편해요,22,시설 및 편의성
덕수궁,근처에 갈 곳이 많아요,16,시설 및 편의성
덕수궁,경관이 독특해요,11,경관 및 사진
덕수궁,주차하기 편해요,9,시설 및 편의성
덕수궁,규모가 커요,8,시설 및 편의성
덕수궁,화장실이 깨끗해요,5,시설 및 편의성
덕수궁,반려동물과 가기 좋아요,3,시설 및 편의성
덕수궁,편의시설이 잘 되어있어요,2,시설 및 편의성
선정릉,산책로가 잘 되어있어요,37,활동 및 즐길거리
선정릉,붐비지 않아요,31,기타
선정릉,사진이 잘 나와요,28,경관 및 사진
선정릉,관리가 잘 되어있어요,17,시설 및 편의성
선정릉,가격이 합리적이에요,12,가격 및 가치
선정릉,주차하기 편해요,10,시설 및 편의성
선정릉,뷰가 좋아요,10,경관 및 사진
선정릉,아이와 가기 좋아요,9,활동 및 즐길거리
선정릉,볼거리가 많아요,8,활동 및 즐길거리
선정릉,설명이 잘 되어있어요,4,서비스
