Attraction,가격 및 가치,경관 및 사진,기타,서비스,쇼핑 관련,시설 및 편의성,활동 및 즐길거리,Total_Feature_Counts
104고지전적비,37,92,40,26,0,62,106,363
10꼬르소꼬모 청담점,31,40,0,37,60,20,1,189
63아트,54,99,0,27,0,157,176,513
AK PLAZA 홍대,372,52,0,203,532,186,4,1349
IFC몰,1026,11,0,582,1401,954,1,3975
KCDF 갤러리숍 공예정원,15,3,0,6,22,13,0,59
KT&G 상상마당 디자인스퀘어,299,82,0,131,1177,208,3,1900
N서울타워,273,7896,0,0,0,1367,2674,12210
POOM아트박스 (신촌점),475,64,0,259,1222,198,0,2218
SLP 어린이회관 눈썰매장,177,0,0,385,0,756,509,1827
가락농수산물종합도매시장,3,1,0,8,5,8,7,32
가락몰,3,1,0,8,5,8,7,32
가회민화박물관,3,1,0,10,0,5,14,33
간송미술관,0,1,0,14,0,13,4,32
강동그린웨이 가족캠핑장,2,11,0,3,0,261,2,279
강변스파랜드,72,0,0,146,5,923,150,1296
강서농산물도매시장,37,5,1,73,50,141,68,375
개봉중앙시장,9,0,0,5,10,3,3,30
갤러리아백화점명품관EAST,1639,104,0,1108,1664,893,3,5411
경동시장,17,2,0,11,23,16,15,84
경복궁,195,932,81,84,0,654,1327,3273
경의선숲길,0,69,7,0,0,46,74,196
경춘선숲길,0,41,2,0,0,28,36,107
경희궁,5,42,29,4,0,37,40,157
고궁마실,32,11,2,174,218,70,0,507
고려대학교서울캠퍼스아이스링크,10,0,0,41,0,53,16,120
고속터미널 꽃도매상가,0,2,0,3,0,1,7,13
고척근린공원,10,31,13,0,0,76,51,181
고척근린시장,4,3,0,24,3,5,16,55
고투몰,304,6,0,99,175,56,0,640
골든블루마리나,280,622,0,1217,0,210,158,2487
공릉동도깨비시장,22,0,0,26,18,10,8,84
관악산 낙성대공원,11,63,12,2,0,74,62,224
관악산 호수공원,1,25,3,0,0,18,13,60
관훈동 한국공예관,53,0,0,37,113,11,0,214
광나루한강공원,0,19,5,0,0,11,14,49
광나루한강공원 암사생태공원,0,11,0,0,0,11,24,46
광야 서울,170,188,0,175,354,95,30,1012
광운대학교 아이스링크,42,0,0,107,0,156,44,349
광장시장,6,1,0,8,3,5,12,35
광장시장 한복매장,18,6,0,18,14,7,0,63
광화문,3,196,13,3,0,119,147,481
광화문광장,0,149,8,4,0,187,170,518
교보문고,0,2022,0,0,43140,23401,27,68590
