Attraction,tag_word_N,korean,chinese,japanese,west,etc,cafe,max,type
채그로,"['그로', '채', '시설', '마포구', '곳', '공간', '문화', '힐링', '쇼핑', '독서', '복합', '서울', '책', '북카페']",0,0,0,0,0,1,1,cafe
소소한 풍경,"['부암동', '전망', '풍경', '한정식', '맛집', '식당', '퓨전', '음식']",1,0,0,0,0,0,1,korean
영등포 신길동 홍어거리,"['남녀', '거리', '전국', '곳', '홍어삼합', '맛집', '이색', '홍어회', '체험', '노소', '영등포', '서울', '음식', '관광지']",2,0,0,0,0,0,2,korean
서울 신림동 민속순대타운,"['남녀', '거리', '순대볶음', '수도권', '골목', '민속', '순대', '맛집', '이색', '식당', '연인', '타운', '친구', '노소', '신림동', '서울', '음식', '관광지']",2,0,0,0,0,0,2,korean
마복림할머니집,"['신당동', '맛집', '복림', '서울', '추천', '떡볶이', '음식', '마']",1,0,0,0,0,0,1,korean
뮤직컴플렉스 서울,"['여행', '곳', '이색', '터', '체험', '뮤직', '음악', '카페', '서울', '컴플렉스', '인사동', '구독', '음식']",0,0,0,0,0,2,2,cafe
또순이네집,"['주물', '된장찌개', '맛집', '영등포', '럭', '양평동', '음식', '또순이']",1,0,0,0,0,0,1,korean
우묵배미,"['찌개', '서울', '찜', '김치', '맛집', '신림역', '볶음', '꽁치', '배', '갈비탕', '관악구', '전골', '돼지', '낙지', '음식', '육개장', '고기', '두부', '한식당']",10,0,0,0,0,0,10,korean
청계산,"['과천', '관악산', '서울대', '공원', '청계산', '자연', '산', '청룡', '서울', '관광지']",0,0,0,0,0,0,0,None
토속촌삼계탕,"['해물파전', '토속', '종로', '맛집', '촌', '삼계탕', '음식', '오골계']",3,0,0,0,0,0,3,korean
석파랑,"['여행', '건강', '노소', '전통', '남녀', '정성', '종로구', '맛집', '진찬', '힐링', '수라', '부모님', '가득', '진연', '파', '음식', '수복', '한정식', '궁', '만세']",2,0,0,0,0,0,2,korean
[백년가게]선천집,"['이북', '평안도', '종로구', '백년', '한정식', '가게', '맛집', '서울시', '불고기', '음식', '한식']",4,0,0,0,0,0,4,korean
청수정,"['정식', '뽈떼기찜', '밥', '볶음', '비빔밥', '뽈떼기탕', '종로', '맛집', '홍합', '밥집', '삼청동', '불고기', '음식', '제육']",6,0,0,0,0,0,6,korean
서울 종로 낙지볶음 골목,"['거리', '여행', '전문점', '골목', '맛집', '가족', '이색', '연인', '시장', '낙지', '체험', '친구', '전국', '골목길', '탐방', '관광지']",2,0,0,0,0,0,2,korean
[백년가게]만석장,"['구이', '만석', '음식', '전문점', '정성', '가득', '백년', '한정식', '쌈밥', '맛집', '가게', '은평구', '두부', '요리', '서울시', '가마', '삼겹', '삼겹살']",4,0,0,0,0,0,4,korean
[백년가게]선동보리밥,"['감자전', '백년', '가게', '맛집', '보리밥', '서울', '음식', '돌솥밥']",3,0,0,0,0,0,3,korean
대림창고,"['남녀', '휴식', '찍기', '빈티', '곳', '공간', '연인', '노소', '카페', '정미소', '사진', '성동구', '음식']",0,0,0,0,0,1,1,cafe
컨퍼런스하우스달개비 정동점,"['시청', '달개비', '한정식', '맛집', '모임', '중구', '단체', '음식', '서울시', '추천', '서울']",1,0,0,0,0,0,1,korean
겟댓샷(Get That Shot),"['여행', '곳', '이색', '힐링', '터', '영등포', '카페', '서울', '구독', '음식']",0,0,0,0,0,1,1,cafe
더 스팟 패뷸러스,"['명동', '음식', '곳', '여행지', '카페', '뉴트', '추천', '서울']",0,0,0,0,0,1,1,cafe
진고개,"['보쌈김치', '갈비찜', '육개장', '맛집', '중구', '음식', '냉면', '불고기', '서울']",5,0,0,0,0,0,5,korean
우래옥,"['평양', '미쉐린', '맛집', '가족', '가이드', '을지로', '냉면', '불고기', '음식', '힙지']",3,0,0,0,0,0,3,korean
인왕산 더숲 초소책방,"['인왕산', '곳', '여행지', '서울', '추천', '음식', '북카페']",0,0,0,0,0,1,1,cafe
[백년가게]삼거리 먼지막 순대국,"['미래', '갑', '대국', '유산', '백년', '영등포구', '술국', '가게', '맛집', '안주', '성비', '맛', '해장국', '서울', '서울시', '음식']",2,0,0,0,0,0,2,korean
세종한우정육점식당  2호점,"['우정', '한우', '강남', '세종', '정육점', '논현동', '소고기', '맛집', '옛날', '식당', '보신탕', '불고기', '음식']",4,0,0,0,0,0,4,korean
삼청동수제비,"['옹심이', '무', '감자전', '수도권', '연중', '종로', '맛집', '쭈꾸미', '파전', '찹쌀', '서울', '삼청동', '새알', '볶음', '음식', '수제비']",7,0,0,0,0,0,7,korean
런던베이글뮤지엄,"['얼', '베이글', '설날', '런던', '맛집', '뮤', '비주', '지엄', '디저트', '세대', '음식', '안국역']",0,0,0,0,0,2,2,cafe
삼원가든,"['원가', '육회', '강남', '생', '맛집', '고기', '양념', '갈비', '분위기', '한식당', '불고기', '음식']",4,0,0,0,0,0,4,korean
진주회관,"['무', '찌개', '수도권', '연중', '삼겹살', '회관', '맛집', '김치찌개', '진주', '음식', '서울', '냉', '콩국수']",4,0,0,0,0,0,4,korean
방산 종합시장,"['여행', '먹거리', '종합', '데이트', '아이', '친구', '전통', '맛집', '시장', '취미', '방', '투어', '산시', '방산', '수도권', '코스', '가족', '나', '연인', '쇼핑', '홀로']",1,0,0,0,0,0,1,korean
공덕동 족발 골목,"['거리', '여행', '마포구', '곳', '서울', '맛집', '시장', '오향', '관광지', '족발', '골목', '체험', '가족', '연인', '돼지고기', '전국', '골목길', '공덕', '마포']",2,1,0,0,0,0,2,korean
이화여고100주년기념관,"['프라이', '시설', '공연장', '문화', '기념관', '주년', '서대문', '홀', '정동', '이화여고']",0,0,0,1,1,0,1,west
샤오바오우육면 종로본점,"['바오', '맛집', '우육', '본점', '샤', '음식', '종각']",0,2,0,0,0,0,2,chinese
수연산방,"['여행', '곳', '탐험', '유적', '가옥', '성북동', '문화재', '상', '이태준', '역사탐방', '관광지', '수연산방', '찻집', '유적지', '역사', '수도권', '성북', '이야기', '속', '공부']",0,0,0,0,0,1,1,cafe
필동면옥,"['충무로', '평양', '비빔냉면', '서울특별시', '맛집', '중구', '접시', '만두', '맛', '음식', '냉면', '서울', '제육']",5,0,0,0,0,0,5,korean
도넛정수 창신,"['흑임자', '한과', '추천', '디저트', '도넛', '음식', '선물', '한국']",0,0,0,0,0,4,4,cafe
티테라피,"['남녀', '휴식', '여행', '종로구', '공간', '곳', '힐링', '터', '연인', '노소', '방차', '구독', '음식']",0,0,0,0,0,1,1,cafe
진옥화할매원조닭한마리,"['닭', '골목', '칼국수', '마리', '맛집', '종로', '서울', '음식']",1,0,0,0,0,0,1,korean
강서구 고성막국수,"['맛집', '동치미', '막국수', '음식', '편육']",3,0,0,0,0,0,3,korean
원조홍어 본점,"['신길동', '거리', '홍어삼합', '맛집', '홍어회', '홍어', '영등포', '한식', '음식']",4,0,0,0,0,0,4,korean
해방촌 혼고,"['구이', '맛집', '혼밥', '음식', '서울', '화로']",1,0,0,0,0,0,1,korean
카페 할아버지공장,"['서울', '음식', '감성', '문화', '복합', '카페', '공간']",0,0,0,0,0,1,1,cafe
울프강스테이크하우스,"['식사', '스테이크', '샐러드', '맛집', '가족', '강', '포터', '울프', '버거', '클래식', '추천', '하우스', '음식']",0,0,0,3,0,0,3,west
남도분식 익선점,"['남도', '여행', '분식', '종로', '맛집', '서울', '음식']",1,0,0,0,0,0,1,korean
태극당,"['분위기', '복', '베이커리', '빵', '체인점', '옛날', '데이트', '빵집', '맛', '고풍', '음식']",1,0,0,0,0,3,3,cafe
낙원떡집,"['미래', '유산', '곳', '여행지', '음식', '서울', '추천', '떡집']",0,0,0,0,0,1,1,cafe
두가헌 레스토랑,"['수도권', '와인', '코스', '요리', '문화', '레스토랑', '맛집', '이색', '종로', '연인', '맛', '음식', '서울', '삼청동', '가헌', '스테이크', '공간']",0,0,0,2,1,0,2,west
RSG 성수,"['라이딩', '음식', '숍', '편집', '라이더', '카페', '성수', '성지']",0,0,0,0,0,2,2,cafe
스미스가 좋아하는 한옥,"['알리오', '양식', '음식', '수도권', '스미스', '스테이크', '크림', '마르', '맛집', '게리', '옥', '버섯', '안심', '피자', '리오', '리조또', '서울']",1,0,0,7,0,0,7,west
뉘조,"['뉘', '무', '수도권', '연중', '종로', '맛집', '인사동', '서울', '음식', '한식']",1,0,0,0,0,0,1,korean
하나로회관,"['정식', '갑', '하나로', '정성', '종로구', '전골', '가득', '백년', '곱창전골', '한정식', '가게', '맛집', '성비', '버섯', '서울시', '특정', '음식']",4,0,0,0,0,0,4,korean
