,Attraction,topic_type,Topic 0,Topic 1,Topic 2,Topic 3
0,104고지전적비,Topic 1,0.01287737488746643,0.9613843560218811,0.013121295720338821,0.012616967782378197
1,10꼬르소꼬모 청담점,Topic 2,0.019785447046160698,0.01948213018476963,0.782804548740387,0.1779278665781021
2,63아트,Topic 2,0.012327214702963829,0.012565944343805313,0.9635760188102722,0.011530771851539612
3,가락농수산물종합도매시장,Topic 0,0.9697777032852173,0.01025492511689663,0.01001077052205801,0.0
4,가락몰,Topic 2,0.023657966405153275,0.023231200873851776,0.9290028214454651,0.02410794608294964
5,가회민화박물관,Topic 2,0.01637883484363556,0.017071301117539406,0.9506690502166748,0.015880843624472618
6,간송미술관,Topic 1,0.021902278065681458,0.6477637887001038,0.30895593762397766,0.021378014236688614
7,강동그린웨이 가족캠핑장,Topic 2,0.025926906615495682,0.025597581639885902,0.9232151508331299,0.025260334834456444
8,강변스파랜드,Topic 2,0.01110556535422802,0.011206033639609814,0.9666069746017456,0.011081386357545853
9,강서농산물도매시장,Topic 0,0.9027917981147766,0.03249794617295265,0.03206242248415947,0.03264784812927246
10,개봉중앙시장,Topic 1,0.029430082067847252,0.911636471748352,0.028013840317726135,0.03091963566839695
11,갤러리아백화점명품관EAST,Topic 2,0.02862692065536976,0.028363123536109924,0.9120351672172546,0.03097476065158844
12,경복궁,Topic 1,0.0,0.9753149151802063,0.0,0.0
13,경의선숲길,Topic 2,0.014519494026899338,0.014470084570348263,0.9568339586257935,0.014176487922668457
14,경춘선숲길,Topic 2,0.01765376329421997,0.018227146938443184,0.9471691846847534,0.016949867829680443
15,경희궁,Topic 1,0.2703385353088379,0.7129796147346497,0.0,0.0
16,고궁마실,Topic 3,0.037485718727111816,0.03800264373421669,0.03760126233100891,0.8869103789329529
17,고속터미널 꽃도매상가,Topic 3,0.02535710483789444,0.025191446766257286,0.02516535483300686,0.9242861270904541
18,고척근린공원,Topic 2,0.02169876918196678,0.021396487951278687,0.9357821345329285,0.021122649312019348
19,고척근린시장,Topic 3,0.0368499830365181,0.03672388941049576,0.03603082895278931,0.8903953433036804
20,고투몰,Topic 3,0.051264438778162,0.05181068181991577,0.05110805481672287,0.8458167910575867
21,골든블루마리나,Topic 0,0.9216508865356445,0.0254441536962986,0.02776303142309189,0.025141937658190727
22,공릉동도깨비시장,Topic 1,0.029158394783735275,0.9118621349334717,0.028437096625566483,0.030542349442839622
23,관악산 낙성대공원,Topic 0,0.757272481918335,0.2200922966003418,0.011501247063279152,0.011133993975818157
24,관악산 호수공원,Topic 2,0.3533225655555725,0.012355118058621883,0.622252881526947,0.012069439515471458
25,관훈동 한국공예관,Topic 0,0.9640651345252991,0.012128959409892559,0.012092269025743008,0.011713671498000622
26,광나루한강공원,Topic 0,0.722220242023468,0.012355973944067955,0.25333237648010254,0.01209138985723257
27,광나루한강공원 암사생태공원,Topic 2,0.027751535177230835,0.027788514271378517,0.9188987612724304,0.025561215355992317
28,광야 서울,Topic 1,0.06832776963710785,0.7959980964660645,0.06527486443519592,0.07039929181337357
29,광장시장,Topic 0,0.9651429653167725,0.011806773021817207,0.011602800339460373,0.011447466909885406
30,광장시장 한복매장,Topic 2,0.03279866650700569,0.03362254425883293,0.8986937403678894,0.03488500788807869
31,광화문,Topic 1,0.0,0.9769667387008667,0.0,0.0
32,광화문광장,Topic 1,0.01471043098717928,0.9557116627693176,0.015484710223972797,0.014093181118369102
33,교보문고,Topic 1,0.015487601980566978,0.5119852423667908,0.45746245980262756,0.015064725652337074
34,구로공단 노동자생활체험관,Topic 2,0.0,0.010093840770423412,0.9706204533576965,0.0
35,구로시장,Topic 0,0.9294344782829285,0.023592865094542503,0.02290487475693226,0.024067839607596397
36,구로중앙유통단지,Topic 2,0.015157499350607395,0.015027732588350773,0.9539340138435364,0.015880776569247246
37,국립고궁박물관,Topic 1,0.015135597437620163,0.9559484124183655,0.014695756137371063,0.014220251701772213
38,국립민속박물관&국립민속박물관 어린이박물관,Topic 1,0.011486882343888283,0.7334359288215637,0.24420128762722015,0.010875900276005268
39,국립중앙박물관,Topic 1,0.0,0.9716626405715942,0.0,0.0
40,국립중앙박물관 어린이박물관,Topic 2,0.014711097814142704,0.4311576783657074,0.5398596525192261,0.014271623454988003
41,국립한글박물관,Topic 1,0.010995806194841862,0.9676716327667236,0.010763963684439659,0.010568557307124138
42,국립항공박물관,Topic 2,0.017756180837750435,0.4346630573272705,0.5305216312408447,0.017059119418263435
43,궁가는여우,Topic 3,0.044285889714956284,0.04471367970108986,0.044497475028038025,0.8665029406547546
44,그랜드하얏트 서울 아이스링크,Topic 2,0.017156004905700684,0.01719263568520546,0.9488034248352051,0.01684792898595333
45,금강제화 (강남본점),Topic 3,0.12945860624313354,0.12812869250774384,0.12662246823310852,0.6157902479171753
46,금강제화 명동본점,Topic 3,0.042068395763635635,0.042174890637397766,0.04185444489121437,0.8739022612571716
47,금강제화 영등포본점,Topic 3,0.04190216213464737,0.04204735532402992,0.0417662039399147,0.8742843270301819
48,길동복조리시장,Topic 0,0.8884879946708679,0.03682863339781761,0.035994432866573334,0.03868893161416054
49,길음시장,Topic 3,0.03199102357029915,0.03202689066529274,0.031829316169023514,0.9041528105735779
50,낙산공원,Topic 2,0.0,0.3810060918331146,0.5996919870376587,0.0
51,난지천공원,Topic 0,0.9274996519088745,0.02416352741420269,0.024938907474279404,0.023397939279675484
52,난지한강공원,Topic 2,0.0,0.0,0.9713398218154907,0.0
53,남대문 문구상가,Topic 0,0.9596553444862366,0.012986536137759686,0.013567226007580757,0.013790896162390709
54,남산 야외식물원,Topic 2,0.012446748092770576,0.012337013147771358,0.9628528356552124,0.012363411486148834
55,남산골한옥마을,Topic 2,0.010636134073138237,0.1406383365392685,0.8382246494293213,0.010500860400497913
56,남산공원,Topic 2,0.0,0.0,0.9713265895843506,0.0
57,남평화상가,Topic 1,0.021634181961417198,0.9334363341331482,0.021313779056072235,0.023615717887878418
58,네이처리퍼블릭 명동월드점,Topic 3,0.036672890186309814,0.036026403307914734,0.03849153220653534,0.8888092041015625
59,노량진수산물도매시장,Topic 0,0.6071156859397888,0.36915379762649536,0.011858825571835041,0.01187166478484869
60,노룬산골목시장,Topic 0,0.6159725785255432,0.3441791534423828,0.01955675333738327,0.020291516557335854
61,눈스퀘어,Topic 3,0.1294596791267395,0.1281295269727707,0.1266225278377533,0.6157882213592529
62,다락원체육공원,Topic 1,0.019724350422620773,0.9408621788024902,0.0200064554810524,0.019406987354159355
63,다비치안경 (명동점),Topic 0,0.9118872880935669,0.028708811849355698,0.02847297303378582,0.03093099407851696
64,다이나믹 메이즈 (서울 인사동점),Topic 2,0.012458446435630322,0.012742642313241959,0.9627104997634888,0.012088372372090816
65,다이브라이프,Topic 2,0.019262539222836494,0.018223287537693977,0.9434466361999512,0.019067514687776566
66,달맞이봉공원,Topic 0,0.935141384601593,0.021526791155338287,0.021837327629327774,0.021494565531611443
67,대림중앙시장,Topic 0,0.9704737663269043,0.0,0.0,0.0
68,대신시장,Topic 3,0.03667620196938515,0.0365857370197773,0.03586284816265106,0.8908752202987671
69,대학로,Topic 2,0.011454657651484013,0.011420008726418018,0.9663978219032288,0.010727521032094955
70,더벨스파 동대문현대시티아울렛점,Topic 3,0.02899092435836792,0.02940528281033039,0.030006377026438713,0.9115973711013794
71,더현대 서울,Topic 1,0.024858422577381134,0.6590121984481812,0.024385754019021988,0.291743665933609
72,덕수궁,Topic 1,0.0,0.9730864763259888,0.0,0.0
73,덕수궁 돌담길,Topic 2,0.0,0.4171276390552521,0.5642589926719666,0.0
74,도봉산,Topic 2,0.013637256808578968,0.014135190285742283,0.958717405796051,0.013510177843272686
75,도산공원,Topic 2,0.013125804252922535,0.013276642188429832,0.9605891108512878,0.013008407317101955
76,독립문,Topic 1,0.0,0.7396044135093689,0.24074755609035492,0.0
77,돈의문박물관마을,Topic 2,0.0,0.27203649282455444,0.7115383744239807,0.0
78,돌실나이 본사할인점,Topic 2,0.02392279915511608,0.024092379957437515,0.9269058704376221,0.025078920647501945
79,동국대학교 박물관,Topic 1,0.017492391169071198,0.948165774345398,0.017363453283905983,0.01697840355336666
80,동대문역사문화공원,Topic 2,0.42491358518600464,0.0,0.5568507313728333,0.0
81,동대문종합시장,Topic 3,0.02063954807817936,0.23829391598701477,0.02043996937572956,0.7206265330314636
82,동림매듭공방,Topic 1,0.020354431122541428,0.9393200278282166,0.019984262064099312,0.02034125104546547
83,두타몰,Topic 3,0.03823602572083473,0.03749047964811325,0.0377814956009388,0.8864920139312744
84,둘리뮤지엄,Topic 1,0.0129074826836586,0.9611580967903137,0.013239221647381783,0.012695152312517166
85,디타워 (replace 광화문),Topic 3,0.028489528223872185,0.028784308582544327,0.028186483308672905,0.914539635181427
86,때때롯살롱,Topic 3,0.023609045892953873,0.24871057271957397,0.025513174012303352,0.7021672129631042
87,레치키치 스튜디오,Topic 2,0.05213044583797455,0.052666597068309784,0.8442044258117676,0.05099855363368988
88,롯데백화점 본점 에비뉴엘,Topic 2,0.019487552344799042,0.018797477707266808,0.9426734447479248,0.019041547551751137
89,롯데아울렛 서울역점,Topic 1,0.025709129869937897,0.9224489331245422,0.02558334544301033,0.02625858411192894
90,롯데월드 민속박물관,Topic 0,0.9697698354721069,0.010294490493834019,0.010081366635859013,0.0
91,롯데월드 아이스링크(실내),Topic 0,0.9443235993385315,0.01844562217593193,0.019251665100455284,0.017979130148887634
92,롯데월드 아쿠아리움,Topic 1,0.014247983694076538,0.9566918611526489,0.015712548047304153,0.013347563333809376
93,롯데월드 어드벤처,Topic 1,0.4808274805545807,0.5026832222938538,0.0,0.0
94,롯데월드몰,Topic 0,0.9638346433639526,0.012276158668100834,0.012164170853793621,0.011725049465894699
95,롯데월드타워 서울스카이,Topic 1,0.0,0.9760314226150513,0.0,0.0
96,롯데호텔서울 설화수 스파,Topic 1,0.025530818849802017,0.9220989346504211,0.026472462341189384,0.025897732004523277
97,리얼월드 성수,Topic 2,0.02373281680047512,0.02357640489935875,0.9291114807128906,0.023579249158501625
98,마로니에공원,Topic 2,0.01088511198759079,0.010849294252693653,0.9675871133804321,0.010678518563508987
99,마장 축산물시장,Topic 1,0.01630363054573536,0.5379974842071533,0.01567903161048889,0.43001988530158997
100,마천중앙시장,Topic 0,0.6318245530128479,0.03294208273291588,0.03179463371634483,0.3034387528896332
101,마포구하늘공원,Topic 2,0.01042911782860756,0.010502232238650322,0.9687594175338745,0.010309243574738503
102,마포농수산물시장,Topic 3,0.028405163437128067,0.02835184708237648,0.02821964956820011,0.9150233268737793
103,만해한용운심우장,Topic 1,0.020018117502331734,0.9398985505104065,0.020628657191991806,0.019454695284366608
104,망우 역사 문화공원,Topic 2,0.017279276624321938,0.017934778705239296,0.9479894042015076,0.01679653860628605
105,망원시장,Topic 0,0.9682103991508484,0.010699883103370667,0.01056720595806837,0.010522476397454739
106,매헌 시민의 숲,Topic 2,0.015345397405326366,0.015112905763089657,0.9545981287956238,0.014943581074476242
107,메세나폴리스 몰,Topic 2,0.01852986589074135,0.018899058923125267,0.9422289729118347,0.020342130213975906
108,목3동시장,Topic 0,0.8683164715766907,0.04262254759669304,0.04193480312824249,0.04712621495127678
109,목동종합운동장실내아이스링크,Topic 2,0.02571403980255127,0.02565685100853443,0.9235824942588806,0.025046633556485176
110,목인박물관 목석원,Topic 2,0.019740594550967216,0.02115640416741371,0.9396514892578125,0.019451500847935677
111,몽마르뜨공원,Topic 2,0.017122285440564156,0.01698862947523594,0.9489006400108337,0.016988446936011314
112,몽촌토성,Topic 1,0.0100321676582098,0.9701641201972961,0.010053078643977642,0.0
113,무수아취,Topic 0,0.961187481880188,0.012841208837926388,0.012937916442751884,0.013033336959779263
114,문래근린공원,Topic 1,0.021387280896306038,0.9352871179580688,0.0217113196849823,0.021614281460642815
115,물빛광장,Topic 0,0.9350574016571045,0.021729707717895508,0.02208125591278076,0.02113162912428379
116,밀리오레,Topic 3,0.12947598099708557,0.12813375890254974,0.12662328779697418,0.6157670021057129
117,박물관은 살아있다(인사동점),Topic 0,0.6230056285858154,0.35204705595970154,0.012770168483257294,0.012177160009741783
118,반포 서래섬,Topic 2,0.021578911691904068,0.02118852362036705,0.9362092614173889,0.021023286506533623
119,반포대교 달빛무지개분수,Topic 0,0.964462161064148,0.011962083168327808,0.011965326964855194,0.011610415764153004
120,반포한강공원,Topic 0,0.7202202677726746,0.010949535295367241,0.2581677734851837,0.010662395507097244
121,방신재래시장,Topic 3,0.31189268827438354,0.03699169307947159,0.03601435199379921,0.6151012778282166
122,방이시장,Topic 3,0.020383112132549286,0.02085365168750286,0.3507746458053589,0.6079885363578796
123,방학동도깨비시장,Topic 0,0.9685096144676208,0.010562806390225887,0.010554295964539051,0.010373242199420929
124,배봉산,Topic 2,0.0,0.0,0.9735287427902222,0.0
125,배재학당역사박물관,Topic 1,0.020045708864927292,0.9403215050697327,0.020180989056825638,0.01945183239877224
126,백인제가옥,Topic 1,0.016191229224205017,0.5788527727127075,0.38916870951652527,0.01578725129365921
127,보라매공원,Topic 2,0.010283646173775196,0.010374127887189388,0.9692100286483765,0.010132182389497757
128,봉일시장,Topic 1,0.029964812099933624,0.9107980728149414,0.028212204575538635,0.0310248751193285
129,봉천중앙시장,Topic 1,0.02904217131435871,0.9120507836341858,0.028011316433548927,0.030895723029971123
130,봉화산,Topic 2,0.014162234961986542,0.014072950929403305,0.9577445983886719,0.01402025856077671
131,북악산,Topic 2,0.025494448840618134,0.02555691823363304,0.9233483076095581,0.025600384920835495
132,북악팔각정,Topic 1,0.013830781914293766,0.9589112997055054,0.013754945248365402,0.013502956368029118
133,북촌박물관,Topic 1,0.015747949481010437,0.9538163542747498,0.015357076190412045,0.015078640542924404
134,북촌한옥마을,Topic 1,0.010378528386354446,0.9692400693893433,0.010442689061164856,0.0
135,북한산 족두리봉,Topic 2,0.029364274814724922,0.02894691377878189,0.9130610823631287,0.02862779051065445
136,북한산둘레캠핑장,Topic 0,0.9355204105377197,0.020987292751669884,0.022434424608945847,0.02105780877172947
137,불암산,Topic 2,0.014422820881009102,0.0147468326613307,0.9565297961235046,0.01430052425712347
138,브릿지안경,Topic 1,0.02833087369799614,0.9148558378219604,0.0283801406621933,0.0284331776201725
139,비단길 현대시장,Topic 1,0.029486151412129402,0.9118930697441101,0.02799350768327713,0.03062724880874157
140,사당시장,Topic 1,0.037271562963724136,0.6126677393913269,0.03597978502511978,0.3140809237957001
141,사육신공원,Topic 1,0.01012838538736105,0.9703372716903687,0.010120636783540249,0.0
142,삼익패션타운,Topic 3,0.0162563007324934,0.016269104555249214,0.016100971028208733,0.9513736367225647
143,삼청공원,Topic 2,0.011471698060631752,0.011405179277062416,0.9658745527267456,0.01124853827059269
144,서강대박물관,Topic 0,0.8687771558761597,0.04555586725473404,0.043382417410612106,0.0422845222055912
145,서대문독립공원,Topic 2,0.02179105207324028,0.35336849093437195,0.6036613583564758,0.02117912657558918
146,서대문안산,Topic 2,0.0,0.0,0.9725525975227356,0.0
147,서대문자연사박물관,Topic 0,0.943159818649292,0.019306033849716187,0.019284557551145554,0.01824955828487873
148,서대문형무소역사관,Topic 0,0.5295904278755188,0.4556158185005188,0.0,0.0
149,서래마을,Topic 2,0.011115191504359245,0.010851060040295124,0.9674391150474548,0.010594631545245647
150,서리풀공원,Topic 3,0.03265006095170975,0.032442495226860046,0.03372351452708244,0.9011839032173157
151,서서울호수공원,Topic 2,0.013788840733468533,0.013706039637327194,0.9589678645133972,0.013537319377064705
152,서소문성지역사박물관,Topic 1,0.015854623168706894,0.9525706171989441,0.015867168083786964,0.015707574784755707
153,서소문역사공원,Topic 2,0.017301151528954506,0.017820516601204872,0.948035717010498,0.016842659562826157
154,서울 살곶이 다리,Topic 2,0.017607765272259712,0.01834585703909397,0.9472386837005615,0.01680765487253666
155,서울 서초 글램핑 청계산장,Topic 2,0.05088593810796738,0.05126393213868141,0.8477623462677002,0.05008777976036072
156,서울 암사동 유적,Topic 1,0.010875103063881397,0.9675845503807068,0.010935444384813309,0.010604927316308022
157,서울 운현궁,Topic 1,0.015454206615686417,0.9537009596824646,0.015925467014312744,0.014919423498213291
158,서울 중부시장,Topic 0,0.9624553322792053,0.0126035800203681,0.01248354371637106,0.01245750393718481
159,서울 중앙시장,Topic 1,0.024061983451247215,0.9275104403495789,0.023418568074703217,0.02500900998711586
160,서울 평화시장,Topic 0,0.968687117099762,0.010254467837512493,0.01033841259777546,0.010719997808337212
161,서울 효창공원,Topic 1,0.013706092722713947,0.8570551872253418,0.11587131023406982,0.01336747407913208
162,서울공예박물관,Topic 1,0.013482527807354927,0.8214978575706482,0.1514013409614563,0.013618259690701962
163,서울광장,Topic 2,0.010416938923299313,0.010492277331650257,0.9689056277275085,0.010185194201767445
164,서울로 7017,Topic 1,0.13079598546028137,0.8500792980194092,0.0,0.0
165,서울마리나,Topic 2,0.02190098538994789,0.021569199860095978,0.935409426689148,0.021120363846421242
166,서울상상나라,Topic 1,0.021790560334920883,0.9347742199897766,0.022190501913428307,0.021244661882519722
167,서울생활사박물관,Topic 1,0.021801719442009926,0.9351220726966858,0.021746015176177025,0.02133018523454666
168,서울숲,Topic 2,0.01054137758910656,0.28918716311454773,0.6899961829185486,0.010275276377797127
169,서울시립대학교박물관,Topic 1,0.3452386260032654,0.6274493932723999,0.013858103193342686,0.013453863561153412
170,서울식물원,Topic 2,0.012186046689748764,0.012256515212357044,0.9639540910720825,0.011603333987295628
171,서울약령시 한의약박물관,Topic 2,0.015624947845935822,0.015553845092654228,0.7702400088310242,0.19858123362064362
172,서울어린이대공원,Topic 2,0.012340272776782513,0.012168177403509617,0.7497192621231079,0.22577223181724548
173,서울역사박물관,Topic 0,0.9534617066383362,0.01603715680539608,0.015454436652362347,0.01504670362919569
174,서울창포원,Topic 2,0.012279425747692585,0.01224575936794281,0.9634014964103699,0.01207332406193018
175,서울책보고,Topic 2,0.020339572802186012,0.019989239051938057,0.9391229748725891,0.020548218861222267
176,서울청계광장,Topic 2,0.0235227569937706,0.023533599451184273,0.9298292398452759,0.023114370182156563
177,서울함공원,Topic 2,0.010063491761684418,0.0,0.9707717299461365,0.0
178,석촌호수,Topic 0,0.8473430275917053,0.0,0.1369394063949585,0.0
179,선유도공원,Topic 2,0.023450450971722603,0.02318636327981949,0.9304352402687073,0.022927958518266678
180,선정릉,Topic 0,0.5583447813987732,0.4260289967060089,0.0,0.0
181,설화수 도산 플래그십 스토어,Topic 2,0.014350157231092453,0.01430010236799717,0.9571530818939209,0.014196709729731083
182,섬세이 테라리움,Topic 1,0.019885921850800514,0.9406705498695374,0.019962385296821594,0.019481142982840538
183,세빛섬,Topic 2,0.0,0.0,0.9758546948432922,0.0
184,세운상가,Topic 3,0.05035649240016937,0.05026421695947647,0.05064699426293373,0.8487322926521301
185,세인트제임스 삼청점,Topic 1,0.028330743312835693,0.9148560762405396,0.0283800158649683,0.02843319997191429
186,세인트제임스 서울,Topic 1,0.028330733999609947,0.9148524403572083,0.028380341827869415,0.028436487540602684
187,세종대왕동상,Topic 1,0.015316142700612545,0.9540674686431885,0.015689581632614136,0.014926783740520477
188,소공동세란안경,Topic 1,0.028330810368061066,0.9148510694503784,0.02838032878935337,0.028437823057174683
189,송파책박물관,Topic 2,0.01686764694750309,0.27578672766685486,0.691222608089447,0.01612301543354988
190,송화벽화시장,Topic 0,0.9028699398040771,0.03204096108675003,0.03145351633429527,0.03363557532429695
191,수도박물관,Topic 1,0.014694731682538986,0.7129083275794983,0.014904456213116646,0.2574924826622009
192,수락산,Topic 2,0.014418772421777248,0.014641739428043365,0.9566755294799805,0.014263944700360298
193,수성동계곡,Topic 3,0.0515885204076767,0.05166345462203026,0.05368638411164284,0.8430616855621338
194,수유시장,Topic 3,0.02574297785758972,0.025731351226568222,0.025268936529755592,0.9232567548751831
195,숭례문,Topic 1,0.013013848103582859,0.9611256718635559,0.01308056153357029,0.012779921293258667
196,스타필드 코엑스몰,Topic 1,0.013657758943736553,0.9575114846229553,0.014239784330129623,0.014590957202017307
197,스토리지북앤필름,Topic 2,0.011549814604222775,0.011616585776209831,0.9650596380233765,0.011773968115448952
198,스파레이,Topic 2,0.015230778604745865,0.014962157234549522,0.9549240469932556,0.014882978983223438
199,승진완구,Topic 0,0.8716441988945007,0.04236478731036186,0.04245947673916817,0.04353158175945282
200,신라면세점(서울점),Topic 1,0.03693225979804993,0.7026124000549316,0.036341987550258636,0.2241133749485016
201,신문박물관,Topic 1,0.30799537897109985,0.6550463438034058,0.018673844635486603,0.018284402787685394
202,신성종합시장,Topic 3,0.023266471922397614,0.30852463841438293,0.0229464340955019,0.6452624797821045
203,신세계백화점 (본점),Topic 2,0.017362220212817192,0.017189348116517067,0.9472424983978271,0.018205972388386726
204,신영시장,Topic 3,0.015298583544790745,0.015159930102527142,0.015523630194365978,0.9540178775787354
205,신창시장,Topic 3,0.03196914866566658,0.03189760446548462,0.031362537294626236,0.9047706723213196
206,씨랄라 워터파크,Topic 2,0.015018969774246216,0.015072312206029892,0.9551103711128235,0.014798411168158054
207,아름다운 차박물관,Topic 1,0.021692296490073204,0.6176313161849976,0.33942827582359314,0.02124810218811035
208,아모레 성수,Topic 2,0.015927473083138466,0.016061000525951385,0.9521607756614685,0.015850789844989777
209,아시아공원,Topic 2,0.012949292548000813,0.012915744446218014,0.9613476991653442,0.012787320651113987
210,아이파크몰 용산점,Topic 2,0.019797759130597115,0.020006021484732628,0.9391822218894958,0.02101399376988411
211,아차산 어울림정원,Topic 2,0.016911081969738007,0.015833061188459396,0.9512361288070679,0.016019700095057487
212,아쿠아플라넷 63,Topic 2,0.01340105663985014,0.013212384656071663,0.960708498954773,0.012678030878305435
213,아트박스 (영등포점),Topic 0,0.6518252491950989,0.016025789082050323,0.31583112478256226,0.0163178239017725
214,암사선사유적박물관,Topic 1,0.017042793333530426,0.9490960240364075,0.016939574852585793,0.01692160777747631
215,암사종합시장,Topic 0,0.9208186864852905,0.026000548154115677,0.025761518627405167,0.027419280260801315
216,약령시장,Topic 0,0.9640989899635315,0.012241444550454617,0.011835934594273567,0.011823642067611217
217,양재근린공원,Topic 1,0.01779848150908947,0.9464296698570251,0.017968744039535522,0.017803099006414413
218,양재꽃시장,Topic 3,0.024564648047089577,0.02463044598698616,0.09197981655597687,0.8588250875473022
219,양천공원,Topic 2,0.025879090651869774,0.025782136246562004,0.9229639172554016,0.025374801829457283
220,양화한강공원,Topic 0,0.9607923626899719,0.012927238829433918,0.013576383702456951,0.012704082764685154
221,에프마켓남부낚시,Topic 3,0.01975325122475624,0.020902015268802643,0.019746234640479088,0.939598560333252
222,엔터식스 왕십리역점,Topic 0,0.8849527835845947,0.037420473992824554,0.03789088502526283,0.0397358313202858
223,엘크레,Topic 2,0.01484918687492609,0.014326728880405426,0.9561524987220764,0.01467159390449524
224,여의도공원,Topic 2,0.37902170419692993,0.0,0.6047804951667786,0.0
225,여의도샛강생태공원,Topic 2,0.01733866147696972,0.017085788771510124,0.9485051035881042,0.017070453613996506
226,여의도한강공원,Topic 0,0.9698546528816223,0.010012554004788399,0.010326703079044819,0.0
227,연서시장,Topic 3,0.05220209062099457,0.05197015404701233,0.05030999332666397,0.8455177545547485
228,열린송현녹지광장,Topic 2,0.02343571186065674,0.024875512346625328,0.9284721612930298,0.023216625675559044
229,영등포전통시장,Topic 3,0.032325584441423416,0.032728806138038635,0.031569935381412506,0.9033756852149963
230,영등포청과시장,Topic 1,0.029263503849506378,0.9122518301010132,0.028341982513666153,0.030142713338136673
231,영풍문고 스타필드코엑스몰점,Topic 3,0.12942753732204437,0.1281229555606842,0.12662115693092346,0.6158283352851868
232,오금오름공원,Topic 2,0.015494792722165585,0.015067585743963718,0.954529345035553,0.014908213168382645
233,오동근린공원,Topic 2,0.017435353249311447,0.017200129106640816,0.9483919143676758,0.01697257161140442
234,오르시아,Topic 3,0.05052486062049866,0.05040127411484718,0.050706107169389725,0.8483677506446838
235,오목공원,Topic 2,0.015343367122113705,0.015185683034360409,0.9545624852180481,0.014908446930348873
236,올가홀푸드 방이점,Topic 3,0.04215012863278389,0.04184621572494507,0.0419238843023777,0.8740797638893127
237,올림픽공원,Topic 0,0.49789565801620483,0.48513293266296387,0.0,0.0
238,와룡공원,Topic 0,0.6156570911407471,0.018533360213041306,0.34734320640563965,0.018466345965862274
239,용마랜드,Topic 1,0.013007293455302715,0.9610866904258728,0.013156091794371605,0.01274989265948534
240,용마산,Topic 2,0.3314649164676666,0.018403680995106697,0.631812334060669,0.018319034948945045
241,용마폭포공원,Topic 2,0.013549044728279114,0.01341369841247797,0.9597412347793579,0.013296053744852543
242,용산가족공원,Topic 2,0.011360453441739082,0.011476049199700356,0.9656278491020203,0.011535645462572575
243,용산공원 반환부지,Topic 2,0.24000322818756104,0.01131854671984911,0.7370185256004333,0.011659674346446991
244,용산역광장,Topic 2,0.05120773985981941,0.051816027611494064,0.8458150625228882,0.051161158829927444
245,용산전자랜드,Topic 3,0.03168193995952606,0.3607512414455414,0.03205515816807747,0.5755116939544678
246,용양봉저정 공원,Topic 2,0.01977166160941124,0.01984148658812046,0.9408512115478516,0.01953563280403614
247,우리유황온천,Topic 2,0.025573762133717537,0.02545921690762043,0.923693835735321,0.025273224338889122
248,우림시장,Topic 1,0.032756999135017395,0.900684118270874,0.03152487426996231,0.03503399342298508
249,우이시장,Topic 2,0.03241066634654999,0.032235901802778244,0.5612247586250305,0.37412869930267334
250,우표박물관,Topic 0,0.5307992696762085,0.011673960834741592,0.4464700520038605,0.01105667743831873
251,월드컵공원,Topic 2,0.014763016253709793,0.014974945224821568,0.9559539556503296,0.014308121055364609
252,은평역사한옥박물관,Topic 1,0.018412789329886436,0.9449206590652466,0.0186294112354517,0.018037166446447372
253,은평한옥마을,Topic 2,0.03690586984157562,0.03853465989232063,0.8879222869873047,0.036637190729379654
254,응봉산(서울),Topic 2,0.06411510705947876,0.06369606405496597,0.8083366751670837,0.06385213881731033
