video_title,video_view_count,author,comment_date,comment,reply_author,reply_date,reply_comment
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@Anna-lo1sm,2024-04-25T09:14:50Z,"네이버, 어떻게 회사를 뺐기려고 하나요? 정신차려요.",,,
,,@KelsiSleepergz,2024-04-25T09:34:03Z,,@KelsiSleepergz,2024-04-25T09:34:03Z,"밝히는 지망생들 활동하는거<br>⏪나만 몰랐냐😡 <br>궁금하면 들어가서 확인해여<br>특이취향들 널렸어"
,,@user-vi2eh5kb7e,2024-04-25T12:29:59Z,,@user-vi2eh5kb7e,2024-04-25T12:29:59Z,어차피 나라 망할건데 뭐 어때 줄건 줘
,,@babcho7793,2024-04-25T12:45:58Z,,@babcho7793,2024-04-25T12:45:58Z,석열이도 일본편 드는데 네이버가 무슨 힘이 잇냐 ㅋㅋㅋ
,,@oglego1019,2024-04-25T13:08:50Z,,@oglego1019,2024-04-25T13:08:50Z,​ㄹㅇ 중국편 아닌게 어디냐
,,@leej5564,2024-04-25T13:08:52Z,,@leej5564,2024-04-25T13:08:52Z,​@@user-lo6mx6ps6y 비싸게 불러도 안 팔죠. 말 그대로 지속성이 어마어마한데 그로인한 연계 수익 파이프라인도 뛰어나구요.
,,@user-kg8zy1us7o,2024-04-25T13:13:35Z,,@user-kg8zy1us7o,2024-04-25T13:13:35Z,​@@oglego1019 밥굶어 죽어봐야 지옥에서 제정신 차리짘ㅋㅋ
,,@user-dz5iv4qq2r,2024-04-25T13:31:51Z,,@user-dz5iv4qq2r,2024-04-25T13:31:51Z,​​@@babcho7793뭘 어떻게 일본편듬? 민주당처럼 선거할때 중국인출신 국회의원이 중국어로 유세한거마냥 일본어로 유세함? 쎄쎄?나 외쳐 니는 중국가서 걍 ㅋㅋ
,,@user-zi6s8qi1oa,2024-04-25T13:56:05Z,,@user-zi6s8qi1oa,2024-04-25T13:56:05Z,​@@user-lo6mx6ps6yㅇㅈ 삼성도 현대도 다 팔아버리자 아니 그냥 갓본에 나라를 팔자
,,@user-oq1rr1mj5o,2024-04-25T17:14:04Z,,@user-oq1rr1mj5o,2024-04-25T17:14:04Z,어짜피 국내에서 안 쓰잖아요
