video_title,video_view_count,author,comment_date,comment,reply_author,reply_date,reply_comment
'한국 피땀' 쪽쪽 빨더니…일본 정부가 라인 삼키려는 진짜 이유 / SBS / 모아보는 뉴스,62961,@kortiger8989,2024-05-11T01:25:49Z,독도가 지들 땅이라고 초딩들 교과서까지 만든 일본인데 더 이상 놀랍지도 않다.,,,
,,@leeseungmin06,2024-05-11T02:05:04Z,,@leeseungmin06,2024-05-11T02:05:04Z,"우리우주 라니아케아초은하단 처녀자리초은하단 국부은하군 우리은하 태양계 지구 북반구 아시아 대륙 동안, 한반도에 위치한 대한민국 영남지방 경상북도 울릉군 울릉읍 독도리 독도"
,,@uk2ww,2024-05-11T02:10:28Z,,@uk2ww,2024-05-11T02:10:28Z,분쟁지역을 자기네들 유리하게 맞춰서 하는건 우리나라가쪽이 틀렸다해도 그렇게할짓이긴한데 애초 일본제국 반란군이 정부인 우리나라에선 일본이랑 친해지긴 어렵긴하지
,,@Kim-ow4jg,2024-05-11T02:29:58Z,,@Kim-ow4jg,2024-05-11T02:29:58Z,이제곧 독도도 넘길거임 국짐당이
,,@byebyebye514,2024-05-11T02:47:57Z,,@byebyebye514,2024-05-11T02:47:57Z,중국은 대만이 지땅이라는데? <br>근데 왜 친중하는 이유<br>586 운동권 사이비종교 단체라서?
,,@user-er6bl6wn4x,2024-05-11T03:02:01Z,,@user-er6bl6wn4x,2024-05-11T03:02:01Z,너실제로 일본인 만난적있어? 데이터 유출과 신상이 대부분 중국 북한으로 퍼가지 일본으로갈까?
,,@SixDuck,2024-05-11T03:06:24Z,,@SixDuck,2024-05-11T03:06:24Z,독도는 지금 한국땅이라고하기에도 일본땅이라고하기에도 좀 애매함<br>우리나라는 과거부터 우리땅이였던건데<br>언제냐 전쟁이후 미국이 이거 누구꺼지? 일본껀가? 하고 서류상 일본땅으로 해버렸었음<br>그래서 지금 서류상으로는 일본땅을 한국이 점령해둔 상태임
,,@freeturtle8306,2024-05-11T03:11:33Z,,@freeturtle8306,2024-05-11T03:11:33Z,그 더이상 놀랍지도 않은 것들이니 받아들이는 대한민국 인간들이 더 문제 아닌가?
,,@chocookieland,2024-05-11T03:30:43Z,,@chocookieland,2024-05-11T03:30:43Z,@@SixDuck 미국도 일본도 처음에는 한국땅이라고 했어요
,,@SixDuck,2024-05-11T03:33:54Z,,@SixDuck,2024-05-11T03:33:54Z,@@chocookieland 중요한건 기록상으로 일본땅으로 마무리가됐었던거임.. 그래서 일본 교육상으로는 독도가 자기네땅이라고 하는거지  그거 끌고 진짜 UN까지 끌고가면 그땐 우리가 짐 그래서 우린 일본이 막 별짓다해도 끝까지 버티고있는거임 그냥
,,@user-kq5if7dz4u,2024-05-11T03:33:56Z,,@user-kq5if7dz4u,2024-05-11T03:33:56Z,@@Kim-ow4jg 더불어공산당이 우리를 북에 안넘긴게 다행아님?ㅋㅋㅋㅋㅋㅋ
,,@chocookieland,2024-05-11T03:36:25Z,,@chocookieland,2024-05-11T03:36:25Z,@@SixDuck 뭔 기록?
,,@chocookieland,2024-05-11T03:38:22Z,,@chocookieland,2024-05-11T03:38:22Z,"@@SixDuck 기록에 일본땅이라고 확실하게 되어 있었다면<br>다까끼가 일본과 독도밀약 맺으면서<br>&#39;독도는 앞으로 한일 모두 자국의 영토라고 주장하고,<br>이에 반론하는 것에 이의를 제기하지 않는다&#39;<br>라는 허무맹랑한 내용을 넣지 않았겠지<br>그냥 기록에 따라 국제법에 따라 독도를 일본에 넘겼겠지"
,,@chocookieland,2024-05-11T03:43:45Z,,@chocookieland,2024-05-11T03:43:45Z,"@@SixDuck 2007년 3월 19일 중앙일보 기사<br><b>****독도밀약은***</b><br>&quot;앞으로 해결해야 한다는 것으로써 일단 해결한 것으로 간주한다.&quot;<br>&quot;따라서 한일기본조약에서는 언급하지 않는다.&quot;<br>위 2개 문장을 핵심으로<br>(1) 독도는 앞으로 한일 양국 모두 자국의 영토라고 주장하는 것을 인정하고,<br>동시에 이에 반론하는 것에 이의를 제기하지 않는다<br>(2) 장래에 어업구역을 설정하는 경우,<br>양국이 독도를 자국 영토로 하는 선을 확정하고,<br>두 선이 중복되는 부분은 공동수역으로 한다.<br>(3) 현재 한국이 점거한 현상을 유지한다.<br>그러나 경비원을 증강하거나 새로운 시설의 건축이나 증축은 하지 않는다.<br>(4) 양국은 이 합의를 계속 지켜나간다<br>이 4개 부속조항을 만듬"
