언어명,시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,사용자방문건수
영어권,종로구,서울특별시,Bukchon Hanok Village (遺?珥??λ?),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=561382,인문(문화/예술/역사),역사관광지,민속마을,71140
영어권,종로구,서울특별시,Gyeongbokgung Palace (寃쎈났沅?),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264337,인문(문화/예술/역사),역사관광지,고궁,64580
영어권,강남구,서울특별시,Starfield COEX Mall (스타필드 코엑스몰),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1984968,쇼핑,쇼핑,전문매장/상가,47226
영어권,종로구,서울특별시,Gwangjang Market (광장시장),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=273761,쇼핑,쇼핑,상설시장,40811
영어권,중구,서울특별시,Namdaemun Market (남대문시장),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=273760,쇼핑,쇼핑,상설시장,36869
영어권,서초구,서울특별시,Banpo Bridge Rainbow Fountain (諛?щ??援? щ臾댁媛?遺??),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1011983,인문(문화/예술/역사),건축/조형물,분수,35771
영어권,중구,서울특별시,Dongdaemun Design Plaza (??臾몃???명??쇱?? (DDP)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=2475097,인문(문화/예술/역사),산업관광지,기타,35004
영어권,종로구,서울특별시,Insa-dong (몄?щ??),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264354,인문(문화/예술/역사),체험관광지,이색체험,31710
영어권,용산구,서울특별시,Namsan Seoul Tower (⑥?곗??명???),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264550,인문(문화/예술/역사),건축/조형물,유명건물,27078
영어권,중구,서울특별시,Cheonggyecheon Stream (청계천),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=897540,인문(문화/예술/역사),휴양관광지,공원,19644
영어권,서초구,서울특별시,Goto Mall - Gangnam Terminal Underground Shopping Center (怨щぐ (媛?⑦?곕? 吏????媛?)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1356028,쇼핑,쇼핑,전문매장/상가,18516
영어권,종로구,서울특별시,Changdeokgung Palace Complex [UNESCO World Heritage] (창덕궁과 후원 [유네스코 세계문화유산]),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264348,인문(문화/예술/역사),역사관광지,고궁,16842
