언어명,시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,사용자방문건수
일본어,종로구,서울특별시,景福宮（경복궁）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281736,인문(문화/예술/역사),역사관광지,고궁,36755
일본어,종로구,서울특별시,??곤泥???竊?,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281173,인문(문화/예술/역사),건축/조형물,유명건물,19365
일본어,종로구,서울특별시,???掠??竊?遺?珥??λ?竊?,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=655800,인문(문화/예술/역사),역사관광지,민속마을,17225
일본어,용산구,서울특별시,Leeum獰?烏?繞⑨由ъ?? 誘몄?愿?竊?,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=282388,인문(문화/예술/역사),문화시설,미술관/화랑,12618
일본어,서초구,서울특별시,ㅶ덱鸚㎪쇈?녈?⒲?ㅳ??삠?с?ㅳ?녈??쇔?닸객竊?諛?щ??援? щ臾댁媛?遺??竊?,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=987685,인문(문화/예술/역사),건축/조형물,분수,12131
일본어,종로구,서울특별시,??市場（광장시장）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=292073,쇼핑,쇼핑,상설시장,11266
일본어,중구,서울특별시,東大門デザインプラザ（DDP）（동대문디자인플라자（DDP））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2475109,인문(문화/예술/역사),산업관광지,기타,10572
일본어,영등포구,서울특별시,汝矣島漢江公園（여의도한강공원）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2481648,인문(문화/예술/역사),휴양관광지,공원,9945
일본어,중구,서울특별시,南大門市場（남대문시장）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=292072,쇼핑,쇼핑,상설시장,8134
일본어,강남구,서울특별시,?㎯?ャ???녑?녔?면ㄸ竊?蹂?留?밸???愿?竊?,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2599033,인문(문화/예술/역사),문화시설,도서관,7083
일본어,중구,서울특별시,HiKR GROUND（하이커 그라운드）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2841267,인문(문화/예술/역사),문화시설,컨벤션센터,6473
일본어,종로구,서울특별시,仁寺洞（인사동）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281749,인문(문화/예술/역사),체험관광지,이색체험,5590
일본어,강남구,서울특별시,?辱?雅???ら???竊??援ъ? 濡?곗?嫄곕━竊?,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281062,인문(문화/예술/역사),체험관광지,이색체험,4610
일본어,용산구,서울특별시,?掠긱?썬?╉?ャ?욍??쇽⑥?곗??명???竊?,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=282140,인문(문화/예술/역사),건축/조형물,유명건물,4470
일본어,종로구,서울특별시,?孃녑ⓨ? [╉??밤?념?븀?ｏ??븀?ｏ]竊?李쎈??沅?怨?? [ㅼ?ㅼ 멸臾명??竊?,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281248,인문(문화/예술/역사),역사관광지,고궁,4382
일본어,강남구,서울특별시,新沙洞カロスキル（신사동 가로수길）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1043274,인문(문화/예술/역사),체험관광지,이색체험,4200
일본어,중구,서울특별시,?域?竊?紐??竊?,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281242,인문(문화/예술/역사),체험관광지,이색체험,3897
일본어,송파구,서울특별시,????쇈?ャ??욍??썬?╉?ャ?밤?ャ?ㅿ濡?곗????? ?몄?ㅼ뭅댐,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2492988,인문(문화/예술/역사),건축/조형물,유명건물,3825
일본어,종로구,서울특별시,ソウル東大門タッカンマリ通り（서울 동대문 닭한마리 골목）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2590260,인문(문화/예술/역사),체험관광지,이색거리,3819
일본어,중구,서울특별시,孃녑若??沅?竊?,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281238,인문(문화/예술/역사),역사관광지,고궁,3750
일본어,종로구,서울특별시,光化門（광화문）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281729,인문(문화/예술/역사),역사관광지,문,3654
일본어,용산구,서울특별시,梨泰院ショッピング通り（이태원 쇼핑거리）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=292048,인문(문화/예술/역사),체험관광지,이색체험,3470
일본어,중구,서울특별시,???얕꺼佯?竊?у竊?濡?곕갚??竊?蹂몄?竊?,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=292070,쇼핑,쇼핑,백화점,3447
일본어,마포구,서울특별시,弘大（홍대）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=806420,인문(문화/예술/역사),체험관광지,이색체험,3379
일본어,중구,서울특별시,明洞（명동）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281242,인문(문화/예술/역사),산업관광지,기타,3367
일본어,용산구,서울특별시,???㏂?╉??с??? 썬?╉?ラ佯?[?썼┳??蘊よ鼇(濡?곗?쇳?? 濡?곗??몃? ?몄??援愿??吏?몄/Korea Quality]),https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1798501,쇼핑,쇼핑,전문매장/상가,3238
일본어,중구,서울특별시,明洞餃子（명동교자）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=349139,음식,음식점,한식,3171
일본어,종로구,서울특별시,ιу??竊??猷↔났?竊?,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1058072,인문(문화/예술/역사),휴양관광지,공원,3021
일본어,서초구,서울특별시,ㅶ덱轢€у??竊?諛?ы??媛?怨듭??竊?,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=987709,인문(문화/예술/역사),휴양관광지,공원,3003
일본어,서초구,서울특별시,セビッソム（세빛섬（some sevit））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=987681,인문(문화/예술/역사),휴양관광지,테마공원,2882
일본어,강남구,서울특별시,スタ?フィ?ルドcoex MALL（스타필드 코엑스몰）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1984984,쇼핑,쇼핑,전문매장/상가,2834
