언어명,시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,사용자방문건수
중간체,종로구,서울특별시,景福? 경복궁,https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331238,인문(문화/예술/역사),역사관광지,고궁,5678
중간체,종로구,서울특별시,??泥???),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=736054,인문(문화/예술/역사),건축/조형물,유명건물,5004
중간체,종로구,서울특별시,??⒴?(遺?珥??λ?),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=598074,인문(문화/예술/역사),역사관광지,민속마을,4772
중간체,용산구,서울특별시,?掠깁弱?櫻?(⑥?곗??명???),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331503,인문(문화/예술/역사),건축/조형물,유명건물,2219
중간체,영등포구,서울특별시,汝矣??江公?여의도한강공원,https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=1069824,인문(문화/예술/역사),휴양관광지,공원,976
중간체,종로구,서울특별시,?孃룟???[??썸??燁??瀯?瀯?訝?????雅李쎈??沅?怨?? [ㅼ?ㅼ 멸臾명??,https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331306,인문(문화/예술/역사),역사관광지,고궁,904
중간체,종로구,서울특별시,仁寺洞(인사동),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331234,인문(문화/예술/역사),체험관광지,이색체험,851
중간체,종로구,서울특별시,?玉???元祖一只?(진옥화할매원조닭한마리),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=1362546,음식,음식점,한식,793
중간체,성동구,서울특별시,腰?弱??(?몄?,https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=805281,자연,자연관광지,자연생태관광지,709
중간체,중구,서울특별시,HiKR Ground(好客空?) 하이커 그라운드,https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=2843502,인문(문화/예술/역사),문화시설,컨벤션센터,704
중간체,용산구,서울특별시,三星美??Leeum(삼성미술관 리움),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331716,인문(문화/예술/역사),문화시설,미술관/화랑,700
중간체,중구,서울특별시,孃룟若??沅?),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331324,인문(문화/예술/역사),역사관광지,고궁,678
중간체,송파구,서울특별시,?天世界(롯데월드),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331104,인문(문화/예술/역사),휴양관광지,테마공원,666
중간체,강남구,서울특별시,?技院(世界跆拳道本部)국기원(세계태권도본부),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=688764,인문(문화/예술/역사),문화시설,문화전수시설,663
중간체,송파구,서울특별시,?天世界塔SEOUL SKY롯데월드타워 서울스카이,https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=2494031,인문(문화/예술/역사),건축/조형물,유명건물,628
중간체,강남구,서울특별시,也?⒴(腰?弱?)遊???,https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331490,인문(문화/예술/역사),역사관광지,사찰,627
중간체,중구,서울특별시,?掠김갬⒴?(⑥?곌낏?λ?),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331105,인문(문화/예술/역사),역사관광지,민속마을,560
중간체,강남구,서울특별시,新沙洞林?路(신사동 가로수길),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=1301534,인문(문화/예술/역사),체험관광지,이색체험,529
중간체,종로구,서울특별시,?藏市?광장시장,https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=1569368,쇼핑,쇼핑,상설시장,483
중간체,용산구,서울특별시,?雅?瀛ゅ영腰?(??湲곕??愿?),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331599,인문(문화/예술/역사),문화시설,기념관,459
중간체,용산구,서울특별시,?立中央博物?(국립중앙박물관),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331635,인문(문화/예술/역사),문화시설,박물관,458
중간체,중구,서울특별시,CAPO擁녕??ⓨ??佯?(CAPO Football Store)[⒴?썸??歷멨??兀②瑥?/Korea Quality](移댄??蹂ㅽ??援愿? ?吏?몄/Korea Quality]),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=2668536,쇼핑,쇼핑,전문매장/상가,455
중간체,관악구,서울특별시,腰?弱?鸚㎩也?塋?(?몃???援? 洹?κ),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=765928,인문(문화/예술/역사),문화시설,전시관,413
중간체,종로구,서울특별시,世宗大王?像(세종대왕 동상),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=2470512,인문(문화/예술/역사),건축/조형물,동상,399
중간체,마포구,서울특별시,望?市?(망원시장),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=2537537,쇼핑,쇼핑,상설시장,397
중간체,중구,서울특별시,?溪川(청계천),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=861058,인문(문화/예술/역사),휴양관광지,공원,362
중간체,강남구,서울특별시,???合?易中心(COEX)한국종합무역센터(코엑스),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=676657,인문(문화/예술/역사),문화시설,컨벤션센터,337
중간체,중구,서울특별시,?掠긷?у?腰?弱?) ⑥?곌났?(?,https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331137,인문(문화/예술/역사),휴양관광지,공원,327
중간체,종로구,서울특별시,?立?代美??(首??)국립현대미술관(서울관),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=1967298,인문(문화/예술/역사),문화시설,미술관/화랑,327
중간체,중구,서울특별시,咸草?蟹（함초간장게장）,https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=2665325,음식,음식점,한식,319
중간체,종로구,서울특별시,光化?광화문,https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331215,인문(문화/예술/역사),역사관광지,문,313
중간체,광진구,서울특별시,首??童大公?(서울어린이대공원),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=1057063,인문(문화/예술/역사),휴양관광지,테마공원,312
중간체,서초구,서울특별시,?溪山(청계산),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=1417752,자연,자연관광지,산,306
중간체,강남구,서울특별시,狎?亭?德?街압구정 로데오거리,https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331093,인문(문화/예술/역사),체험관광지,이색체험,302
중간체,용산구,서울특별시,梨泰院?光特?(이태원 관광특구),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331134,인문(문화/예술/역사),휴양관광지,관광단지,302
중간체,종로구,서울특별시,三?洞路(삼청동길),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331401,인문(문화/예술/역사),체험관광지,이색거리,289
중간체,강남구,서울특별시,COEX水族?(코엑스 아쿠아리움),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=734883,인문(문화/예술/역사),휴양관광지,테마공원,287
중간체,종로구,서울특별시,仁寺洞(인사동),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331234,인문(문화/예술/역사),산업관광지,기타,275
중간체,종로구,서울특별시,仁王山(인왕산),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=1257963,자연,자연관광지,산,273
중간체,중구,서울특별시,?大??史文化公?(동대문역사문화공원),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=2385006,인문(문화/예술/역사),휴양관광지,공원,263
중간체,송파구,서울특별시,也ζ??밧??у?щ┝쎄났?),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=663107,인문(문화/예술/역사),휴양관광지,공원,261
중간체,중구,서울특별시,?忠?育?(장충체육관),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=992166,레포츠,육상 레포츠,경기장,250
중간체,종로구,서울특별시,?佯?若李쎄꼍沅?),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331307,인문(문화/예술/역사),역사관광지,고궁,238
