언어명,시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,사용자방문건수
중번체,종로구,서울특별시,景福宮 (경복궁),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332517,인문(문화/예술/역사),역사관광지,고궁,28144
중번체,종로구,서울특별시,???掠??(遺?珥??λ?),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=565571,인문(문화/예술/역사),역사관광지,민속마을,27184
중번체,서초구,서울특별시,ㅶ덱鸚㎪??壤⑵?밧?닸(諛?щ??援? щ臾댁媛?遺??),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=841520,인문(문화/예술/역사),건축/조형물,분수,16460
중번체,종로구,서울특별시,??泥???),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332403,인문(문화/예술/역사),건축/조형물,유명건물,11603
중번체,영등포구,서울특별시,汝矣島漢江公園 (여의도한강공원),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1104589,인문(문화/예술/역사),휴양관광지,공원,11281
중번체,종로구,서울특별시,?孃룟?孃?? [UNESCO訝????븀?(李쎈??沅?怨?? [ㅼ?ㅼ 멸臾명??),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332561,인문(문화/예술/역사),역사관광지,고궁,11187
중번체,용산구,서울특별시,?掠깁얍(⑥?곗??명???),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332787,인문(문화/예술/역사),건축/조형물,유명건물,10800
중번체,중구,서울특별시,東大門設計廣場(DDP) (동대문디자인플라자(DDP)),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=2475123,인문(문화/예술/역사),산업관광지,기타,10161
중번체,종로구,서울특별시,陳玉華??元祖一隻?(진옥화할매원조닭한마리),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1356266,음식,음식점,한식,9399
중번체,종로구,서울특별시,廣藏市場(광장시장),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=333536,쇼핑,쇼핑,상설시장,8796
중번체,강남구,서울특별시,也?⒴(腰?(遊???),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332801,인문(문화/예술/역사),역사관광지,사찰,7944
중번체,서초구,서울특별시,Goto Mall(遙??藥닷＋若??塋?겻烏?)(怨щぐ(媛?⑦?곕? 吏????媛?)),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1265343,쇼핑,쇼핑,전문매장/상가,7442
중번체,송파구,서울특별시,樂天世界水族館 (롯데월드 아쿠아리움),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=2479646,인문(문화/예술/역사),휴양관광지,테마공원,7250
중번체,중구,서울특별시,新世界百貨公司(總店)(신세계백화점 (본점)),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1840886,쇼핑,쇼핑,백화점,7140
중번체,중구,서울특별시,好客空間(HiKR GROUND) (하이커 그라운드),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=2844276,인문(문화/예술/역사),문화시설,컨벤션센터,7069
중번체,성동구,서울특별시,腰?얏??(?몄?,https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=937591,자연,자연관광지,자연생태관광지,7061
중번체,송파구,서울특별시,樂天世界塔&樂天世界購物城 (롯데월드타워&롯데월드몰),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=2003916,인문(문화/예술/역사),건축/조형물,유명건물,7050
중번체,중구,서울특별시,孃룟＝若??沅?),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332573,인문(문화/예술/역사),역사관광지,고궁,6714
중번체,강남구,서울특별시,Starfield?면ㄸ(蹂?留?밸???愿?),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=2508998,인문(문화/예술/역사),문화시설,도서관,6581
중번체,용산구,서울특별시,三星美術館Leeum (삼성미술관 리움),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=333095,인문(문화/예술/역사),문화시설,미술관/화랑,6399
중번체,송파구,서울특별시,樂天世界塔SEOUL SKY (롯데월드타워 서울스카이),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=2493090,인문(문화/예술/역사),건축/조형물,유명건물,6335
중번체,중구,서울특별시,樂天百貨公司(總店)(롯데백화점(본점)),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=333552,쇼핑,쇼핑,백화점,6045
중번체,종로구,서울특별시,土俗村參?湯(토속촌삼계탕),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=576924,음식,음식점,한식,5881
중번체,강남구,서울특별시,新沙洞林蔭道 (신사동 가로수길),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1325375,인문(문화/예술/역사),체험관광지,이색체험,5872
중번체,광진구,서울특별시,首爾兒童大公園 (서울어린이대공원),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1119815,인문(문화/예술/역사),휴양관광지,테마공원,5867
중번체,중구,서울특별시,?掠김갬?掠??(⑥?곌낏?λ?),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=900843,인문(문화/예술/역사),역사관광지,민속마을,5674
중번체,송파구,서울특별시,樂天世界 (롯데월드),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332405,인문(문화/예술/역사),휴양관광지,테마공원,5432
중번체,중구,서울특별시,南山纜車 (남산 케이블카),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=866221,인문(문화/예술/역사),산업관광지,기타,5215
중번체,마포구,서울특별시,弘大(홍대),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=786243,인문(문화/예술/역사),체험관광지,이색체험,5101
중번체,강남구,서울특별시,COEX水族館 (코엑스 아쿠아리움),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=735942,인문(문화/예술/역사),휴양관광지,테마공원,4889
중번체,종로구,서울특별시,仁寺洞 (인사동),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332540,인문(문화/예술/역사),체험관광지,이색체험,4716
중번체,성북구,서울특별시,?轢℡굇?塋?у??(腰?(遺??곌뎅由쎄났?(?),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=2440097,자연,자연관광지,국립공원,4684
중번체,종로구,서울특별시,?塋?얌빰獰?烏?繞③얗ㄸ(援┰??誘몄?愿? ?,https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1948170,인문(문화/예술/역사),문화시설,미술관/화랑,4669
중번체,중구,서울특별시,?域???(?紐??깅?,https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332398,인문(문화/예술/역사),역사관광지,종교성지,4576
중번체,강남구,서울특별시,七樂娛樂場(江南COEX店) (세븐럭카지노(강남코엑스점)),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=556428,레포츠,육상 레포츠,카지노,4413
중번체,영등포구,서울특별시,ELAND CRUISE(漢江遊覽船) (이랜드크루즈 (한강유람선)),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332971,인문(문화/예술/역사),휴양관광지,유람선/잠수함관광,4259
중번체,송파구,서울특별시,也㎪??밧??у??(щ┝쎄났?),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=645225,인문(문화/예술/역사),휴양관광지,공원,4161
중번체,강남구,서울특별시,?冗?雅孃룟ⅶ烏?(?援ъ? 濡?곗?ㅺ굅由,https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332394,인문(문화/예술/역사),체험관광지,이색체험,4039
중번체,중구,서울특별시,?溪川(청계천),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=861522,인문(문화/예술/역사),휴양관광지,공원,3953
중번체,종로구,서울특별시,東大門文具玩具街 (동대문 문구완구거리),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1221352,인문(문화/예술/역사),체험관광지,이색거리,3917
중번체,중구,서울특별시,東大門歷史文化公園 (동대문역사문화공원),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1964046,인문(문화/예술/역사),휴양관광지,공원,3547
중번체,종로구,서울특별시,三?洞街 (삼청동길),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332701,인문(문화/예술/역사),체험관광지,이색거리,3482
중번체,마포구,서울특별시,KT&G想像庭院(弘大) (KT&G 상상마당(홍대)),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=748974,인문(문화/예술/역사),문화시설,공연장,3318
중번체,강남구,서울특별시,Starfield COEX MALL(스타필드 코엑스몰),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1985021,쇼핑,쇼핑,전문매장/상가,3216
중번체,마포구,서울특별시,弘大 (홍대),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=786243,인문(문화/예술/역사),산업관광지,기타,3195
중번체,용산구,서울특별시,梨泰院觀光特區 (이태원 관광특구),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332481,인문(문화/예술/역사),휴양관광지,관광단지,3131
중번체,종로구,서울특별시,??ユ?遺?珥? 8寃,https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=2541927,인문(문화/예술/역사),역사관광지,민속마을,3083
중번체,중구,서울특별시,?掠긺邕?(⑥?耳?대移,https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=866221,인문(문화/예술/역사),체험관광지,이색체험,3079
중번체,중구,서울특별시,?掠긷?у??(腰?(⑥?곌났?(?),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332436,인문(문화/예술/역사),휴양관광지,공원,2802
중번체,중구,서울특별시,明洞 (명동),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332482,인문(문화/예술/역사),산업관광지,기타,2798
중번체,종로구,서울특별시,???兩ｅ愿??臾멸,https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=841401,인문(문화/예술/역사),휴양관광지,공원,2665
중번체,종로구,서울특별시,光化門 (광화문),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332511,인문(문화/예술/역사),역사관광지,문,2646
중번체,중구,서울특별시,樂天免稅店 (總店)(롯데면세점 (본점)),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=333561,쇼핑,쇼핑,면세점,2633
