순위,관광지명,주소,분류
1,김포국제공항국내선,서울 강서구 하늘길 111-0,교통시설
2,가락동농수산물도매시장,서울 송파구 양재대로 932-0,시장
3,SRT수서역,서울 강남구 밤고개로 99-0,교통시설
4,타임스퀘어,서울 영등포구 영중로 15-0,쇼핑몰
5,신세계백화점강남점,서울 서초구 신반포로 176-0,백화점
6,코엑스,서울 강남구 영동대로 513-0,전시시설
7,롯데몰김포공항점,서울 강서구 하늘길 38-0,쇼핑몰
8,현대백화점목동점,서울 양천구 목동동로 257-0,백화점
9,더현대서울,서울 영등포구 여의대로 108-0,백화점
10,현대백화점무역센터점,서울 강남구 테헤란로 517-0,백화점
11,서울고속버스터미널경부영동선,서울 서초구 신반포로 194-0,교통시설
12,서울역,서울 용산구 한강대로 405-0,교통시설
13,가든파이브라이프,서울 송파구 충민로 66-0,쇼핑몰
14,현대백화점압구정본점,서울 강남구 압구정로 165-0,백화점
15,롯데몰은평점,서울 은평구 통일로 1050-0,쇼핑몰
16,롯데백화점노원점,서울 노원구 동일로 1414-0,백화점
17,롯데백화점청량리점,서울 동대문구 왕산로 214-0,백화점
18,롯데월드몰,서울 송파구 올림픽로 300-0,쇼핑몰
19,노량진수산시장,서울 동작구 노들로 674-0,시장
20,NC백화점강서점,서울 강서구 강서로56길 17-0,백화점
21,IFC몰,서울 영등포구 국제금융로 10-0,쇼핑몰
22,롯데백화점잠실점,서울 송파구 올림픽로 240-0,백화점
23,동서울종합터미널,서울 광진구 강변역로 50-0,교통시설
24,강서농산물도매시장,서울 강서구 강서도매시장로 7-0,시장
25,롯데백화점강남점,서울 강남구 도곡로 401-0,백화점
26,현대백화점미아점,서울 성북구 동소문로 315-0,백화점
27,HDC아이파크몰용산점,서울 용산구 한강대로23길 55-0,백화점
28,예술의전당,서울 서초구 남부순환로 2406-0,공연시설
29,헌릉과인릉,서울 서초구 헌인릉길 34-0,역사유적지
30,그랜드워커힐서울,서울 광진구 워커힐로 177-0,호텔
31,용산역,서울 용산구 한강대로23길 55-0,교통시설
32,올림픽공원,서울 송파구 올림픽로 424-0,도시공원
33,롯데백화점본점,서울 중구 남대문로 81-0,백화점
34,현대백화점천호점,서울 강동구 천호대로 1005-0,백화점
35,가든파이브툴,서울 송파구 충민로 10-0,쇼핑몰
36,김포국제공항국제선,서울 강서구 하늘길 38-0,교통시설
37,롯데월드잠실점,서울 송파구 올림픽로 240-0,테마공원
38,신세계센트럴시티터미널호남선,서울 서초구 신반포로 176-0,교통시설
39,여의도한강공원,서울 영등포구 여의동로 330-0,도시공원
40,현대시티몰가든파이브점,서울 송파구 충민로 66-0,쇼핑몰
41,NC백화점신구로점,서울 구로구 구로중앙로 152-0,백화점
42,어린이대공원,서울 광진구 능동로 216-0,테마공원
43,그랜드인터컨티넨탈호텔서울파르나스,서울 강남구 테헤란로 521-0,호텔
44,서울남부터미널,서울 서초구 효령로 292-0,교통시설
45,인터컨티넨탈호텔서울코엑스,서울 강남구 봉은사로 524-0,호텔
46,롯데백화점영등포점,서울 영등포구 경인로 846-0,백화점
47,현대백화점신촌점,서울 서대문구 신촌로 83-0,백화점
48,갤러리아백화점명품관EAST,서울 강남구 압구정로 407-0,백화점
49,뉴코아아울렛강남점,서울 서초구 잠원로 69-0,대형마트
50,NC백화점불광점,서울 은평구 불광로 20-0,백화점
51,그랜드하얏트서울,서울 용산구 소월로 322-0,호텔
52,롯데백화점관악점,서울 관악구 봉천로 209-0,백화점
53,현대시티아울렛동대문점,서울 중구 장충단로13길 20-0,쇼핑몰
54,가든파이브웍스,서울 송파구 충민로 52-0,쇼핑몰
55,서울식물원,서울 강서구 마곡동로 161-0,테마공원
56,조선팰리스서울강남,서울 강남구 테헤란로 231-0,호텔
57,행복한백화점,서울 양천구 목동동로 309-0,백화점
58,오크우드프리미어코엑스센터,서울 강남구 테헤란로87길 46-0,호텔
59,갤러리아백화점명품관WEST,서울 강남구 압구정로 343-0,백화점
60,현대백화점디큐브시티점,서울 구로구 경인로 662-0,백화점
61,서울숲,서울 성동구 뚝섬로 273-0,도시공원
62,서울월드컵경기장,서울 마포구 월드컵로 240-0,레저스포츠시설
63,더케이호텔서울,서울 서초구 바우뫼로12길 70-0,호텔
64,JW메리어트호텔서울,서울 서초구 신반포로 176-0,호텔
65,김포국제공항,서울 강서구 하늘길 112-0,교통시설
66,롯데백화점미아점,서울 강북구 도봉로 62-0,백화점
67,2001아울렛중계점,서울 노원구 동일로204가길 46-0,대형마트
68,건영백화점,서울 노원구 섬밭로 258-0,백화점
69,신세계백화점본점,서울 중구 소공로 63-0,백화점
70,NC백화점송파점,서울 송파구 충민로 66-0,백화점
71,현대시티아울렛가산점,서울 금천구 디지털로10길 9-0,쇼핑몰
72,롯데백화점건대스타시티점,서울 광진구 능동로 92-0,백화점
73,아이파크몰고척점,서울 구로구 경인로43길 49-0,백화점
74,가락몰,서울 송파구 양재대로 932-0,시장
75,신세계백화점타임스퀘어점,서울 영등포구 영중로 9-0,백화점
76,망원시장,서울 마포구 포은로8길 14-0,시장
77,국립중앙박물관,서울 용산구 서빙고로 137-0,전시시설
78,호텔파크하비오,서울 송파구 송파대로 111-0,호텔
79,신라호텔서울,서울 중구 동호로 249-0,호텔
80,봉은사,서울 강남구 봉은사로 531-0,종교성지
