순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,
1,서울특별시,송파구,롯데월드,202305,426464.0,3577571.0
1,서울특별시,송파구,롯데월드,202306,345840.0,3577571.0
1,서울특별시,송파구,롯데월드,202307,442372.0,3577571.0
1,서울특별시,송파구,롯데월드,202308,449337.0,3577571.0
1,서울특별시,송파구,롯데월드,202309,369549.0,3577571.0
1,서울특별시,송파구,롯데월드,202310,492885.0,3577571.0
1,서울특별시,송파구,롯데월드,202311,451381.0,3577571.0
1,서울특별시,송파구,롯데월드,202312,599743.0,3577571.0
1,서울특별시,송파구,롯데월드,202401,0.0,3577571.0
1,서울특별시,송파구,롯데월드,202402,0.0,3577571.0
1,서울특별시,송파구,롯데월드,202403,0.0,3577571.0
1,서울특별시,송파구,롯데월드,202404,0.0,3577571.0
2,서울특별시,종로구,경복궁,202305,513655.0,3195063.0
2,서울특별시,종로구,경복궁,202306,324948.0,3195063.0
2,서울특별시,종로구,경복궁,202307,244148.0,3195063.0
2,서울특별시,종로구,경복궁,202308,214816.0,3195063.0
2,서울특별시,종로구,경복궁,202309,509600.0,3195063.0
2,서울특별시,종로구,경복궁,202310,785265.0,3195063.0
2,서울특별시,종로구,경복궁,202311,368958.0,3195063.0
2,서울특별시,종로구,경복궁,202312,233673.0,3195063.0
2,서울특별시,종로구,경복궁,202401,0.0,3195063.0
2,서울특별시,종로구,경복궁,202402,0.0,3195063.0
2,서울특별시,종로구,경복궁,202403,0.0,3195063.0
2,서울특별시,종로구,경복궁,202404,0.0,3195063.0
3,서울특별시,용산구,국립중앙박물관,202305,288066.0,2751446.0
3,서울특별시,용산구,국립중앙박물관,202306,319071.0,2751446.0
3,서울특별시,용산구,국립중앙박물관,202307,456346.0,2751446.0
3,서울특별시,용산구,국립중앙박물관,202308,510244.0,2751446.0
3,서울특별시,용산구,국립중앙박물관,202309,381313.0,2751446.0
3,서울특별시,용산구,국립중앙박물관,202310,329773.0,2751446.0
3,서울특별시,용산구,국립중앙박물관,202311,208847.0,2751446.0
3,서울특별시,용산구,국립중앙박물관,202312,257786.0,2751446.0
3,서울특별시,용산구,국립중앙박물관,202401,0.0,2751446.0
3,서울특별시,용산구,국립중앙박물관,202402,0.0,2751446.0
3,서울특별시,용산구,국립중앙박물관,202403,0.0,2751446.0
3,서울특별시,용산구,국립중앙박물관,202404,0.0,2751446.0
4,서울특별시,중구,덕수궁,202305,273957.0,2175257.0
4,서울특별시,중구,덕수궁,202306,227439.0,2175257.0
4,서울특별시,중구,덕수궁,202307,139159.0,2175257.0
4,서울특별시,중구,덕수궁,202308,158238.0,2175257.0
4,서울특별시,중구,덕수궁,202309,281395.0,2175257.0
4,서울특별시,중구,덕수궁,202310,526761.0,2175257.0
4,서울특별시,중구,덕수궁,202311,349645.0,2175257.0
4,서울특별시,중구,덕수궁,202312,218663.0,2175257.0
4,서울특별시,중구,덕수궁,202401,0.0,2175257.0
4,서울특별시,중구,덕수궁,202402,0.0,2175257.0
4,서울특별시,중구,덕수궁,202403,0.0,2175257.0
4,서울특별시,중구,덕수궁,202404,0.0,2175257.0
5,서울특별시,송파구,서울스카이,202305,104961.0,940949.0
5,서울특별시,송파구,서울스카이,202306,100715.0,940949.0
5,서울특별시,송파구,서울스카이,202307,119676.0,940949.0
5,서울특별시,송파구,서울스카이,202308,153692.0,940949.0
5,서울특별시,송파구,서울스카이,202309,109964.0,940949.0
5,서울특별시,송파구,서울스카이,202310,137888.0,940949.0
5,서울특별시,송파구,서울스카이,202311,100070.0,940949.0
5,서울특별시,송파구,서울스카이,202312,113983.0,940949.0
5,서울특별시,송파구,서울스카이,202401,0.0,940949.0
5,서울특별시,송파구,서울스카이,202402,0.0,940949.0
5,서울특별시,송파구,서울스카이,202403,0.0,940949.0
5,서울특별시,송파구,서울스카이,202404,0.0,940949.0
6,서울특별시,송파구,아쿠아리움,202305,97982.0,826160.0
6,서울특별시,송파구,아쿠아리움,202306,84919.0,826160.0
6,서울특별시,송파구,아쿠아리움,202307,131162.0,826160.0
6,서울특별시,송파구,아쿠아리움,202308,144335.0,826160.0
6,서울특별시,송파구,아쿠아리움,202309,85369.0,826160.0
6,서울특별시,송파구,아쿠아리움,202310,89583.0,826160.0
6,서울특별시,송파구,아쿠아리움,202311,81585.0,826160.0
6,서울특별시,송파구,아쿠아리움,202312,111225.0,826160.0
6,서울특별시,송파구,아쿠아리움,202401,0.0,826160.0
6,서울특별시,송파구,아쿠아리움,202402,0.0,826160.0
6,서울특별시,송파구,아쿠아리움,202403,0.0,826160.0
6,서울특별시,송파구,아쿠아리움,202404,0.0,826160.0
7,서울특별시,종로구,창덕궁,202305,118462.0,798284.0
7,서울특별시,종로구,창덕궁,202306,76910.0,798284.0
7,서울특별시,종로구,창덕궁,202307,41693.0,798284.0
7,서울특별시,종로구,창덕궁,202308,46654.0,798284.0
7,서울특별시,종로구,창덕궁,202309,108833.0,798284.0
7,서울특별시,종로구,창덕궁,202310,228663.0,798284.0
7,서울특별시,종로구,창덕궁,202311,128988.0,798284.0
7,서울특별시,종로구,창덕궁,202312,48081.0,798284.0
7,서울특별시,종로구,창덕궁,202401,0.0,798284.0
7,서울특별시,종로구,창덕궁,202402,0.0,798284.0
7,서울특별시,종로구,창덕궁,202403,0.0,798284.0
7,서울특별시,종로구,창덕궁,202404,0.0,798284.0
8,서울특별시,종로구,창경궁,202305,85029.0,660051.0
8,서울특별시,종로구,창경궁,202306,57009.0,660051.0
8,서울특별시,종로구,창경궁,202307,35242.0,660051.0
8,서울특별시,종로구,창경궁,202308,39534.0,660051.0
8,서울특별시,종로구,창경궁,202309,115171.0,660051.0
8,서울특별시,종로구,창경궁,202310,196684.0,660051.0
8,서울특별시,종로구,창경궁,202311,98006.0,660051.0
8,서울특별시,종로구,창경궁,202312,33376.0,660051.0
8,서울특별시,종로구,창경궁,202401,0.0,660051.0
8,서울특별시,종로구,창경궁,202402,0.0,660051.0
8,서울특별시,종로구,창경궁,202403,0.0,660051.0
8,서울특별시,종로구,창경궁,202404,0.0,660051.0
9,서울특별시,강남구,선릉·정릉,202305,43552.0,287029.0
9,서울특별시,강남구,선릉·정릉,202306,38876.0,287029.0
9,서울특별시,강남구,선릉·정릉,202307,26989.0,287029.0
9,서울특별시,강남구,선릉·정릉,202308,27348.0,287029.0
9,서울특별시,강남구,선릉·정릉,202309,50250.0,287029.0
9,서울특별시,강남구,선릉·정릉,202310,57308.0,287029.0
9,서울특별시,강남구,선릉·정릉,202311,25668.0,287029.0
9,서울특별시,강남구,선릉·정릉,202312,17038.0,287029.0
9,서울특별시,강남구,선릉·정릉,202401,0.0,287029.0
9,서울특별시,강남구,선릉·정릉,202402,0.0,287029.0
9,서울특별시,강남구,선릉·정릉,202403,0.0,287029.0
9,서울특별시,강남구,선릉·정릉,202404,0.0,287029.0
10,서울특별시,서대문구,서대문형무소역사관,202305,45686.0,276458.0
10,서울특별시,서대문구,서대문형무소역사관,202306,43237.0,276458.0
10,서울특별시,서대문구,서대문형무소역사관,202307,17405.0,276458.0
10,서울특별시,서대문구,서대문형무소역사관,202308,28854.0,276458.0
10,서울특별시,서대문구,서대문형무소역사관,202309,35109.0,276458.0
10,서울특별시,서대문구,서대문형무소역사관,202310,47830.0,276458.0
10,서울특별시,서대문구,서대문형무소역사관,202311,36177.0,276458.0
10,서울특별시,서대문구,서대문형무소역사관,202312,22160.0,276458.0
10,서울특별시,서대문구,서대문형무소역사관,202401,0.0,276458.0
10,서울특별시,서대문구,서대문형무소역사관,202402,0.0,276458.0
10,서울특별시,서대문구,서대문형무소역사관,202403,0.0,276458.0
10,서울특별시,서대문구,서대문형무소역사관,202404,0.0,276458.0
11,서울특별시,종로구,종묘,202305,32684.0,185409.0
11,서울특별시,종로구,종묘,202306,18341.0,185409.0
11,서울특별시,종로구,종묘,202307,9783.0,185409.0
11,서울특별시,종로구,종묘,202308,11541.0,185409.0
11,서울특별시,종로구,종묘,202309,30702.0,185409.0
11,서울특별시,종로구,종묘,202310,48218.0,185409.0
11,서울특별시,종로구,종묘,202311,20257.0,185409.0
11,서울특별시,종로구,종묘,202312,13883.0,185409.0
11,서울특별시,종로구,종묘,202401,0.0,185409.0
11,서울특별시,종로구,종묘,202402,0.0,185409.0
11,서울특별시,종로구,종묘,202403,0.0,185409.0
11,서울특별시,종로구,종묘,202404,0.0,185409.0
12,서울특별시,서대문구,서대문자연사박물관,202305,18658.0,163773.0
12,서울특별시,서대문구,서대문자연사박물관,202306,19417.0,163773.0
12,서울특별시,서대문구,서대문자연사박물관,202307,24890.0,163773.0
12,서울특별시,서대문구,서대문자연사박물관,202308,31066.0,163773.0
12,서울특별시,서대문구,서대문자연사박물관,202309,16947.0,163773.0
12,서울특별시,서대문구,서대문자연사박물관,202310,17827.0,163773.0
12,서울특별시,서대문구,서대문자연사박물관,202311,18635.0,163773.0
12,서울특별시,서대문구,서대문자연사박물관,202312,16333.0,163773.0
12,서울특별시,서대문구,서대문자연사박물관,202401,0.0,163773.0
12,서울특별시,서대문구,서대문자연사박물관,202402,0.0,163773.0
12,서울특별시,서대문구,서대문자연사박물관,202403,0.0,163773.0
12,서울특별시,서대문구,서대문자연사박물관,202404,0.0,163773.0
13,서울특별시,동대문구,서울약령시 한의약박물관,202305,5912.0,80888.0
13,서울특별시,동대문구,서울약령시 한의약박물관,202306,15933.0,80888.0
13,서울특별시,동대문구,서울약령시 한의약박물관,202307,6041.0,80888.0
13,서울특별시,동대문구,서울약령시 한의약박물관,202308,6877.0,80888.0
13,서울특별시,동대문구,서울약령시 한의약박물관,202309,8827.0,80888.0
13,서울특별시,동대문구,서울약령시 한의약박물관,202310,22501.0,80888.0
13,서울특별시,동대문구,서울약령시 한의약박물관,202311,9032.0,80888.0
13,서울특별시,동대문구,서울약령시 한의약박물관,202312,5765.0,80888.0
13,서울특별시,동대문구,서울약령시 한의약박물관,202401,0.0,80888.0
13,서울특별시,동대문구,서울약령시 한의약박물관,202402,0.0,80888.0
13,서울특별시,동대문구,서울약령시 한의약박물관,202403,0.0,80888.0
13,서울특별시,동대문구,서울약령시 한의약박물관,202404,0.0,80888.0
14,서울특별시,노원구,태릉 ·  강릉 · 조선왕릉전시관,202305,6674.0,49047.0
14,서울특별시,노원구,태릉 ·  강릉 · 조선왕릉전시관,202306,7560.0,49047.0
14,서울특별시,노원구,태릉 ·  강릉 · 조선왕릉전시관,202307,3154.0,49047.0
14,서울특별시,노원구,태릉 ·  강릉 · 조선왕릉전시관,202308,2937.0,49047.0
14,서울특별시,노원구,태릉 ·  강릉 · 조선왕릉전시관,202309,6583.0,49047.0
14,서울특별시,노원구,태릉 ·  강릉 · 조선왕릉전시관,202310,13906.0,49047.0
14,서울특별시,노원구,태릉 ·  강릉 · 조선왕릉전시관,202311,5897.0,49047.0
14,서울특별시,노원구,태릉 ·  강릉 · 조선왕릉전시관,202312,2336.0,49047.0
14,서울특별시,노원구,태릉 ·  강릉 · 조선왕릉전시관,202401,0.0,49047.0
14,서울특별시,노원구,태릉 ·  강릉 · 조선왕릉전시관,202402,0.0,49047.0
14,서울특별시,노원구,태릉 ·  강릉 · 조선왕릉전시관,202403,0.0,49047.0
14,서울특별시,노원구,태릉 ·  강릉 · 조선왕릉전시관,202404,0.0,49047.0
15,서울특별시,동대문구,세종대왕기념관,202305,470.0,2337.0
15,서울특별시,동대문구,세종대왕기념관,202306,349.0,2337.0
15,서울특별시,동대문구,세종대왕기념관,202307,91.0,2337.0
15,서울특별시,동대문구,세종대왕기념관,202308,129.0,2337.0
15,서울특별시,동대문구,세종대왕기념관,202309,311.0,2337.0
15,서울특별시,동대문구,세종대왕기념관,202310,672.0,2337.0
15,서울특별시,동대문구,세종대왕기념관,202311,272.0,2337.0
15,서울특별시,동대문구,세종대왕기념관,202312,43.0,2337.0
15,서울특별시,동대문구,세종대왕기념관,202401,0.0,2337.0
15,서울특별시,동대문구,세종대왕기념관,202402,0.0,2337.0
15,서울특별시,동대문구,세종대왕기념관,202403,0.0,2337.0
15,서울특별시,동대문구,세종대왕기념관,202404,0.0,2337.0
