순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,
1,서울특별시,종로구,경복궁,202305,65369.0,887393.0
1,서울특별시,종로구,경복궁,202306,66004.0,887393.0
1,서울특별시,종로구,경복궁,202307,86489.0,887393.0
1,서울특별시,종로구,경복궁,202308,93449.0,887393.0
1,서울특별시,종로구,경복궁,202309,177255.0,887393.0
1,서울특별시,종로구,경복궁,202310,195138.0,887393.0
1,서울특별시,종로구,경복궁,202311,99318.0,887393.0
1,서울특별시,종로구,경복궁,202312,104371.0,887393.0
1,서울특별시,종로구,경복궁,202401,0.0,887393.0
1,서울특별시,종로구,경복궁,202402,0.0,887393.0
1,서울특별시,종로구,경복궁,202403,0.0,887393.0
1,서울특별시,종로구,경복궁,202404,0.0,887393.0
2,서울특별시,종로구,창덕궁,202305,38557.0,322392.0
2,서울특별시,종로구,창덕궁,202306,33791.0,322392.0
2,서울특별시,종로구,창덕궁,202307,31063.0,322392.0
2,서울특별시,종로구,창덕궁,202308,37987.0,322392.0
2,서울특별시,종로구,창덕궁,202309,47704.0,322392.0
2,서울특별시,종로구,창덕궁,202310,65406.0,322392.0
2,서울특별시,종로구,창덕궁,202311,46066.0,322392.0
2,서울특별시,종로구,창덕궁,202312,21818.0,322392.0
2,서울특별시,종로구,창덕궁,202401,0.0,322392.0
2,서울특별시,종로구,창덕궁,202402,0.0,322392.0
2,서울특별시,종로구,창덕궁,202403,0.0,322392.0
2,서울특별시,종로구,창덕궁,202404,0.0,322392.0
3,서울특별시,용산구,국립중앙박물관,202305,18541.0,135121.0
3,서울특별시,용산구,국립중앙박물관,202306,15088.0,135121.0
3,서울특별시,용산구,국립중앙박물관,202307,21061.0,135121.0
3,서울특별시,용산구,국립중앙박물관,202308,23613.0,135121.0
3,서울특별시,용산구,국립중앙박물관,202309,15629.0,135121.0
3,서울특별시,용산구,국립중앙박물관,202310,18079.0,135121.0
3,서울특별시,용산구,국립중앙박물관,202311,13072.0,135121.0
3,서울특별시,용산구,국립중앙박물관,202312,10038.0,135121.0
3,서울특별시,용산구,국립중앙박물관,202401,0.0,135121.0
3,서울특별시,용산구,국립중앙박물관,202402,0.0,135121.0
3,서울특별시,용산구,국립중앙박물관,202403,0.0,135121.0
3,서울특별시,용산구,국립중앙박물관,202404,0.0,135121.0
4,서울특별시,종로구,창경궁,202305,7810.0,80258.0
4,서울특별시,종로구,창경궁,202306,7897.0,80258.0
4,서울특별시,종로구,창경궁,202307,6165.0,80258.0
4,서울특별시,종로구,창경궁,202308,8633.0,80258.0
4,서울특별시,종로구,창경궁,202309,15333.0,80258.0
4,서울특별시,종로구,창경궁,202310,18981.0,80258.0
4,서울특별시,종로구,창경궁,202311,9463.0,80258.0
4,서울특별시,종로구,창경궁,202312,5976.0,80258.0
4,서울특별시,종로구,창경궁,202401,0.0,80258.0
4,서울특별시,종로구,창경궁,202402,0.0,80258.0
4,서울특별시,종로구,창경궁,202403,0.0,80258.0
4,서울특별시,종로구,창경궁,202404,0.0,80258.0
5,서울특별시,종로구,종묘,202305,6366.0,51972.0
5,서울특별시,종로구,종묘,202306,5355.0,51972.0
5,서울특별시,종로구,종묘,202307,5400.0,51972.0
5,서울특별시,종로구,종묘,202308,7703.0,51972.0
5,서울특별시,종로구,종묘,202309,6316.0,51972.0
5,서울특별시,종로구,종묘,202310,11003.0,51972.0
5,서울특별시,종로구,종묘,202311,6061.0,51972.0
5,서울특별시,종로구,종묘,202312,3768.0,51972.0
5,서울특별시,종로구,종묘,202401,0.0,51972.0
5,서울특별시,종로구,종묘,202402,0.0,51972.0
5,서울특별시,종로구,종묘,202403,0.0,51972.0
5,서울특별시,종로구,종묘,202404,0.0,51972.0
6,서울특별시,서대문구,서대문형무소역사관,202305,1934.0,13723.0
6,서울특별시,서대문구,서대문형무소역사관,202306,1772.0,13723.0
6,서울특별시,서대문구,서대문형무소역사관,202307,1668.0,13723.0
6,서울특별시,서대문구,서대문형무소역사관,202308,2188.0,13723.0
6,서울특별시,서대문구,서대문형무소역사관,202309,1667.0,13723.0
6,서울특별시,서대문구,서대문형무소역사관,202310,1874.0,13723.0
6,서울특별시,서대문구,서대문형무소역사관,202311,1795.0,13723.0
6,서울특별시,서대문구,서대문형무소역사관,202312,825.0,13723.0
6,서울특별시,서대문구,서대문형무소역사관,202401,0.0,13723.0
6,서울특별시,서대문구,서대문형무소역사관,202402,0.0,13723.0
6,서울특별시,서대문구,서대문형무소역사관,202403,0.0,13723.0
6,서울특별시,서대문구,서대문형무소역사관,202404,0.0,13723.0
7,서울특별시,동대문구,서울약령시 한의약박물관,202305,469.0,3583.0
7,서울특별시,동대문구,서울약령시 한의약박물관,202306,427.0,3583.0
7,서울특별시,동대문구,서울약령시 한의약박물관,202307,521.0,3583.0
7,서울특별시,동대문구,서울약령시 한의약박물관,202308,537.0,3583.0
7,서울특별시,동대문구,서울약령시 한의약박물관,202309,408.0,3583.0
7,서울특별시,동대문구,서울약령시 한의약박물관,202310,399.0,3583.0
7,서울특별시,동대문구,서울약령시 한의약박물관,202311,474.0,3583.0
7,서울특별시,동대문구,서울약령시 한의약박물관,202312,348.0,3583.0
