중심 POI X 좌표,중심 POI Y 좌표,관광지명,주소,중심카테고리 명_대,분류,순위
126.9282,37.5260,더현대/서울,서울 영등포구 여의대로 108-0,관광지,쇼핑,1
127.0042,37.5050,신세계백화점/강남점,서울 서초구 신반포로 176-0,관광지,쇼핑,2
126.9034,37.5172,타임스퀘어,서울 영등포구 영중로 15-0,관광지,쇼핑,3
126.9817,37.5647,롯데백화점/본점,서울 중구 남대문로 81-0,관광지,쇼핑,4
127.0597,37.5087,현대백화점/무역센터점,서울 강남구 테헤란로 517-0,관광지,쇼핑,5
126.9811,37.5609,신세계백화점/본점,서울 중구 소공로 63-0,관광지,쇼핑,6
126.9282,37.5310,여의도한강공원,서울 영등포구 여의동로 330-0,관광지,문화관광,7
126.8029,37.5589,김포국제공항국내선,서울 강서구 하늘길 111-0,관광지,기타관광,8
127.0274,37.5273,현대백화점/압구정본점,서울 강남구 압구정로 165-0,관광지,쇼핑,9
127.0591,37.5120,코엑스,서울 강남구 영동대로 513-0,관광지,문화관광,10
127.1045,37.5138,롯데월드몰,서울 송파구 올림픽로 300-0,관광지,쇼핑,11
126.9254,37.5254,IFC몰,서울 영등포구 국제금융로 10-0,관광지,쇼핑,12
126.8751,37.5265,현대백화점/목동점,서울 양천구 목동동로 257-0,관광지,쇼핑,13
126.9768,37.5780,경복궁,서울 종로구 사직로 161-0,관광지,역사관광,14
127.0994,37.5122,롯데백화점/잠실점,서울 송파구 올림픽로 240-0,관광지,쇼핑,15
126.9882,37.5512,남산서울타워,서울 용산구 남산공원길 105-0,관광지,문화관광,16
126.9808,37.5603,신세계백화점/본점신관,서울 중구 퇴계로 77-0,관광지,쇼핑,17
126.8009,37.5659,김포국제공항국제선,서울 강서구 하늘길 38-0,관광지,기타관광,18
126.9378,37.5147,노량진수산시장,서울 동작구 노들로 674-0,관광지,쇼핑,19
127.0051,37.5558,신라호텔/서울,서울 중구 동호로 249-0,숙박,숙박,20
126.9806,37.6015,팔각정북악스카이,서울 종로구 북악산로 267-0,관광지,문화관광,21
126.8031,37.5634,롯데몰/김포공항점,서울 강서구 하늘길 38-0,관광지,쇼핑,22
127.0416,37.5279,갤러리아백화점/명품관EAST,서울 강남구 압구정로 407-0,관광지,쇼핑,23
126.9809,37.5653,롯데호텔/서울점,서울 중구 을지로 30-0,숙박,숙박,24
126.9803,37.5239,국립중앙박물관,서울 용산구 서빙고로 137-0,관광지,문화관광,25
127.1127,37.4936,가락동농수산물도매시장,서울 송파구 양재대로 932-0,관광지,쇼핑,26
