순위,업소명,주소,분류
1,스타벅스더북한산점,서울 은평구 대서문길 24-11,카페/찻집
2,또순이네,서울 영등포구 선유로47길 16-0,한식
3,우래옥본점,서울 중구 창경궁로 62-29,한식
4,소문난성수감자탕본관,서울 성동구 연무장길 45-0,한식
5,이디야커피랩,서울 강남구 논현로 636-0,카페/찻집
6,마복림떡볶이,서울 중구 다산로35길 5-0,간이음식
7,영동설렁탕,서울 서초구 강남대로101안길 24-0,한식
8,쿠우쿠우상봉점,서울 중랑구 망우로 316-0,전문음식
9,신당동떡볶이타운,서울 중구,음식점기타
10,삼원가든본점,서울 강남구 언주로 835-0,한식
11,토속촌삼계탕,서울 종로구 자하문로5길 5-0,한식
12,삼청동수제비본점,서울 종로구 삼청로 101-1,한식
13,방이맛골,서울 송파구,음식점기타
14,맥도날드송파잠실DT점,서울 송파구 도곡로 434-0,간이음식
15,맥도날드서울둔촌DT점,서울 강동구 양재대로 1382-0,간이음식
16,맥도날드청담DT점,서울 강남구 도산대로 407-0,간이음식
17,강강술래상계점,서울 노원구 동일로 1628-0,한식
18,새벽집청담동점,서울 강남구 도산대로101길 6-0,한식
19,RSG성수,서울 성동구 연무장15길 11-0,카페/찻집
20,진미평양냉면,서울 강남구 학동로 305-3,한식
21,쿠우쿠우보라매공원점,서울 동작구 보라매로5가길 16-0,전문음식
22,아이러브신당동,서울 중구 퇴계로76길 50-0,간이음식
23,원조남산돈까스,서울 중구 소파로 23-0,전문음식
24,런던베이글뮤지엄도산점,서울 강남구 언주로168길 33-0,간이음식
25,영천영화청담점,서울 강남구 도산대로90길 3-0,한식
26,원조호수삼계탕본점,서울 영등포구 도림로 276-0,한식
27,압구정공주떡,서울 강남구 논현로161길 10-0,간이음식
28,감나무집기사식당,서울 마포구 연남로 23-0,한식
29,맥도날드양재SK DT점,서울 서초구 바우뫼로 178-0,간이음식
30,진주집,서울 영등포구 국제금융로6길 33-0,한식
31,필동면옥,서울 중구 서애로 26-0,한식
32,스타벅스연희DT점,서울 서대문구 연희로 144-0,카페/찻집
33,맥도날드양평SK DT점,서울 영등포구 선유로 195-0,간이음식
34,우정,서울 중구 퇴계로76길 55-0,간이음식
35,청와옥본점,서울 송파구 위례성대로 48-0,한식
36,스타벅스서울웨이브아트센터점,서울 서초구 잠원로 145-35,카페/찻집
37,진주회관,서울 중구 세종대로11길 26-0,한식
38,함경도찹쌀순대,서울 송파구 송파대로28길 32-0,한식
39,스타벅스망원한강공원점,서울 마포구 마포나루길 407-0,카페/찻집
40,대도식당왕십리본점,서울 성동구 무학로12길 3-0,한식
41,101번지남산돈까스본점,서울 중구 소파로 101-0,전문음식
42,패션5,서울 용산구 이태원로 272-0,카페/찻집
43,중앙해장삼성본점,서울 강남구 영동대로86길 17-0,한식
44,스타벅스구의DT점,서울 광진구 광나루로 519-0,카페/찻집
45,을밀대본점,서울 마포구 숭문길 24-0,한식
46,임병주산동손칼국수,서울 서초구 강남대로37길 65-0,한식
47,애플하우스이수점,서울 동작구 동작대로27다길 29-0,간이음식
48,강강술래신림점,서울 관악구 남부순환로 1660-0,한식
49,강강술래당산점,서울 영등포구 선유로 251-0,한식
