순위,업소명,주소,분류
1,스타벅스더북한산점,서울 은평구 대서문길 24-11,카페/찻집
2,이디야커피랩,서울 강남구 논현로 636-0,카페/찻집
3,맥도날드송파잠실DT점,서울 송파구 도곡로 434-0,간이음식
4,새벽집청담동점,서울 강남구 도산대로101길 6-0,한식
5,맥도날드등촌DT점,서울 강서구 양천로 546-0,간이음식
6,삼원가든본점,서울 강남구 언주로 835-0,한식
7,강강술래상계점,서울 노원구 동일로 1628-0,한식
8,맥도날드서울둔촌DT점,서울 강동구 양재대로 1382-0,간이음식
9,맥도날드양평SK DT점,서울 영등포구 선유로 195-0,간이음식
10,영천영화청담점,서울 강남구 도산대로90길 3-0,한식
11,맥도날드청담DT점,서울 강남구 도산대로 407-0,간이음식
12,아웃백스테이크하우스공항점,서울 강서구 마곡중앙6로 16-0,전문음식
13,또순이네,서울 영등포구 선유로47길 16-0,한식
14,강강술래역삼점 [한식],서울 강남구 논현로 325-0,한식
15,진미평양냉면,서울 강남구 학동로 305-3,한식
16,맥도날드굽은다리역DT점,서울 강동구 양재대로 1587-0,간이음식
17,쿠우쿠우상봉점,서울 중랑구 망우로 316-0,전문음식
18,함경도찹쌀순대,서울 송파구 송파대로28길 32-0,한식
19,맥도날드가락DT점,서울 송파구 동남로 196-0,간이음식
20,아웃백스테이크하우스잠실점,서울 송파구 송파대로 466-0,전문음식
21,영동설렁탕,서울 서초구 강남대로101안길 24-0,한식
22,맥도날드삼성DT점,서울 강남구 봉은사로 432-0,간이음식
23,맥도날드상계DT점,서울 노원구 동일로 1612-0,간이음식
24,맥도날드서울시흥DT점,서울 금천구 시흥대로 184-0,간이음식
25,키누카누,서울 강서구 공항대로 247-0,외국식
25,맥도날드양재SK DT점,서울 서초구 바우뫼로 178-0,간이음식
27,스타벅스송파나루역DT점,서울 송파구 오금로 142-0,카페/찻집
28,청와옥본점,서울 송파구 위례성대로 48-0,한식
29,더메이드뷔페,서울 강서구 마곡중앙6로 21-0,전문음식
30,소문난성수감자탕본관,서울 성동구 연무장길 45-0,한식
31,임병주산동손칼국수,서울 서초구 강남대로37길 65-0,한식
32,스타벅스방화DT점,서울 강서구 방화대로 375-0,카페/찻집
33,빽다방용산국방부점,서울 용산구 이태원로4길 14-0,카페/찻집
34,스타벅스송파방이DT점,서울 송파구 오금로 241-0,카페/찻집
35,중앙해장삼성본점,서울 강남구 영동대로86길 17-0,한식
36,맥도날드고척DT점,서울 구로구 경인로 393-0,간이음식
37,맥도날드양천구청DT점,서울 양천구 목동동로 71-0,간이음식
38,스타벅스공릉DT점,서울 노원구 동일로 1015-0,카페/찻집
39,맥도날드서초GS점,서울 서초구 반포대로 69-0,간이음식
40,스타벅스구의DT점,서울 광진구 광나루로 519-0,카페/찻집
41,스타벅스강동구청DT점,서울 강동구 성내로 32-0,카페/찻집
42,방배동카페골목,서울 서초구,음식점기타
43,스윗솔트,서울 강동구 상암로 286-0,전문음식
44,압구정공주떡,서울 강남구 논현로161길 10-0,간이음식
45,맥도날드쌍문DT점,서울 도봉구 도봉로 541-0,간이음식
46,스타벅스신정DT점,서울 양천구 신월로 341-0,카페/찻집
47,방이맛골,서울 송파구,음식점기타
48,런던베이글뮤지엄도산점,서울 강남구 언주로168길 33-0,간이음식
49,맥도날드우장산DT점,서울 강서구 강서로 216-0,간이음식
50,장꼬방묵은김치찌개전문,서울 서초구 효령로 364-0,한식
51,스케줄청담,서울 강남구 선릉로152길 37-0,전문음식
52,한우리본점,서울 강남구 도산대로 304-0,한식
53,스타벅스송파마천사거리DT점,서울 송파구 거마로 78-0,카페/찻집
54,김영모과자점도곡타워점,서울 강남구 언주로30길 10-0,간이음식
55,홍능갈비집본점,서울 동대문구 제기로 85-0,한식
56,거궁마곡점 [한식],서울 강서구 공항대로 236-0,한식
57,스타벅스강동암사DT점,서울 강동구 고덕로 43-0,카페/찻집
58,강강술래신림점,서울 관악구 남부순환로 1660-0,한식
59,RSG성수,서울 성동구 연무장15길 11-0,카페/찻집
60,VIPS프리미어등촌점,서울 강서구 공항대로 311-0,전문음식
61,빵쌤마곡점,서울 강서구 마곡중앙로 59-5,간이음식
62,몽중헌대치점,서울 강남구 영동대로 325-0,외국식
63,스타벅스연희DT점,서울 서대문구 연희로 144-0,카페/찻집
64,골목떡볶이,서울 송파구 문정로1길 33-0,간이음식
65,맥도날드파리공원DT점,서울 양천구 목동서로 45-0,간이음식
66,포브라더스도곡점,서울 강남구 논현로28길 40-0,외국식
67,청와옥양재직영점,서울 서초구 강남대로8길 3-0,한식
68,맥도날드종암SK DT점,서울 성북구 종암로 58-0,간이음식
69,스타벅스송파헬리오시티점,서울 송파구 송파대로 345-0,카페/찻집
70,봉피양방이점,서울 송파구 양재대로71길 1-4,한식
71,한일관압구정점 [한식],서울 강남구 압구정로38길 14-0,한식
72,몽중헌청담점 [중식],서울 강남구 도산대로 445-0,외국식
73,도원한우,서울 강동구 진황도로 227-0,한식
74,밀란국수개포본점,서울 강남구 개포로28길 4-0,한식
75,쿠우쿠우송파하비오점,서울 송파구 송파대로 111-0,전문음식
76,강강술래청담점,서울 강남구 도산대로 535-0,한식
77,쿠우쿠우보라매공원점,서울 동작구 보라매로5가길 16-0,전문음식
78,신당동떡볶이타운,서울 중구,음식점기타
79,강강술래당산점,서울 영등포구 선유로 251-0,한식
80,어나더사이드,서울 강서구 강서로 318-0,카페/찻집
81,아웃백스테이크하우스양재점,서울 서초구 남부순환로 2567-0,전문음식
82,툇마루밥상[한식],서울 송파구 송파대로 111-0,한식
